"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2337,896,1002,"/org/axonframework/config/DefaultConfigurer.class uses /org/axonframework/config/AggregateConfiguration.class,/org/axonframework/config/Configurer.class uses /org/axonframework/config/AggregateConfiguration.class,/org/axonframework/config/Configuration.class uses /org/axonframework/config/AggregateConfiguration.class,/org/axonframework/config/ConfigurationScopeAwareProvider.class uses /org/axonframework/config/AggregateConfiguration.class",""
1,75,70,29,"/org/axonframework/commandhandling/distributed uses /org/axonframework/commandhandling,/org/axonframework/commandhandling/gateway uses /org/axonframework/commandhandling,/org/axonframework/commandhandling/callbacks uses /org/axonframework/commandhandling,/org/axonframework/commandhandling uses /org/axonframework/commandhandling/callbacks",""
2,2266,685,371,"/org/axonframework/eventhandling/async/PropertySequencingPolicy$Builder.class uses /org/axonframework/common/property/PropertyAccessStrategy.class,/org/axonframework/queryhandling/annotation/AnnotationQueryHandlerAdapter.class uses /org/axonframework/messaging/annotation/HandlerDefinition.class,/org/axonframework/commandhandling/AnnotationCommandHandlerAdapter.class uses /org/axonframework/messaging/annotation/HandlerDefinition.class,/org/axonframework/eventhandling/AnnotationEventHandlerAdapter.class uses /org/axonframework/messaging/annotation/HandlerDefinition.class",""
4,1483,293,329,"/org/axonframework/config/AggregateConfigurer.class uses /org/axonframework/disruptor/commandhandling/DisruptorCommandBus.class,/org/axonframework/modelling/saga/PayloadAssociationResolver.class uses /org/axonframework/common/property/PropertyAccessStrategy.class,/org/axonframework/modelling/command/inspection/AbstractChildEntityDefinition.class uses /org/axonframework/common/property/PropertyAccessStrategy.class,/org/axonframework/modelling/command/ForwardMatchingInstances.class uses /org/axonframework/common/property/PropertyAccessStrategy.class",""
