"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: Centrality/Centrality_10d_Bridges_Stream.cypher"
"org.axonframework.springboot.autoconfig.XStreamAutoConfiguration","org.axonframework.springboot.util.XStreamSecurityTypeUtility",,5,1,,""
"org.axonframework.springboot.autoconfig.XStreamAutoConfiguration","org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition",,5,5,4,""
"org.axonframework.serialization.GapAwareTrackingTokenConverter","org.axonframework.serialization.GapAwareTrackingTokenConverter$ReflectivelyConstructedGapSetConverter",1,2,1,,""
"org.axonframework.springboot.util.RegisterDefaultEntities","org.axonframework.springboot.util.DefaultEntityRegistrar",4,1,1,,""
"org.axonframework.eventsourcing.eventstore.jdbc.AbstractEventTableFactory","org.axonframework.eventsourcing.eventstore.jdbc.PostgresEventTableFactory",4,2,,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.AbstractEventTableFactory","org.axonframework.eventsourcing.eventstore.jdbc.MySqlEventTableFactory",4,2,,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.AbstractEventTableFactory","org.axonframework.eventsourcing.eventstore.jdbc.HsqlEventTableFactory",4,2,,1,""
"org.axonframework.eventhandling.tokenstore.jdbc.GenericTokenTableFactory","org.axonframework.eventhandling.tokenstore.jdbc.PostgresTokenTableFactory",1,2,,1,""
"org.axonframework.messaging.annotation.HasHandlerAttributes","org.axonframework.modelling.saga.StartSaga",9,,,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","org.axonframework.modelling.command.AggregateVersion",1,20,1,,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","org.axonframework.modelling.command.AggregateRoot",1,20,1,,""
"org.axonframework.modelling.command.EntityId","org.axonframework.modelling.command.AggregateIdentifier",2,,,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","org.axonframework.modelling.command.EntityId",1,20,2,,""
"org.axonframework.springboot.service.connection.AxonServerConnectionDetails","org.axonframework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory",5,,,1,""
"org.axonframework.eventhandling.async.SequencingPolicy","org.axonframework.eventhandling.async.SequentialPolicy",14,,,1,""
