"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-messaging-4.7.5","org.axonframework.deadline","deadline",7,10,0.7,""
"axon-configuration-4.7.5","org.axonframework.config","config",26,39,0.6666666666666666,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","eventsourcing",26,39,0.6666666666666666,""
"axon-test-4.7.5","org.axonframework.test.saga","saga",14,21,0.6666666666666666,""
"axon-messaging-4.7.5","org.axonframework.common.caching","caching",8,12,0.6666666666666666,""
"axon-messaging-4.7.5","org.axonframework.common.annotation","annotation",2,3,0.6666666666666666,""
"axon-messaging-4.7.5","org.axonframework.common.stream","stream",2,3,0.6666666666666666,""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",2,3,0.6666666666666666,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","eventstore",19,31,0.6129032258064516,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.async","async",9,15,0.6,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.replay","replay",6,10,0.6,""
"axon-messaging-4.7.5","org.axonframework.deadline.annotation","annotation",3,5,0.6,""
"axon-test-4.7.5","org.axonframework.test","test",3,5,0.6,""
"axon-messaging-4.7.5","org.axonframework.commandhandling.gateway","gateway",19,36,0.5277777777777778,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",5,10,0.5,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter","deadletter",2,4,0.5,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,2,0.5,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",1,2,0.5,""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.inmemory","inmemory",1,2,0.5,""
"axon-test-4.7.5","org.axonframework.test.aggregate","aggregate",9,19,0.47368421052631576,""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","commandhandling",9,22,0.4090909090909091,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","pooled",2,20,0.1,""
