"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",9,66,1,38,3,7.333333333333333,11.821590417536889,25,100,60,68.34245230078562,28.7356905408243,142,1,79,8,15.77777777777778,24.39148303085412,2.2988505747126435,36.36363636363637,10.526315789473683,13.253838196568807,10.24952916747722,"axon-test-4.10.1,axon-server-connector-4.10.1,axon-eventsourcing-4.10.1,axon-messaging-4.10.1",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.6875,22.22222222222222,15.555555555555555,14.505208333333332,8.116902769194517,17,3,8,3,4.25,2.5,1.0165184243964422,4,2.0771866374797754,2.292722924838998,1.2516782443059267,"axon-eventsourcing-4.10.1,axon-messaging-4.10.1,axon-modelling-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,6.25,30,22.22222222222222,20.17361111111111,9.980288571951407,17,3,8,3,4.25,2.5,1.0165184243964422,4,2.0771866374797754,2.292722924838998,1.2516782443059267,"axon-eventsourcing-4.10.1,axon-messaging-4.10.1,axon-modelling-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"com.fasterxml",2,5,1,4,2.5,2.5,2.1213203435596424,6.25,11.11111111111111,8.680555555555555,8.680555555555555,3.437324630767939,15,3,12,7.5,7.5,6.363961030678928,1.5247776365946635,4,2.7623888182973317,2.7623888182973317,1.7502465181085063,"axon-messaging-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"com.github",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,7,1,6,3.5,3.5,3.5355339059327378,0.7623888182973317,1.3333333333333333,1.0478610758153324,1.0478610758153324,0.40371873826322147,"axon-messaging-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"com.google",2,4,1,3,2,2,1.4142135623730951,12.5,27.272727272727273,19.886363636363637,19.886363636363637,10.445895631164907,9,1,8,4.5,4.5,4.949747468305833,1.1494252873563218,6.0606060606060606,3.605015673981191,3.605015673981191,3.472729228397882,"axon-test-4.10.1,axon-server-connector-4.10.1",""
"com.thoughtworks",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,10,2,8,5,5,4.242640687119285,1.0165184243964422,2.6666666666666665,1.8415925455315545,1.8415925455315545,1.1668310120723373,"axon-messaging-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"io.axoniq",2,9,1,8,4.5,4.5,4.949747468305833,11.11111111111111,72.72727272727273,41.919191919191924,41.919191919191924,43.56920570947415,67,2,65,33.5,33.5,44.54772721475249,2.6666666666666665,49.24242424242424,25.954545454545453,25.954545454545453,32.93403402071889,"axon-server-connector-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"org.jobrunr",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,5,1,4,2.5,2.5,2.1213203435596424,0.5082592121982211,1.3333333333333333,0.9207962727657772,0.9207962727657772,0.5834155060361687,"axon-messaging-4.10.1,axon-spring-boot-autoconfigure-4.10.1",""
"org.reactivestreams",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,9.090909090909092,6.107954545454546,6.107954545454546,4.21853477412429,17,4,13,8.5,8.5,6.363961030678928,1.6518424396442186,3.0303030303030303,2.3410727349736247,2.3410727349736247,0.9747188312532595,"axon-server-connector-4.10.1,axon-messaging-4.10.1",""
