"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_external_package.cypher"
"axon-messaging-4.10.1",64,787,42,52,81.25,"reactor.util.context",1,2,1.5625,0.25412960609911056,"org.axonframework.queryhandling","org.axonframework.queryhandling.SimpleQueryBus$SuccessReporter,org.axonframework.queryhandling.SimpleQueryBus$MonitorCallbackContextWriter",""
"axon-modelling-4.10.1",10,158,5,7,70,"org.slf4j",6,9,60,5.69620253164557,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa","org.axonframework.modelling.command.AbstractRepository,org.axonframework.modelling.command.LockingRepository,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel,org.axonframework.modelling.saga.AbstractSagaManager,org.axonframework.modelling.saga.AbstractResourceInjector,org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
"axon-modelling-4.10.1",10,158,5,7,70,"javax.annotation",4,32,40,20.253164556962027,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga","org.axonframework.modelling.command.ForwardToAll,org.axonframework.modelling.command.ForwardingMode,org.axonframework.modelling.command.ForwardMatchingInstances,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory,org.axonframework.modelling.command.GenericJpaRepository$Builder,org.axonframework.modelling.command.ForwardNone,org.axonframework.modelling.command.Repository,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.modelling.command.AbstractRepository",""
"axon-modelling-4.10.1",10,158,5,7,70,"javax.persistence",3,5,30,3.1645569620253164,"org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.repository.legacyjpa","org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
"axon-modelling-4.10.1",10,158,5,7,70,"com.fasterxml.jackson.annotation",2,2,20,1.2658227848101267,"org.axonframework.modelling.command,org.axonframework.modelling.saga","org.axonframework.modelling.command.AggregateScopeDescriptor,org.axonframework.modelling.saga.SagaScopeDescriptor",""
"axon-modelling-4.10.1",10,158,5,7,70,"jakarta.persistence",2,4,20,2.5316455696202533,"org.axonframework.modelling.command,org.axonframework.modelling.saga.repository.jpa","org.axonframework.modelling.command.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry",""
"axon-eventsourcing-4.10.1",9,133,4,6,66.67,"javax.annotation",6,28,66.66666666666666,21.052631578947366,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.NoSnapshotTriggerDefinition,org.axonframework.eventsourcing.AbstractSnapshotter,org.axonframework.eventsourcing.FilteringEventStorageEngine,org.axonframework.eventsourcing.Snapshotter,org.axonframework.eventsourcing.EventSourcingRepository$Builder,org.axonframework.eventsourcing.AbstractSnapshotter$Builder,org.axonframework.eventsourcing.AbstractSnapshotTrigger,org.axonframework.eventsourcing.SnapshotTrigger,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition$NoSnapshotTrigger",""
"axon-eventsourcing-4.10.1",9,133,4,6,66.67,"org.slf4j",5,14,55.55555555555556,10.526315789473683,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.AbstractSnapshotter,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Cleaner,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.AbstractEventStore,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
"axon-eventsourcing-4.10.1",9,133,4,6,66.67,"javax.persistence",3,5,33.33333333333333,3.7593984962406015,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver",""
"axon-eventsourcing-4.10.1",9,133,4,6,66.67,"jakarta.persistence",2,5,22.22222222222222,3.7593984962406015,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
