"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: External_Dependencies/External_package_usage_per_type.cypher"
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","JpaAutoConfiguration",10,19,7,10,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.beans.factory.annotation,org.springframework.boot.autoconfigure.condition,org.springframework.boot.context.properties,org.springframework.boot.autoconfigure.orm.jpa,jakarta.persistence","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureAfter,org.springframework.context.annotation.Bean,org.springframework.beans.factory.annotation.Qualifier,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration,org.springframework.context.annotation.Lazy,jakarta.persistence.EntityManagerFactory","autoconfig","org.axonframework.springboot.autoconfig.JpaAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig.legacyjpa","JpaJavaxAutoConfiguration",11,20,7,11,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.beans.factory.annotation,org.springframework.boot.autoconfigure.condition,javax.persistence,org.springframework.boot.context.properties,org.springframework.boot.autoconfigure.orm.jpa","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureAfter,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.context.annotation.Bean,org.springframework.beans.factory.annotation.Qualifier,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,javax.persistence.EntityManagerFactory,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration,org.springframework.context.annotation.Lazy","legacyjpa","org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration",""
"axon-messaging-4.10.1","org.axonframework.serialization.json","JacksonSerializer",9,28,6,9,"javax.annotation,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.type,com.fasterxml.jackson.databind.module,com.fasterxml.jackson.datatype.jsr310,com.fasterxml.jackson.core","javax.annotation.Nonnull,com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind.type.TypeFactory,com.fasterxml.jackson.databind.module.SimpleModule,com.fasterxml.jackson.datatype.jsr310.JavaTimeModule,com.fasterxml.jackson.core.JsonProcessingException,com.fasterxml.jackson.databind.ObjectWriter,com.fasterxml.jackson.databind.ObjectReader","json","org.axonframework.serialization.json.JacksonSerializer",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","AxonServerConnectionManager$Builder",8,40,6,8,"io.grpc,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.control,io.axoniq.axonserver.connector.impl,io.grpc.netty.shaded.io.grpc.netty,io.grpc.netty.shaded.io.netty.handler.ssl","io.grpc.ManagedChannelBuilder,io.axoniq.axonserver.connector.AxonServerConnectionFactory,io.axoniq.axonserver.grpc.control.NodeInfo$Builder,io.axoniq.axonserver.grpc.control.NodeInfo,io.axoniq.axonserver.connector.AxonServerConnectionFactory$Builder,io.axoniq.axonserver.connector.impl.ServerAddress,io.grpc.netty.shaded.io.grpc.netty.GrpcSslContexts,io.grpc.netty.shaded.io.netty.handler.ssl.SslContextBuilder","connector","org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","AxonServerEventScheduler",10,26,6,10,"javax.annotation,io.axoniq.axonserver.grpc,com.google.protobuf,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.event,io.axoniq.axonserver.connector.event","javax.annotation.Nonnull,io.axoniq.axonserver.grpc.SerializedObject,com.google.protobuf.ByteString,io.axoniq.axonserver.grpc.SerializedObject$Builder,io.axoniq.axonserver.grpc.ErrorMessage,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.grpc.InstructionAck,io.axoniq.axonserver.grpc.event.Event$Builder,io.axoniq.axonserver.grpc.event.Event,io.axoniq.axonserver.connector.event.EventChannel","axon","org.axonframework.axonserver.connector.event.axon.AxonServerEventScheduler",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.processor","EventProcessorControlService",8,36,6,8,"javax.annotation,org.slf4j,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.control,io.axoniq.axonserver.connector.control,io.axoniq.axonserver.connector.admin","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.grpc.control.EventProcessorInfo$Builder,io.axoniq.axonserver.grpc.control.EventProcessorInfo,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.axonserver.connector.admin.AdminChannel","processor","org.axonframework.axonserver.connector.processor.EventProcessorControlService",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","QueryProcessingTask",10,38,6,10,"org.slf4j,io.grpc.netty.shaded.io.netty.util.internal,io.axoniq.axonserver.grpc.query,io.axoniq.axonserver.connector,org.reactivestreams,reactor.core.publisher","org.slf4j.Logger,io.grpc.netty.shaded.io.netty.util.internal.OutOfDirectMemoryError,org.slf4j.LoggerFactory,io.axoniq.axonserver.grpc.query.QueryResponse$Builder,io.axoniq.axonserver.grpc.query.QueryResponse,io.axoniq.axonserver.connector.ReplyChannel,io.axoniq.axonserver.grpc.query.QueryRequest,org.reactivestreams.Publisher,reactor.core.publisher.Flux,io.axoniq.axonserver.connector.FlowControl","query","org.axonframework.axonserver.connector.query.QueryProcessingTask",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","MetricsAutoConfiguration",11,28,6,11,"com.codahale.metrics,org.axonframework.metrics,org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.boot.context.properties","com.codahale.metrics.MetricRegistry,org.axonframework.metrics.GlobalMetricRegistry,org.axonframework.metrics.MetricsConfigurerModule,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.boot.context.properties.EnableConfigurationProperties","autoconfig","org.axonframework.springboot.autoconfig.MetricsAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","JdbcAutoConfiguration",9,30,6,9,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.beans.factory.annotation,org.springframework.boot.autoconfigure.condition,org.springframework.boot.context.properties,org.axonframework.spring.jdbc","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureAfter,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.context.annotation.Bean,org.springframework.beans.factory.annotation.Qualifier,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.boot.context.properties.EnableConfigurationProperties,org.axonframework.spring.jdbc.SpringDataSourceConnectionProvider","autoconfig","org.axonframework.springboot.autoconfig.JdbcAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","JpaEventStoreAutoConfiguration",9,9,6,9,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.beans.factory.annotation,org.springframework.boot.autoconfigure.condition,org.springframework.boot.autoconfigure.orm.jpa,jakarta.persistence","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureAfter,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.context.annotation.Bean,org.springframework.beans.factory.annotation.Qualifier,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration,jakarta.persistence.EntityManagerFactory","autoconfig","org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
