"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.util","io.grpc",39,69,26,"Status$Code,StatusRuntimeException,Status,ClientInterceptor,Metadata$Key,CallOptions,ClientCall,Metadata,Metadata$AsciiMarshaller,Channel,MethodDescriptor,MethodDescriptor$MethodType,ForwardingClientCall$SimpleForwardingClientCall,ClientCall$Listener","util",""
"axon-test-4.10.1","org.axonframework.test.matchers","org.hamcrest",38,147,24,"TypeSafeMatcher,Description,Matcher,BaseMatcher","matchers",""
"axon-messaging-4.10.1","org.axonframework.queryhandling","reactor.core.publisher",28,108,48,"FluxSink,FluxSink$OverflowStrategy,EmitterProcessor,Sinks$ManySpec,Sinks$Many,ConnectableFlux,Sinks,Sinks$MulticastReplaySpec,Flux,Sinks$EmitResult,Mono,MonoSink,Signal","queryhandling",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",25,124,21,"QueryResponse,QueryRequest,QueryProviderInbound,QueryProviderOutbound,QueryResponse$Builder,SubscriptionQuery,QueryUpdate,QueryUpdate$Builder,QueryRequest$Builder","query",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription","io.axoniq.axonserver.grpc.query",21,113,6,"SubscriptionQuery,QueryResponse,QueryUpdate$Builder,SubscriptionQueryResponse$Builder,QueryProviderOutbound,QueryUpdateComplete,QueryUpdate,QueryProviderOutbound$Builder,QueryUpdateCompleteExceptionally,QueryUpdateComplete$Builder,SubscriptionQueryResponse,QueryRequest$Builder,QueryUpdateCompleteExceptionally$Builder,QueryResponse$Builder,SubscriptionQuery$Builder,QueryRequest","subscription",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.util","io.axoniq.axonserver.grpc",20,106,26,"SerializedObject,SerializedObject$Builder,ProcessingInstruction,MetaDataValue,ProcessingKey,MetaDataValue$DataCase,MetaDataValue$Builder,ErrorMessage$Builder,ErrorMessage,FlowControl,FlowControl$Builder","util",""
"axon-messaging-4.10.1","org.axonframework.deadline.quartz","org.quartz",18,109,4,"SchedulerContext,TriggerBuilder,SchedulerException,JobDetail,Trigger,JobBuilder,Scheduler,JobKey,Job,JobExecutionContext,JobExecutionException,JobDataMap","quartz",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.connector.event",18,89,27,"PersistentStreamProperties,EventChannel,PersistentStreamCallbacks,PersistentStreamSegment,PersistentStream,AggregateEventStream,AppendEventsTransaction,EventQueryResultEntry,EventStream","axon",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.quartz","org.quartz",17,76,6,"Scheduler,JobDataMap,SchedulerException,JobBuilder,TriggerBuilder,Trigger,JobDetail,SchedulerContext,JobKey,JobExecutionContext,Job,JobExecutionException","quartz",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",17,53,21,"FlowControl,ResultStream,AxonServerConnection,Registration,ResultStreamPublisher,ReplyChannel","query",""
