"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-disruptor-4.8.0",1,"commandhandling",""
0,"axon-eventsourcing-4.8.0",2,"eventsourcing,conflictresolution",""
0,"axon-messaging-4.8.0",13,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock",""
0,"axon-modelling-4.8.0",3,"command,inspection,legacyjpa",""
0,"axon-test-4.8.0",1,"server",""
1,"axon-messaging-4.8.0",1,"property",""
1,"axon-modelling-4.8.0",7,"saga,metamodel,repository,inmemory,jdbc,jpa,legacyjpa",""
2,"axon-configuration-4.8.0",1,"config",""
2,"axon-eventsourcing-4.8.0",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
2,"axon-messaging-4.8.0",11,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,java,lifecycle,monitoring",""
