"communityId","artifactName","packageCount","packageNames","Source Cypher File: Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
1,"axon-disruptor-4.8.0",1,"commandhandling",""
1,"axon-eventsourcing-4.8.0",2,"eventsourcing,conflictresolution",""
1,"axon-messaging-4.8.0",13,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock",""
1,"axon-modelling-4.8.0",3,"command,inspection,legacyjpa",""
1,"axon-test-4.8.0",1,"server",""
2,"axon-messaging-4.8.0",1,"property",""
2,"axon-modelling-4.8.0",7,"saga,metamodel,repository,inmemory,jdbc,jpa,legacyjpa",""
3,"axon-configuration-4.8.0",1,"config",""
3,"axon-eventsourcing-4.8.0",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
3,"axon-messaging-4.8.0",11,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,java,lifecycle,monitoring",""
