"graphVizDotNotationLine","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_for_graphviz.cypher"
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-server-connector-4.10.3\n(level 1/6)"" [label=88; penwidth=1.57; ];",""
"""axon-server-connector-4.10.3\n(level 1/6)"" -> ""axon-configuration-4.10.3\n(level 2/6)"" [label=38; penwidth=1.24; ];",""
"""axon-configuration-4.10.3\n(level 2/6)"" -> ""axon-disruptor-4.10.3\n(level 3/6)"" [label=2; penwidth=1.0; ];",""
"""axon-disruptor-4.10.3\n(level 3/6)"" -> ""axon-eventsourcing-4.10.3\n(level 4/6)"" [label=30; penwidth=1.19; ];",""
"""axon-eventsourcing-4.10.3\n(level 4/6)"" -> ""axon-modelling-4.10.3\n(level 5/6)"" [label=80; penwidth=1.52; ];",""
"""axon-modelling-4.10.3\n(level 5/6)"" -> ""axon-messaging-4.10.3\n(level 6/6)"" [label=744; penwidth=5.92; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-server-connector-4.10.3\n(level 1/6)"" [label=88; penwidth=1.57; ];",""
"""axon-server-connector-4.10.3\n(level 1/6)"" -> ""axon-configuration-4.10.3\n(level 2/6)"" [label=38; penwidth=1.24; ];",""
"""axon-configuration-4.10.3\n(level 2/6)"" -> ""axon-disruptor-4.10.3\n(level 3/6)"" [label=2; penwidth=1.0; ];",""
"""axon-disruptor-4.10.3\n(level 3/6)"" -> ""axon-eventsourcing-4.10.3\n(level 4/6)"" [label=30; penwidth=1.19; ];",""
"""axon-eventsourcing-4.10.3\n(level 4/6)"" -> ""axon-modelling-4.10.3\n(level 5/6)"" [label=80; penwidth=1.52; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-server-connector-4.10.3\n(level 1/6)"" [label=88; penwidth=1.57; ];",""
"""axon-server-connector-4.10.3\n(level 1/6)"" -> ""axon-configuration-4.10.3\n(level 2/6)"" [label=38; penwidth=1.24; ];",""
"""axon-configuration-4.10.3\n(level 2/6)"" -> ""axon-disruptor-4.10.3\n(level 3/6)"" [label=2; penwidth=1.0; ];",""
"""axon-disruptor-4.10.3\n(level 3/6)"" -> ""axon-eventsourcing-4.10.3\n(level 4/6)"" [label=30; penwidth=1.19; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-server-connector-4.10.3\n(level 1/6)"" [label=88; penwidth=1.57; ];",""
"""axon-server-connector-4.10.3\n(level 1/6)"" -> ""axon-configuration-4.10.3\n(level 2/6)"" [label=38; penwidth=1.24; ];",""
"""axon-configuration-4.10.3\n(level 2/6)"" -> ""axon-disruptor-4.10.3\n(level 3/6)"" [label=2; penwidth=1.0; ];",""
"""axon-server-connector-4.10.3\n(level 1/6)"" -> ""axon-configuration-4.10.3\n(level 2/6)"" [label=38; penwidth=1.24; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-server-connector-4.10.3\n(level 1/6)"" [label=88; penwidth=1.57; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-test-4.10.3\n(level 1/6)"" [label=4; penwidth=1.01; ];",""
"""axon-spring-boot-autoconfigure-4.10.3\n(level 0/6)"" -> ""axon-tracing-opentelemetry-4.10.3\n(level 1/6)"" [label=4; penwidth=1.01; ];",""
