"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1616,"org.axonframework.eventsourcing.AbstractSnapshotTrigger.eventHandled(0),org.axonframework.eventsourcing.AbstractSnapshotter$Builder.spanFactory(0),org.axonframework.eventsourcing.AbstractSnapshotter.scheduleSnapshot(0),org.axonframework.eventsourcing.AbstractSnapshotter.scheduleSnapshot(1),org.axonframework.eventsourcing.AggregateLoadTimeSnapshotTriggerDefinition.prepareTrigger(0),org.axonframework.eventsourcing.AggregateLoadTimeSnapshotTriggerDefinition.reconfigure(0),org.axonframework.eventsourcing.AggregateLoadTimeSnapshotTriggerDefinition.reconfigure(1),org.axonframework.eventsourcing.AggregateSnapshotter$Builder.spanFactory(0),org.axonframework.eventsourcing.EventCountSnapshotTriggerDefinition.prepareTrigger(0)",""
"java.lang.Deprecated","Method",132,"org.axonframework.eventsourcing.AbstractSnapshotter$Builder.spanFactory,org.axonframework.eventsourcing.EventSourcingRepository$Builder.spanFactory,org.axonframework.eventsourcing.MultiStreamableMessageSource.builder,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine$Builder.snapshotFilter,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.domainEventFields,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.trackedEventFields,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine.setGapTimeout",""
"org.springframework.context.annotation.Bean","Method",111,"org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerCommandBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.queryBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerEventStoreFactory,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",78,"org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.queryBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerEventStoreFactory,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration.meterRegistry",""
"java.lang.FunctionalInterface","Interface",65,"org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateHeadTokenStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendSnapshotStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.DeleteSnapshotsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.FetchTrackedEventsStatementBuilder",""
"javax.annotation.Nullable","Parameter",61,"org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2),org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(2),org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails.<init>(3)",""
"javax.annotation.Nonnull","Method",50,"org.axonframework.axonserver.connector.util.PriorityExecutorService.shutdownNow,org.axonframework.axonserver.connector.util.PriorityExecutorService.submit,org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAll,org.axonframework.axonserver.connector.util.PriorityExecutorService.invokeAny,org.axonframework.axonserver.connector.query.AxonServerQueryBus.registerDispatchInterceptor,org.axonframework.axonserver.connector.query.subscription.GrpcBackedSubscriptionQueryMessage.getQueryName,org.axonframework.axonserver.connector.query.subscription.GrpcBackedSubscriptionQueryMessage.getResponseType,org.axonframework.commandhandling.gateway.DefaultCommandGateway.registerDispatchInterceptor,org.axonframework.eventhandling.GenericEventMessage.getTimestamp",""
"java.lang.annotation.Retention","Annotation",43,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay",""
"java.lang.annotation.Target","Annotation",43,"org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay",""
"java.lang.Deprecated","Class",43,"org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor,org.axonframework.axonserver.connector.util.TokenAddingInterceptor,org.axonframework.axonserver.connector.util.ResubscribableStreamObserver,org.axonframework.axonserver.connector.util.FlowControllingStreamObserver",""
"javax.persistence.Basic","Field",39,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"jakarta.persistence.Basic","Field",33,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
