"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-test-4.9.3.jar",8,87,0,3,""
"axon-modelling-4.9.3.jar",10,156,4,1,""
"axon-configuration-4.9.3.jar",1,40,0,4,""
"axon-disruptor-4.9.3.jar",1,22,1,3,""
"axon-messaging-4.9.3.jar",64,786,5,0,""
"axon-eventsourcing-4.9.3.jar",9,133,3,2,""
