"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_Breakdown_Backward_Only.cypher"
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.tracing","EventMessage<-NestingSpanFactory",0.9,19,1,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","QueryResponseMessage<-ConvertingResponseMessage",0.8823529411764706,16,1,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","axon-messaging-4.9.3","org.axonframework.tracing","QueryMessage<-SpanUtils",0.875,15,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.messaging","EventMessage<-Headers",0.8571428571428571,39,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.messaging","DomainEventMessage<-Headers",0.8571428571428571,39,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.messaging","TrackingToken<-StreamableMessageSource",0.8571428571428571,39,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.messaging.annotation","DomainEventMessage<-SourceIdParameterResolverFactory$SourceIdParameterResolver",0.84,23,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.messaging.annotation","DomainEventMessage<-AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver",0.84,23,2,""
"axon-messaging-4.9.3","org.axonframework.deadline","axon-messaging-4.9.3","org.axonframework.tracing","DeadlineMessage<-SpanUtils",0.8,9,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling","axon-messaging-4.9.3","org.axonframework.tracing","CommandMessage<-SpanUtils",0.7777777777777778,8,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","EventStreamUtils<-AbstractEventStorageEngine",0.7777777777777778,16,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","EventStreamUtils<-DomainEventStream",0.7777777777777778,16,2,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks","axon-messaging-4.9.3","org.axonframework.commandhandling","LoggingCallback<-SimpleCommandBus$Builder",0.7333333333333333,13,2,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks","axon-messaging-4.9.3","org.axonframework.commandhandling","NoOpCallback<-SimpleCommandBus$Builder",0.7333333333333333,13,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.serialization","GenericEventMessage<-AbstractXStreamSerializer",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.serialization","GenericDomainEventMessage<-AbstractXStreamSerializer",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.serialization","GapAwareTrackingToken<-GapAwareTrackingTokenConverter",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","axon-messaging-4.9.3","org.axonframework.messaging","CurrentUnitOfWork<-GenericMessage",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","axon-messaging-4.9.3","org.axonframework.messaging","UnitOfWork<-MessageHandlerInterceptor",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","axon-messaging-4.9.3","org.axonframework.messaging","UnitOfWork<-DefaultInterceptorChain",0.6470588235294118,14,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","axon-messaging-4.9.3","org.axonframework.eventhandling","SequencingPolicy<-SimpleEventHandlerInvoker",0.5384615384615384,10,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","axon-messaging-4.9.3","org.axonframework.eventhandling","SequencingPolicy<-SimpleEventHandlerInvoker$Builder",0.5384615384615384,10,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","axon-messaging-4.9.3","org.axonframework.eventhandling","SequentialPerAggregatePolicy<-SimpleEventHandlerInvoker$Builder",0.5384615384615384,10,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","axon-messaging-4.9.3","org.axonframework.eventhandling","GenericResetContext<-AnnotationEventHandlerAdapter",0.45454545454545453,8,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","axon-messaging-4.9.3","org.axonframework.eventhandling","ResetContext<-AnnotationEventHandlerAdapter",0.45454545454545453,8,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","axon-messaging-4.9.3","org.axonframework.eventhandling","ResetContext<-ResetHandler",0.45454545454545453,8,3,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","axon-messaging-4.9.3","org.axonframework.eventhandling","InitialEventRepresentation<-EventUtils",0.3333333333333333,6,3,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","axon-messaging-4.9.3","org.axonframework.eventhandling","IntermediateEventRepresentation<-EventUtils",0.3333333333333333,6,3,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","axon-messaging-4.9.3","org.axonframework.eventhandling","EventUpcaster<-EventUtils",0.3333333333333333,6,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-ReadEventDataForAggregateStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-ReadEventDataWithGapsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-AppendEventsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-AppendSnapshotStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-ReadEventDataWithoutGapsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-ReadSnapshotDataStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-DeleteSnapshotsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-CreateTokenAtStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-LastSequenceNumberForStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-JdbcEventStorageEngineStatements",0.3170731707317073,27,14,""
