"artifactName","dependentArtifactName","packageName","dependentPackage.fqn","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNames","Source Cypher File: Internal_Dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.snapshotting","org.axonframework.eventhandling",1,100,0.01,"org.axonframework.eventhandling.DomainEventData",""
"axon-test-4.9.3","axon-messaging-4.9.3","org.axonframework.test.matchers","org.axonframework.eventhandling",1,100,0.01,"org.axonframework.eventhandling.EventMessage",""
"axon-modelling-4.9.3","axon-messaging-4.9.3","org.axonframework.modelling.saga.metamodel","org.axonframework.eventhandling",1,100,0.01,"org.axonframework.eventhandling.EventMessage",""
"axon-eventsourcing-4.9.3","axon-modelling-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","org.axonframework.modelling.command",1,54,0.018518518518518517,"org.axonframework.modelling.command.ConcurrencyException",""
"axon-eventsourcing-4.9.3","axon-modelling-4.9.3","org.axonframework.eventsourcing.conflictresolution","org.axonframework.modelling.command",1,54,0.018518518518518517,"org.axonframework.modelling.command.ConflictingAggregateVersionException",""
"axon-modelling-4.9.3","axon-messaging-4.9.3","org.axonframework.modelling.command.legacyjpa","org.axonframework.eventhandling",2,100,0.02,"org.axonframework.eventhandling.EventBus,org.axonframework.eventhandling.DomainEventSequenceAware",""
"axon-modelling-4.9.3","axon-messaging-4.9.3","org.axonframework.modelling.command","org.axonframework.eventhandling",2,100,0.02,"org.axonframework.eventhandling.EventBus,org.axonframework.eventhandling.DomainEventSequenceAware",""
"axon-test-4.9.3","axon-messaging-4.9.3","org.axonframework.test.eventscheduler","org.axonframework.eventhandling",2,100,0.02,"org.axonframework.eventhandling.EventMessage,org.axonframework.eventhandling.GenericEventMessage",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.conflictresolution","org.axonframework.eventhandling",2,100,0.02,"org.axonframework.eventhandling.EventMessage,org.axonframework.eventhandling.DomainEventMessage",""
"axon-test-4.9.3","axon-messaging-4.9.3","org.axonframework.test.matchers","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-test-4.9.3","axon-messaging-4.9.3","org.axonframework.test","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.conflictresolution","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.eventstore","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.StreamableMessageSource",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
"axon-eventsourcing-4.9.3","axon-messaging-4.9.3","org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
