"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2331,895,1001,"/org/axonframework/test/deadline uses /org/axonframework/test/matchers,/org/axonframework/test/saga uses /org/axonframework/test/matchers,/org/axonframework/test/aggregate uses /org/axonframework/test/matchers,/org/axonframework/test/saga uses /org/axonframework/test/utils",""
1,75,70,29,"/org/axonframework/test/matchers uses /org/axonframework/test,/org/axonframework/test/deadline uses /org/axonframework/test,/org/axonframework/test/eventscheduler uses /org/axonframework/test,/org/axonframework/test/saga uses /org/axonframework/test",""
2,2265,685,371,"/org/axonframework/test/deadline/DeadlineManagerValidator.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/saga/SagaTestFixture$MutableFieldFilter.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/saga/EventValidator.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/saga/FixtureConfiguration.class uses /org/axonframework/test/matchers/FieldFilter.class",""
4,1481,292,329,"/org/axonframework/eventsourcing/EventSourcingRepository$Builder.class uses /org/axonframework/modelling/command/AbstractRepository$Builder.class,/org/axonframework/config/DefaultConfigurer.class uses /org/axonframework/modelling/command/DefaultRepositorySpanFactory$Builder.class,/org/axonframework/eventsourcing/EventSourcingRepository$Builder.class uses /org/axonframework/modelling/command/inspection/AggregateModel.class,/org/axonframework/eventsourcing/AggregateSnapshotter.class uses /org/axonframework/modelling/command/inspection/AggregateModel.class",""
