"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-server-connector-4.10.3.jar",11,136,1,4,""
"axon-configuration-4.10.3.jar",1,41,2,4,""
"axon-disruptor-4.10.3.jar",1,22,1,3,""
"axon-messaging-4.10.3.jar",64,787,8,0,""
"axon-eventsourcing-4.10.3.jar",9,133,5,2,""
"axon-modelling-4.10.3.jar",10,158,6,1,""
"axon-spring-boot-autoconfigure-4.10.3.jar",9,75,0,7,""
"axon-test-4.10.3.jar",8,87,1,3,""
"axon-tracing-opentelemetry-4.10.3.jar",1,5,1,1,""
