"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2618,1029,1164,"/axon-spring-boot-autoconfigure-4.10.3.jar uses /axon-configuration-4.10.3.jar,/axon-server-connector-4.10.3.jar uses /axon-configuration-4.10.3.jar,/org/axonframework/config/AggregateConfiguration.class uses /org/axonframework/config/ModuleConfiguration.class,/org/axonframework/config/AxonIQConsoleModule.class uses /org/axonframework/config/ModuleConfiguration.class",""
1,90,82,38,"/org/axonframework/eventsourcing/eventstore uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing uses /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing uses /org/axonframework/eventsourcing/eventstore,/org/axonframework/eventsourcing/eventstore/jpa uses /org/axonframework/eventsourcing/eventstore",""
2,2503,760,472,"/org/axonframework/eventsourcing/EventSourcingRepository.class uses /org/axonframework/eventsourcing/conflictresolution/ConflictResolution.class,/org/axonframework/eventsourcing/AbstractSnapshotter.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class,/org/axonframework/eventsourcing/CachingEventSourcingRepository.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class,/org/axonframework/eventsourcing/AbstractSnapshotter$CreateSnapshotTask.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class",""
4,2594,449,540,"/org/axonframework/axonserver/connector/event/axon/EventProcessorInfoConfiguration.class uses /org/axonframework/config/ModuleConfiguration.class,/org/axonframework/springboot/autoconfig/InfraConfiguration.class uses /org/axonframework/config/ModuleConfiguration.class,/org/axonframework/axonserver/connector/heartbeat/HeartbeatConfiguration.class uses /org/axonframework/config/ModuleConfiguration.class,/org/axonframework/springboot/autoconfig/InfraConfiguration.class uses /org/axonframework/config/DefaultConfigurer.class",""
