"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
0.48484848484848486,"axon-messaging-4.9.0","org.axonframework.messaging.annotation",343,184,"axon-messaging-4.9.0","org.axonframework.messaging.deadletter",108,61,""
0.47058823529411764,"axon-messaging-4.9.0","org.axonframework.messaging.annotation",343,184,"axon-messaging-4.9.0","org.axonframework.messaging.unitofwork",176,59,""
0.47058823529411764,"axon-messaging-4.9.0","org.axonframework.messaging.unitofwork",176,59,"axon-messaging-4.9.0","org.axonframework.messaging.annotation",343,184,""
0.4700854700854701,"axon-messaging-4.9.0","org.axonframework.serialization",324,111,"axon-messaging-4.9.0","org.axonframework.messaging.annotation",343,184,""
0.4698275862068966,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jpa",22,66,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.legacyjpa",9,56,""
0.4698275862068966,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.legacyjpa",9,56,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jpa",22,66,""
0.46715328467153283,"axon-messaging-4.9.0","org.axonframework.commandhandling",285,160,"axon-messaging-4.9.0","org.axonframework.deadline",90,82,""
0.46715328467153283,"axon-messaging-4.9.0","org.axonframework.deadline",90,82,"axon-messaging-4.9.0","org.axonframework.commandhandling",285,160,""
0.46153846153846156,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.jpa",9,29,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore",49,19,""
0.45353159851301117,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jdbc",34,105,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jpa",22,66,""
0.45353159851301117,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jpa",22,66,"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter.jdbc",34,105,""
0.4457831325301205,"axon-messaging-4.9.0","org.axonframework.tracing",155,66,"axon-messaging-4.9.0","org.axonframework.serialization",324,111,""
0.42857142857142855,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.java",5,24,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.dbscheduler",7,32,""
