"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-disruptor-4.7.5","axon-messaging-4.7.5",9,61,0.14754098360655737,"org.axonframework.common.transaction,org.axonframework.messaging,org.axonframework.monitoring,org.axonframework.messaging.unitofwork,org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.common,org.axonframework.common.caching,org.axonframework.messaging.annotation","transaction,messaging,monitoring,unitofwork,commandhandling,callbacks,common,caching,annotation","",""
"axon-test-4.7.5","axon-messaging-4.7.5",10,61,0.16393442622950818,"org.axonframework.messaging,org.axonframework.deadline,org.axonframework.messaging.unitofwork,org.axonframework.common,org.axonframework.common.stream,org.axonframework.eventhandling,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.scheduling","messaging,deadline,unitofwork,common,stream,eventhandling,annotation,commandhandling,gateway,scheduling","",""
"axon-disruptor-4.7.5","axon-modelling-4.7.5",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection","",""
"axon-eventsourcing-4.7.5","axon-modelling-4.7.5",2,10,0.2,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command","inspection,command","",""
"axon-test-4.7.5","axon-eventsourcing-4.7.5",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore","",""
"axon-disruptor-4.7.5","axon-eventsourcing-4.7.5",2,9,0.2222222222222222,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing","eventstore,eventsourcing","",""
"axon-modelling-4.7.5","axon-messaging-4.7.5",18,61,0.29508196721311475,"org.axonframework.common.lock,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.common,org.axonframework.common.caching,org.axonframework.common.jpa,org.axonframework.serialization,org.axonframework.serialization.xml,org.axonframework.messaging,org.axonframework.common.annotation,org.axonframework.common.property,org.axonframework.eventhandling,org.axonframework.tracing,org.axonframework.common.legacyjpa,org.axonframework.common.jdbc,org.axonframework.deadline,org.axonframework.messaging.interceptors,org.axonframework.commandhandling","lock,annotation,unitofwork,common,caching,jpa,serialization,xml,messaging,property,eventhandling,tracing,legacyjpa,jdbc,deadline,interceptors,commandhandling","",""
"axon-eventsourcing-4.7.5","axon-messaging-4.7.5",20,61,0.32786885245901637,"org.axonframework.common,org.axonframework.messaging.unitofwork,org.axonframework.messaging,org.axonframework.common.lock,org.axonframework.tracing,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling,org.axonframework.messaging.annotation,org.axonframework.common.caching,org.axonframework.common.transaction,org.axonframework.serialization,org.axonframework.common.legacyjpa,org.axonframework.monitoring,org.axonframework.common.io,org.axonframework.common.jdbc,org.axonframework.common.stream,org.axonframework.serialization.xml,org.axonframework.lifecycle,org.axonframework.common.jpa,org.axonframework.commandhandling","common,unitofwork,messaging,lock,tracing,event,eventhandling,annotation,caching,transaction,serialization,legacyjpa,monitoring,io,jdbc,stream,xml,lifecycle,jpa,commandhandling","",""
"axon-test-4.7.5","axon-modelling-4.7.5",4,10,0.4,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga","command,inspection,inmemory,saga","",""
"axon-configuration-4.7.5","axon-eventsourcing-4.7.5",4,9,0.4444444444444444,"org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","snapshotting,eventsourcing,eventstore,jpa","",""
