"dependentType.fqn","dependentType.name","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.deadletter.NoSuchDeadLetterException","NoSuchDeadLetterException","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.messaging.deadletter.WrongDeadLetterTypeException","WrongDeadLetterTypeException","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.messaging.deadletter.DeadLetterQueueOverflowException","DeadLetterQueueOverflowException","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.eventhandling.ErrorHandler","ErrorHandler","Type,File,Java,ByteCode,Interface",2,"",""
"org.axonframework.eventhandling.ReplayToken","ReplayToken","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.eventhandling.scheduling.SchedulingException","SchedulingException","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.eventhandling.tokenstore.AbstractTokenEntry","AbstractTokenEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",2,"",""
"org.axonframework.messaging.interceptors.MessageHandlerInterceptor","MessageHandlerInterceptor","Type,File,Java,ByteCode,Annotation",2,"",""
"org.axonframework.common.transaction.Transaction","Transaction","Type,File,Java,ByteCode,Interface",2,"",""
"org.axonframework.messaging.IllegalPayloadAccessException","IllegalPayloadAccessException","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.queryhandling.QueryHandler","QueryHandler","Type,File,Java,ByteCode,Annotation",2,"",""
"org.axonframework.queryhandling.QueryBus","QueryBus","Type,File,Java,ByteCode,Interface",2,"",""
"org.axonframework.serialization.ChainingConverter","ChainingConverter","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.serialization.AnnotationRevisionResolver","AnnotationRevisionResolver","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.commandhandling.CommandMessageHandlingMember","CommandMessageHandlingMember","Type,File,Java,ByteCode,GenericDeclaration,Interface",2,"",""
"org.axonframework.common.lock.Lock","Lock","Type,File,Java,ByteCode,Interface",2,"",""
"org.axonframework.modelling.saga.metamodel.SagaModel","SagaModel","Type,File,Java,ByteCode,GenericDeclaration,Interface",2,"",""
"org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory","AnnotationSagaMetaModelFactory","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.eventhandling.LoggingErrorHandler","LoggingErrorHandler","Type,File,Java,ByteCode,Class",2,"",""
"org.axonframework.modelling.saga.SagaRepository","SagaRepository","Type,File,Java,ByteCode,GenericDeclaration,Interface",2,"",""
"org.axonframework.modelling.saga.repository.jpa.SagaEntry","SagaEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",2,"",""
"org.axonframework.test.matchers.PayloadMatcher","PayloadMatcher","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.test.matchers.MapEntryMatcher","MapEntryMatcher","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.annotation.SimpleResourceParameterResolverFactory","SimpleResourceParameterResolverFactory","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition","ClasspathHandlerEnhancerDefinition","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.matchers.IgnoreField","IgnoreField","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.matchers.MatchAllFieldFilter","MatchAllFieldFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.utils.CallbackBehavior","CallbackBehavior","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$InvocationHandler","CommandGatewayFactory$InvocationHandler","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$Builder","CommandGatewayFactory$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory","CommandGatewayFactory","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.utils.RecordingCommandBus","RecordingCommandBus","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.eventscheduler.StubEventScheduler","StubEventScheduler","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.test.eventscheduler.EventSchedulerValidator","EventSchedulerValidator","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork","AbstractUnitOfWork","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventsourcing.SnapshotTrigger","SnapshotTrigger","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.AggregateCacheEntry","AggregateCacheEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.messaging.unitofwork.MessageProcessingContext","MessageProcessingContext","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.common.caching.NoCache","NoCache","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.DuplicateCommandHandlerResolution","DuplicateCommandHandlerResolution","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.VersionedAggregateIdentifier","VersionedAggregateIdentifier","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.LockAwareAggregate","LockAwareAggregate","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver","DefaultConflictResolver","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.conflictresolution.ConflictResolution","ConflictResolution","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.DirectExecutor","DirectExecutor","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.MultiStreamableMessageSource$Builder","MultiStreamableMessageSource$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.MultiStreamableMessageSource","MultiStreamableMessageSource","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.AbstractEventBus","AbstractEventBus","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.upcasting.event.NoOpEventUpcaster","NoOpEventUpcaster","Type,File,Java,ByteCode,Enum",1,"",""
"org.axonframework.eventsourcing.EventStreamUtils","EventStreamUtils","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.AggregateStreamCreationException","AggregateStreamCreationException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataForAggregateStatementBuilder","ReadEventDataForAggregateStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.CleanGapsStatementBuilder","CleanGapsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder","CreateTokenAtStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateHeadTokenStatementBuilder","CreateHeadTokenStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataWithGapsStatementBuilder","ReadEventDataWithGapsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.LastSequenceNumberForStatementBuilder","LastSequenceNumberForStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadSnapshotDataStatementBuilder","ReadSnapshotDataStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.JdbcEventStorageEngineStatements","JdbcEventStorageEngineStatements","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.FetchTrackedEventsStatementBuilder","FetchTrackedEventsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder","CreateTailTokenStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendSnapshotStatementBuilder","AppendSnapshotStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataWithoutGapsStatementBuilder","ReadEventDataWithoutGapsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.DeleteSnapshotsStatementBuilder","DeleteSnapshotsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder","AppendEventsStatementBuilder","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry","AbstractSnapshotEventEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry","AbstractSequencedDomainEventEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry","DomainEventEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry","SnapshotEventEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore$Builder","AbstractEventStore$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore","AbstractEventStore","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.RemoteNonTransientHandlingException","RemoteNonTransientHandlingException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.RemoteHandlingException","RemoteHandlingException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.RemoteExceptionDescription","RemoteExceptionDescription","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter","AndCommandMessageFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter","OrCommandMessageFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter","NegateCommandMessageFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.digest.Digester","Digester","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.DenyAll","DenyAll","Type,File,Java,ByteCode,Enum",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter","CommandNameFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter","DenyCommandNameFilter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.distributed.CommandMessageFilter","CommandMessageFilter","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.commandhandling.callbacks.FutureCallback","FutureCallback","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.commandhandling.callbacks.FailureLoggingCallback","FailureLoggingCallback","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.common.lock.DeadlockException","DeadlockException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.annotation.MetaDataValue","MetaDataValue","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.messaging.annotation.AbstractAnnotatedParameterResolverFactory","AbstractAnnotatedParameterResolverFactory","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.replay.ResetContext","ResetContext","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.eventhandling.replay.GenericResetContext","GenericResetContext","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.EventProcessingStrategy","EventProcessingStrategy","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.common.jpa.PagingJpaQueryIterable","PagingJpaQueryIterable","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry","DeadLetterEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry","DeadLetterEventEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.legacyjpa.PagingJpaQueryIterable","PagingJpaQueryIterable","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.deadletter.jpa.NoJpaConverterFoundException","NoJpaConverterFoundException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.MergedTrackingToken","MergedTrackingToken","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.TrackerStatus","TrackerStatus","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.WrappedToken","WrappedToken","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventhandling.AbstractEventProcessor$Builder","AbstractEventProcessor$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.StreamingEventProcessor","StreamingEventProcessor","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventhandling.EventTrackerStatus","EventTrackerStatus","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventhandling.AbstractEventProcessor","AbstractEventProcessor","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.AllowReplay","AllowReplay","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.eventhandling.ReplayStatus","ReplayStatus","Type,File,Java,ByteCode,Enum",1,"",""
"org.axonframework.common.jdbc.JdbcException","JdbcException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.tokenstore.GenericTokenEntry","GenericTokenEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.tokenstore.jpa.TokenEntry","TokenEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.tokenstore.jpa.TokenEntry$PK","TokenEntry$PK","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.SerializedObjectHolder","SerializedObjectHolder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.interceptors.ResultHandler","ResultHandler","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.common.annotation.PriorityAnnotationComparator","PriorityAnnotationComparator","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.messaging.HandlerAttributes","HandlerAttributes","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.messaging.SimpleHandlerAttributes","SimpleHandlerAttributes","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.NoScopeDescriptor","NoScopeDescriptor","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.StringUtils","StringUtils","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.TypeReflectionUtils","TypeReflectionUtils","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.util.ClasspathResolver","ClasspathResolver","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.QueryResponseMessage","QueryResponseMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolver","DuplicateQueryHandlerResolver","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolution","DuplicateQueryHandlerResolution","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.responsetypes.PublisherResponseType","PublisherResponseType","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.messaging.responsetypes.ResponseTypes","ResponseTypes","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.responsetypes.OptionalResponseType","OptionalResponseType","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.messaging.responsetypes.MultipleInstancesResponseType","MultipleInstancesResponseType","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.queryhandling.QueryHandlerAdapter","QueryHandlerAdapter","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.queryhandling.NoHandlerForQueryException","NoHandlerForQueryException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.annotation.UnsupportedHandlerException","UnsupportedHandlerException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.QuerySubscription","QuerySubscription","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.messaging.AbstractMessage","AbstractMessage","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.util.MavenArtifactVersionResolver","MavenArtifactVersionResolver","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.GenericQueryMessage","GenericQueryMessage","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.queryhandling.GenericSubscriptionQueryUpdateMessage","GenericSubscriptionQueryUpdateMessage","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.queryhandling.GenericQueryResponseMessage","GenericQueryResponseMessage","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.UnknownSerializedType","UnknownSerializedType","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.SerializationException","SerializationException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.upcasting.ContextAwareSingleEntryMultiUpcaster","ContextAwareSingleEntryMultiUpcaster","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.upcasting.GenericUpcasterChain","GenericUpcasterChain","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.upcasting.Upcaster","Upcaster","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.serialization.upcasting.SingleEntryMultiUpcaster","SingleEntryMultiUpcaster","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.upcasting.ContextAwareSingleEntryUpcaster","ContextAwareSingleEntryUpcaster","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.upcasting.SingleEntryUpcaster","SingleEntryUpcaster","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.serialization.AbstractXStreamSerializer$Builder","AbstractXStreamSerializer$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.AbstractXStreamSerializer","AbstractXStreamSerializer","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.tracing.SpanAttributesProvider","SpanAttributesProvider","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.commandhandling.CommandHandler","CommandHandler","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.commandhandling.CommandMessageHandler","CommandMessageHandler","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.modelling.command.inspection.CreationPolicyMember","CreationPolicyMember","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.common.lock.NoOpLock","NoOpLock","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.inspection.EntityModel","EntityModel","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.modelling.command.ForwardingMode","ForwardingMode","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.modelling.command.AggregateEntityNotFoundException","AggregateEntityNotFoundException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.AggregateInvocationException","AggregateInvocationException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory","InterceptorChainParameterResolverFactory","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.command.CreationPolicy","CreationPolicy","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.modelling.command.AggregateMember","AggregateMember","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.modelling.command.AggregateCreationPolicy","AggregateCreationPolicy","Type,File,Java,ByteCode,Enum",1,"",""
"org.axonframework.modelling.command.CommandHandlerInterceptor","CommandHandlerInterceptor","Type,File,Java,ByteCode,Annotation",1,"",""
"org.axonframework.messaging.annotation.MessageInterceptingMember","MessageInterceptingMember","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.eventhandling.ResetNotSupportedException","ResetNotSupportedException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.SagaMethodMessageHandlingMember","SagaMethodMessageHandlingMember","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.modelling.saga.AnnotatedSaga","AnnotatedSaga","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.modelling.saga.Saga","Saga","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.modelling.saga.SagaStorageException","SagaStorageException","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.jdbc.UnitOfWorkAwareConnectionProviderWrapper","UnitOfWorkAwareConnectionProviderWrapper","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.common.jdbc.DataSourceConnectionProvider","DataSourceConnectionProvider","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.repository.jpa.SerializedSaga","SerializedSaga","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry","AssociationValueEntry","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.AbstractSagaManager","AbstractSagaManager","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.EventProcessor","EventProcessor","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.messaging.annotation.FixedValueParameterResolver","FixedValueParameterResolver","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder","DeadLetteringEventHandlerInvoker$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.interceptors.CorrelationDataInterceptor","CorrelationDataInterceptor","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.commandhandling.gateway.DefaultCommandGateway","DefaultCommandGateway","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.SubscriptionQueryUpdateMessage","SubscriptionQueryUpdateMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface",1,"",""
"org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler","LoggingQueryInvocationErrorHandler","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver","LoggingDuplicateCommandHandlerResolver","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.gateway.EventGateway","EventGateway","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.queryhandling.QueryInvocationErrorHandler","QueryInvocationErrorHandler","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.queryhandling.SimpleQueryBus","SimpleQueryBus","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.DefaultQueryGateway$Builder","DefaultQueryGateway$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.gateway.DefaultCommandGateway$Builder","DefaultCommandGateway$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder","LoggingQueryInvocationErrorHandler$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.AggregateSnapshotter$Builder","AggregateSnapshotter$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter","SimpleQueryUpdateEmitter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.commandhandling.gateway.CommandGateway","CommandGateway","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventsourcing.AggregateSnapshotter","AggregateSnapshotter","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.Snapshotter","Snapshotter","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.eventhandling.SimpleEventBus","SimpleEventBus","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.QueryUpdateEmitter","QueryUpdateEmitter","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.deadline.SimpleDeadlineManager$Builder","SimpleDeadlineManager$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore$Builder","JpaTokenStore$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.gateway.DefaultEventGateway$Builder","DefaultEventGateway$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter$Builder","SimpleQueryUpdateEmitter$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.xml.XStreamSerializer$Builder","XStreamSerializer$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.messaging.correlation.MessageOriginProvider","MessageOriginProvider","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Builder","EmbeddedEventStore$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.annotation.AnnotationQueryHandlerAdapter","AnnotationQueryHandlerAdapter","Type,File,Java,ByteCode,Class,GenericDeclaration",1,"",""
"org.axonframework.queryhandling.QueryGateway","QueryGateway","Type,File,Java,ByteCode,Interface",1,"",""
"org.axonframework.queryhandling.DefaultQueryGateway","DefaultQueryGateway","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.gateway.DefaultEventGateway","DefaultEventGateway","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.serialization.upcasting.event.EventUpcasterChain","EventUpcasterChain","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore","JpaSagaStore","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder","JpaSagaStore$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.util.HandlerTypeResolver","HandlerTypeResolver","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine","JpaEventStorageEngine","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore","JpaTokenStore","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.queryhandling.SimpleQueryBus$Builder","SimpleQueryBus$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventhandling.SimpleEventBus$Builder","SimpleEventBus$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore","EmbeddedEventStore","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder","JpaEventStorageEngine$Builder","Type,File,Java,ByteCode,Class",1,"",""
"org.axonframework.deadline.SimpleDeadlineManager","SimpleDeadlineManager","Type,File,Java,ByteCode,Class",1,"",""
