"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-test-4.6.8","org.axonframework.test.matchers","org.hamcrest",38,188,24,"TypeSafeMatcher,Matcher,Description,BaseMatcher","matchers",""
"axon-messaging-4.6.8","org.axonframework.queryhandling","reactor.core.publisher",26,115,40,"Mono,Flux,FluxSink,Signal,ConnectableFlux,Sinks,Sinks$MulticastReplaySpec,FluxSink$OverflowStrategy,EmitterProcessor,Sinks$Many,Sinks$ManySpec,MonoSink,Sinks$EmitResult","queryhandling",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.scheduling.quartz","org.quartz",19,95,6,"JobDataMap,JobDetail,Scheduler,JobExecutionException,JobExecutionContext,SchedulerContext,Job,JobBuilder,JobKey,TriggerBuilder,SchedulerException,Trigger","quartz",""
"axon-messaging-4.6.8","org.axonframework.deadline.quartz","org.quartz",18,131,4,"JobDataMap,Job,SchedulerContext,JobExecutionException,JobExecutionContext,Scheduler,JobDetail,SchedulerException,Trigger,TriggerBuilder,JobBuilder,JobKey","quartz",""
"axon-messaging-4.6.8","org.axonframework.eventhandling","org.slf4j",15,55,93,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.6.8","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,73,7,"JsonDeserializer,DeserializationContext,JsonNode,ObjectMapper,ObjectReader,ObjectWriter,ObjectMapper$DefaultTyping,DeserializationFeature","json",""
"axon-messaging-4.6.8","org.axonframework.eventhandling.pooled","org.slf4j",13,59,20,"Logger,LoggerFactory","pooled",""
"axon-disruptor-4.6.8","org.axonframework.disruptor.commandhandling","org.slf4j",12,22,22,"Logger,LoggerFactory","commandhandling",""
"axon-configuration-4.6.8","org.axonframework.config","org.slf4j",9,28,39,"LoggerFactory,Logger","config",""
"axon-disruptor-4.6.8","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",9,29,22,"ExceptionHandler,EventHandler,LifecycleAware,RingBuffer,WaitStrategy,BlockingWaitStrategy","commandhandling",""
