"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.6.8","javax.annotation",12,104,39,"Nonnull",""
"axon-configuration-4.6.8","org.slf4j",9,28,39,"Logger,LoggerFactory",""
"axon-disruptor-4.6.8","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.6.8","com.lmax.disruptor",9,29,22,"ExceptionHandler,RingBuffer,EventHandler,LifecycleAware,WaitStrategy,BlockingWaitStrategy",""
"axon-disruptor-4.6.8","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.6.8","com.lmax.disruptor.dsl",5,22,22,"Disruptor,ProducerType,EventHandlerGroup",""
"axon-disruptor-4.6.8","WeakValue",1,5,22,"WeakValue",""
"axon-eventsourcing-4.6.8","javax.annotation",26,86,120,"PreDestroy,Nonnull,Nullable",""
"axon-eventsourcing-4.6.8","org.slf4j",15,28,120,"Logger,LoggerFactory",""
"axon-eventsourcing-4.6.8","javax.persistence",11,50,120,"EntityExistsException,Index,Entity,Table,EntityManager,TypedQuery,Query,Id,MappedSuperclass,IdClass",""
"axon-messaging-4.6.8","javax.annotation",220,957,700,"Nonnull,Nullable",""
"axon-messaging-4.6.8","org.slf4j",120,357,700,"Logger,LoggerFactory",""
"axon-messaging-4.6.8","com.fasterxml.jackson.annotation",48,76,700,"JsonProperty,JsonGetter,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonTypeInfo$As,JsonIgnore",""
"axon-messaging-4.6.8","javax.persistence",41,188,700,"Basic,MappedSuperclass,TypedQuery,EntityManager,Entity,Column,Id,Lob,Index,Table,Embedded,GeneratedValue,LockModeType,IdClass,Query,NoResultException,Embeddable",""
"axon-messaging-4.6.8","org.quartz",37,226,700,"JobDataMap,JobBuilder,Scheduler,JobKey,TriggerBuilder,SchedulerContext,SchedulerException,Trigger,JobDetail,JobExecutionException,JobExecutionContext,Job",""
"axon-messaging-4.6.8","reactor.core.publisher",33,149,700,"Mono,Flux,Signal,FluxSink$OverflowStrategy,ConnectableFlux,FluxSink,Sinks,Sinks$MulticastReplaySpec,EmitterProcessor,Sinks$Many,Sinks$ManySpec,Sinks$EmitResult,MonoSink",""
"axon-messaging-4.6.8","com.fasterxml.jackson.databind",15,73,700,"ObjectMapper,JsonNode,JsonDeserializer,DeserializationContext,ObjectReader,ObjectWriter,ObjectMapper$DefaultTyping,DeserializationFeature",""
"axon-messaging-4.6.8","org.reactivestreams",13,41,700,"Publisher",""
"axon-messaging-4.6.8","javax.cache.event",8,34,700,"CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryListener,CacheEntryRemovedListener,CacheEntryUpdatedListener,CacheEntryEvent,CacheEntryEventFilter",""
