"fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","Source Cypher File: Metrics/Calculate_and_set_Abstractness_including_Counts.cypher"
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,0,10,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0,0,7,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0,0,7,""
"org.axonframework.serialization.json","json",0,0,7,""
"org.axonframework.serialization.xml","xml",0,0,7,""
"org.axonframework.tracing.attributes","attributes",0,0,6,""
"org.axonframework.eventhandling.deadletter","deadletter",0,0,5,""
"org.axonframework.serialization.converters","converters",0,0,5,""
"org.axonframework.test.server","server",0,0,4,""
"org.axonframework.commandhandling.callbacks","callbacks",0,0,4,""
"org.axonframework.deadline.quartz","quartz",0,0,4,""
"org.axonframework.eventhandling.scheduling.java","java",0,0,4,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0,0,4,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,0,3,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,0,3,""
"org.axonframework.util","util",0,0,3,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,0,2,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0,0,2,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0,0,2,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,0,2,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,0,2,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,0,2,""
"org.axonframework.common.digest","digest",0,0,1,""
"org.axonframework.common.io","io",0,0,1,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,1,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.045454545454545456,1,22,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.1,1,10,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.1111111111111111,1,9,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.1111111111111111,1,9,""
"org.axonframework.test.matchers","matchers",0.125,3,24,""
"org.axonframework.eventhandling.async","async",0.13333333333333333,2,15,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.14285714285714285,1,7,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.14285714285714285,1,7,""
"org.axonframework.test.aggregate","aggregate",0.15789473684210525,3,19,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.16666666666666666,1,6,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.16666666666666666,1,6,""
"org.axonframework.common.lock","lock",0.18181818181818182,2,11,""
"org.axonframework.eventhandling.replay","replay",0.2,2,10,""
"org.axonframework.test","test",0.2,1,5,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.21428571428571427,3,14,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.21428571428571427,3,14,""
"org.axonframework.commandhandling.gateway","gateway",0.23529411764705882,8,34,""
"org.axonframework.eventhandling.pooled","pooled",0.23809523809523808,5,21,""
"org.axonframework.test.deadline","deadline",0.25,1,4,""
"org.axonframework.common.jpa","jpa",0.25,1,4,""
"org.axonframework.common.legacyjpa","legacyjpa",0.25,1,4,""
"org.axonframework.deadline.jobrunr","jobrunr",0.25,1,4,""
"org.axonframework.messaging.correlation","correlation",0.25,1,4,""
"org.axonframework.queryhandling.annotation","annotation",0.25,1,4,""
"org.axonframework.tracing","tracing",0.2631578947368421,5,19,""
"org.axonframework.modelling.saga.repository","repository",0.26666666666666666,4,15,""
"org.axonframework.common.caching","caching",0.26666666666666666,4,15,""
"org.axonframework.messaging.annotation","annotation",0.2777777777777778,15,54,""
"org.axonframework.eventsourcing","eventsourcing",0.2857142857142857,12,42,""
"org.axonframework.messaging.unitofwork","unitofwork",0.2857142857142857,4,14,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.2857142857142857,2,7,""
"org.axonframework.serialization","serialization",0.29411764705882354,10,34,""
"org.axonframework.deadline","deadline",0.3076923076923077,4,13,""
"org.axonframework.queryhandling","queryhandling",0.3125,15,48,""
"org.axonframework.test.saga","saga",0.3333333333333333,7,21,""
"org.axonframework.common.property","property",0.3333333333333333,3,9,""
"org.axonframework.monitoring","monitoring",0.3333333333333333,2,6,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.3333333333333333,1,3,""
"org.axonframework.modelling.command.inspection","inspection",0.34615384615384615,9,26,""
"org.axonframework.commandhandling.distributed","distributed",0.34615384615384615,9,26,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.3548387096774194,11,31,""
"org.axonframework.messaging.deadletter","deadletter",0.3684210526315789,7,19,""
"org.axonframework.commandhandling","commandhandling",0.375,12,32,""
"org.axonframework.messaging.interceptors","interceptors",0.375,3,8,""
"org.axonframework.messaging.responsetypes","responsetypes",0.375,3,8,""
"org.axonframework.modelling.saga","saga",0.3939393939393939,13,33,""
"org.axonframework.test.utils","utils",0.4,2,5,""
"org.axonframework.test.eventscheduler","eventscheduler",0.4,2,5,""
"org.axonframework.deadline.annotation","annotation",0.4,2,5,""
"org.axonframework.queryhandling.registration","registration",0.4,2,5,""
"org.axonframework.eventhandling","eventhandling",0.41,41,100,""
"org.axonframework.config","config",0.425,17,40,""
"org.axonframework.modelling.command","command",0.42592592592592593,23,54,""
"org.axonframework.common.jdbc","jdbc",0.4444444444444444,8,18,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.4444444444444444,4,9,""
"org.axonframework.serialization.upcasting.event","event",0.5,6,12,""
