"artifactName","fullQualifiedPackageName","packageName","distance","abstractness","instability","typesInPackage","Source Cypher File: Calculate_distance_between_abstractness_and_instability.cypher"
"axon-messaging-4.8.0","org.axonframework.common.io","io",1,0,0,1,""
"axon-eventsourcing-4.8.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.7272727272727273,1,0.7272727272727273,15,""
"axon-messaging-4.8.0","org.axonframework.common.digest","digest",0.6666666666666667,0,0.3333333333333333,1,""
"axon-messaging-4.8.0","org.axonframework.serialization","serialization",0.581588567630442,0.29411764705882354,0.12429378531073447,34,""
"axon-messaging-4.8.0","org.axonframework.monitoring","monitoring",0.5661881977671451,0.3333333333333333,0.10047846889952153,6,""
"axon-messaging-4.8.0","org.axonframework.messaging.annotation","annotation",0.5004093998198641,0.2777777777777778,0.22181282240235814,54,""
"axon-messaging-4.8.0","org.axonframework.common.transaction","transaction",0.4810126582278481,0.5,0.0189873417721519,4,""
"axon-messaging-4.8.0","org.axonframework.common.jpa","jpa",0.4772727272727273,0.25,0.2727272727272727,4,""
"axon-messaging-4.8.0","org.axonframework.common.lock","lock",0.4660691421254801,0.18181818181818182,0.352112676056338,11,""
"axon-messaging-4.8.0","org.axonframework.common.legacyjpa","legacyjpa",0.44999999999999996,0.25,0.3,4,""
"axon-messaging-4.8.0","org.axonframework.eventhandling.gateway","gateway",0.4253968253968252,0.6,0.8253968253968254,5,""
"axon-configuration-4.8.0","org.axonframework.config","config",0.4216805982166347,0.4358974358974359,0.9857831623191989,39,""
"axon-test-4.8.0","org.axonframework.test.matchers","matchers",0.4196428571428572,0.125,0.45535714285714285,24,""
"axon-messaging-4.8.0","org.axonframework.messaging.unitofwork","unitofwork",0.391451068616423,0.2857142857142857,0.3228346456692913,14,""
"axon-messaging-4.8.0","org.axonframework.messaging.correlation","correlation",0.39102564102564097,0.25,0.358974358974359,4,""
"axon-messaging-4.8.0","org.axonframework.messaging","messaging",0.3851595625976345,0.6,0.014840437402365543,35,""
"axon-messaging-4.8.0","org.axonframework.tracing","tracing",0.3829557713052859,0.2222222222222222,0.3948220064724919,18,""
"axon-messaging-4.8.0","org.axonframework.serialization.xml","xml",0.37777777777777777,0,0.6222222222222222,7,""
"axon-test-4.8.0","org.axonframework.test","test",0.3517241379310345,0.2,0.4482758620689655,5,""
"axon-messaging-4.8.0","org.axonframework.eventhandling","eventhandling",0.34088538303347005,0.41935483870967744,0.2397597782568525,93,""
"axon-messaging-4.8.0","org.axonframework.eventhandling.tokenstore","tokenstore",0.3359073359073359,0.2857142857142857,0.3783783783783784,7,""
"axon-test-4.8.0","org.axonframework.test.server","server",0.33333333333333337,0,0.6666666666666666,4,""
"axon-messaging-4.8.0","org.axonframework.util","util",0.33333333333333337,0,0.6666666666666666,3,""
"axon-messaging-4.8.0","org.axonframework.common","common",0.3326747720364741,0.6428571428571429,0.02446808510638298,28,""
"axon-messaging-4.8.0","org.axonframework.serialization.upcasting.event","event",0.331858407079646,0.5,0.831858407079646,12,""
"axon-messaging-4.8.0","org.axonframework.commandhandling","commandhandling",0.32632927002798473,0.3793103448275862,0.29436038514442914,29,""
"axon-modelling-4.8.0","org.axonframework.modelling.saga.metamodel","metamodel",0.31707317073170715,0.5,0.8170731707317073,4,""
"axon-eventsourcing-4.8.0","org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.3128654970760234,0.4444444444444444,0.868421052631579,9,""
"axon-test-4.8.0","org.axonframework.test.saga","saga",0.3030089327691585,0.3333333333333333,0.9696755994358252,21,""
"axon-messaging-4.8.0","org.axonframework.messaging.interceptors","interceptors",0.2974806201550386,0.375,0.9224806201550387,8,""
"axon-test-4.8.0","org.axonframework.test.utils","utils",0.2974358974358975,0.4,0.8974358974358975,5,""
"axon-messaging-4.8.0","org.axonframework.messaging.deadletter","deadletter",0.2850442939030746,0.3684210526315789,0.3465346534653465,19,""
