"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_outgoing_incoming_Dependencies.cypher"
"org.axonframework.test.matchers","matchers",0.45535714285714285,0.5208333333333334,0.6666666666666666,0.6,0.6666666666666666,51,61,25,23,4,2,6,4,2,1,""
"org.axonframework.common.jdbc","jdbc",0.4628099173553719,0.43137254901960786,1,0.35714285714285715,0.2,56,65,22,29,8,0,5,9,1,4,""
"org.axonframework.common.caching","caching",0.5697674418604651,0.3888888888888889,1,0.2857142857142857,0.16666666666666666,49,37,14,22,3,0,2,5,1,5,""
"org.axonframework.queryhandling.registration","registration",0.5909090909090909,0.5833333333333334,1,0.6666666666666666,0.5,13,9,7,5,2,0,4,2,1,1,""
"org.axonframework.modelling.saga","saga",0.621875,0.5086206896551724,0.6666666666666666,0.47368421052631576,0.4,398,242,59,57,22,11,9,10,2,3,""
"org.axonframework.serialization.xml","xml",0.6222222222222222,0.6296296296296297,1,0.3333333333333333,0.2,28,17,17,10,4,0,4,8,1,4,""
"org.axonframework.deadline","deadline",0.6485981308411215,0.5443037974683544,0.7241379310344828,0.4,0.2,347,188,43,36,21,8,8,12,1,4,""
"org.axonframework.eventhandling.async","async",0.6495726495726496,0.5263157894736842,0.7777777777777778,0.625,0.3333333333333333,76,41,20,18,7,2,5,3,1,2,""
"org.axonframework.test.server","server",0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,2,1,2,1,0,0,2,1,2,1,""
"org.axonframework.util","util",0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,6,3,6,3,0,0,6,3,1,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.7272727272727273,0.6428571428571429,1,0.7142857142857143,0.6666666666666666,80,30,9,5,6,0,5,2,2,1,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.7391304347826086,0.5384615384615384,0.6666666666666666,0.6,0.5,34,12,7,6,2,1,3,2,1,1,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.75,0.5,1,0.5,0.25,15,5,5,5,3,0,3,3,1,3,""
"org.axonframework.modelling.saga.repository","repository",0.7623762376237624,0.5625,0.7368421052631579,0.5333333333333333,0.4,231,72,36,28,14,5,8,7,2,3,""
"org.axonframework.modelling.command","command",0.7650323774283071,0.5481927710843374,0.8048780487804879,0.6,0.2857142857142857,827,254,91,75,33,8,15,10,2,5,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.7810880829015544,0.5161290322580645,0.8333333333333334,0.6153846153846154,0.42857142857142855,603,169,64,60,25,5,16,10,3,4,""
"org.axonframework.test.eventscheduler","eventscheduler",0.8085106382978723,0.6666666666666666,1,0.7142857142857143,0.6666666666666666,38,9,10,5,5,0,5,2,2,1,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.8170731707317073,0.625,0.875,0.5714285714285714,0.6666666666666666,67,15,15,9,7,1,4,3,2,1,""
"org.axonframework.commandhandling.gateway","gateway",0.8203703703703704,0.6292134831460674,0.9166666666666666,0.7692307692307693,0.25,443,97,56,33,11,1,10,3,1,3,""
