"artifactName","packageName","dependentArtifactName","dependentPackageName","forwardToBackwardBalance","numberForward","numberBackward","someForwardDependencies","backwardDependencies","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies.cypher"
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.serialization",0.6470588235294118,14,3,"AbstractDomainEventEntry->Serializer,AbstractEventEntry->SerializedMetaData,AbstractEventEntry->SimpleSerializedObject,AbstractEventEntry->Serializer,AbstractEventEntry->SerializedType,AbstractEventEntry->SerializedObject,AbstractEventEntry->SimpleSerializedType,EventUtils->Serializer,EventUtils->LazyDeserializingObject","GapAwareTrackingTokenConverter->GapAwareTrackingToken,AbstractXStreamSerializer->GenericDomainEventMessage,AbstractXStreamSerializer->GenericEventMessage",""
"axon-messaging-4.10.1","org.axonframework.messaging.unitofwork","axon-messaging-4.10.1","org.axonframework.messaging",0.6470588235294118,14,3,"UnitOfWork->MetaData,UnitOfWork->Message,UnitOfWork->ResultMessage,ExecutionResult->ResultMessage,MessageProcessingContext->Message,CurrentUnitOfWork->MetaData,BatchingUnitOfWork->Message,BatchingUnitOfWork->GenericResultMessage,BatchingUnitOfWork->ResultMessage","MessageHandlerInterceptor->UnitOfWork,DefaultInterceptorChain->UnitOfWork,GenericMessage->CurrentUnitOfWork",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.6153846153846154,21,5,"AxonServerEventStore$Builder->AxonServerConfiguration,AxonServerEventStore$Builder->AxonServerConnectionManager,AxonServerEventStore$AxonIQEventStorageEngine$Builder->AxonServerConnectionManager,AxonServerEventStore$AxonIQEventStorageEngine$Builder->AxonServerConfiguration,EventBuffer->AxonServerException,EventBuffer->ErrorCode,PersistentStreamConnection->AxonServerConfiguration,PersistentStreamConnection->AxonServerConfiguration$FlowControlConfiguration,PersistentStreamConnection->AxonServerConnectionManager","ServerConnectorConfigurerModule->AxonServerEventStore$Builder,ServerConnectorConfigurerModule->AxonServerEventStore,ServerConnectorConfigurerModule->EventProcessorInfoConfiguration,ServerConnectorConfigurerModule->AxonServerEventStoreFactory,ServerConnectorConfigurerModule->AxonServerEventStoreFactory$Builder",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.5714285714285714,22,6,"AxonServerQueryBus$LocalSegmentAdapter->PriorityRunnable,AxonServerQueryBus$LocalSegmentAdapter->ErrorCode,AxonServerQueryBus$LocalSegmentAdapter->AxonServerConfiguration,AxonServerQueryBus$Builder->AxonServerConfiguration,AxonServerQueryBus$Builder->TargetContextResolver,AxonServerQueryBus$Builder->InstructionAckSource,AxonServerQueryBus$Builder->AxonServerConnectionManager,GrpcBackedResponseMessage->ErrorCode,AxonServerQueryBus->AxonServerConfiguration$FlowControlConfiguration","ServerConnectorConfigurerModule->AxonServerQueryBus$Builder,ServerConnectorConfigurerModule->AxonServerQueryBus,ServerConnectorConfigurerModule->QueryPriorityCalculator,ErrorCode->AxonServerQueryDispatchException,ErrorCode->AxonServerRemoteQueryHandlingException,ErrorCode->AxonServerNonTransientRemoteQueryHandlingException",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.async","axon-messaging-4.10.1","org.axonframework.eventhandling",0.5384615384615384,10,3,"PropertySequencingPolicy$Builder->EventMessage,PropertySequencingPolicy$Builder$ExceptionRaisingSequencingPolicy->EventMessage,EventProcessorTask->EventMessage,AsynchronousEventProcessingStrategy->EventMessage,AsynchronousEventProcessingStrategy->EventProcessingStrategy,EventProcessorTask$ProcessingTask->EventMessage,SequentialPerAggregatePolicy->EventMessage,SequentialPerAggregatePolicy->DomainEventMessage,PropertySequencingPolicy->EventMessage","SimpleEventHandlerInvoker$Builder->SequentialPerAggregatePolicy,SimpleEventHandlerInvoker$Builder->SequencingPolicy,SimpleEventHandlerInvoker->SequencingPolicy",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.replay","axon-messaging-4.10.1","org.axonframework.eventhandling",0.45454545454545453,8,3,"ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember->ReplayToken,ReplayParameterResolverFactory->ReplayStatus,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->ReplayToken,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->TrackedEventMessage,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->EventMessage,ReplayAwareMessageHandlerWrapper->AllowReplay,ReplayParameterResolverFactory$ReplayParameterResolver->ReplayStatus,ReplayParameterResolverFactory$ReplayParameterResolver->ReplayToken","AnnotationEventHandlerAdapter->ResetContext,AnnotationEventHandlerAdapter->GenericResetContext,ResetHandler->ResetContext",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.util",0.3333333333333333,2,1,"AxonServerConfiguration$Builder->EventCipher,AxonServerConfiguration->EventCipher","GrpcExceptionParser->ErrorCode",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription",0.3333333333333333,4,2,"AxonServerQueryBus$LocalSegmentAdapter->SubscriptionMessageSerializer,AxonServerQueryBus$Builder->SubscriptionMessageSerializer,AxonServerQueryBus->AxonServerSubscriptionQueryResult,AxonServerQueryBus->SubscriptionMessageSerializer","GrpcBackedSubscriptionQueryMessage->GrpcBackedQueryMessage,SubscriptionMessageSerializer->GrpcBackedResponseMessage",""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting.event","axon-messaging-4.10.1","org.axonframework.eventhandling",0.3333333333333333,6,3,"IntermediateEventRepresentation->TrackingToken,UpcastedEventRepresentation->TrackingToken,InitialEventRepresentation->TrackedEventData,InitialEventRepresentation->TrackingToken,InitialEventRepresentation->EventData,InitialEventRepresentation->DomainEventData","EventUtils->EventUpcaster,EventUtils->InitialEventRepresentation,EventUtils->IntermediateEventRepresentation",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc.statements",0.3170731707317073,27,14,"JdbcEventStorageEngine->AppendSnapshotStatementBuilder,JdbcEventStorageEngine->CreateTokenAtStatementBuilder,JdbcEventStorageEngine->CreateHeadTokenStatementBuilder,JdbcEventStorageEngine->CreateTailTokenStatementBuilder,JdbcEventStorageEngine->AppendEventsStatementBuilder,JdbcEventStorageEngine->ReadEventDataWithoutGapsStatementBuilder,JdbcEventStorageEngine->ReadEventDataWithGapsStatementBuilder,JdbcEventStorageEngine->CleanGapsStatementBuilder,JdbcEventStorageEngine->DeleteSnapshotsStatementBuilder","ReadSnapshotDataStatementBuilder->EventSchema,CreateTokenAtStatementBuilder->EventSchema,CreateTailTokenStatementBuilder->EventSchema,CreateHeadTokenStatementBuilder->EventSchema,CleanGapsStatementBuilder->EventSchema,JdbcEventStorageEngineStatements->EventSchema,AppendSnapshotStatementBuilder->EventSchema,DeleteSnapshotsStatementBuilder->EventSchema,ReadEventDataWithoutGapsStatementBuilder->EventSchema,FetchTrackedEventsStatementBuilder->EventSchema,ReadEventDataWithGapsStatementBuilder->EventSchema,AppendEventsStatementBuilder->EventSchema,ReadEventDataForAggregateStatementBuilder->EventSchema,LastSequenceNumberForStatementBuilder->EventSchema",""
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore",0.2857142857142857,9,5,"TrackingEventProcessor->UnableToClaimTokenException,TrackingEventProcessor->TokenStore,TrackingEventProcessor$ClaimSegmentInstruction->TokenStore,TrackingEventProcessor$SplitSegmentInstruction->TokenStore,TrackingEventProcessor$WorkerLauncher->UnableToClaimTokenException,TrackingEventProcessor$WorkerLauncher->TokenStore,TrackingEventProcessor$MergeSegmentInstruction->TokenStore,TrackingEventProcessor$Builder->TokenStore,TrackingEventProcessor$Instruction->UnableToClaimTokenException","ConfigToken->TrackingToken,TokenStore->Segment,TokenStore->TrackingToken,AbstractTokenEntry->TrackingToken,GenericTokenEntry->TrackingToken",""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection","axon-modelling-4.10.1","org.axonframework.modelling.command",0.25,20,12,"AbstractChildEntityDefinition->AggregateMember,AbstractChildEntityDefinition->ForwardingMode,ChildForwardingCommandMessageHandlingMember->AggregateEntityNotFoundException,CreationPolicyMember->AggregateCreationPolicy,AggregateMemberAnnotatedChildEntityMapDefinition->ForwardingMode,MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember->AggregateCreationPolicy,MethodCreationPolicyDefinition->CreationPolicy,AnnotatedAggregate->AggregateEntityNotFoundException,AnnotatedAggregate->Aggregate","GenericJpaRepository->AnnotatedAggregate,AggregateAnnotationCommandHandler->CreationPolicyMember,AggregateAnnotationCommandHandler->AggregateModel,ForwardMatchingInstances->EntityModel,AbstractRepository->AggregateModel,GenericJpaRepository$Builder->AggregateModel,AbstractRepository$Builder->AnnotatedAggregateMetaModelFactory,AbstractRepository$Builder->AggregateModel,AggregateAnnotationCommandHandler$Builder->AggregateModel,AggregateAnnotationCommandHandler$Builder->AnnotatedAggregateMetaModelFactory,ForwardingMode->EntityModel,LockingRepository$Builder->AggregateModel",""
"axon-messaging-4.10.1","org.axonframework.queryhandling.registration","axon-messaging-4.10.1","org.axonframework.queryhandling",0.25,5,3,"LoggingDuplicateQueryHandlerResolver->QuerySubscription,DuplicateQueryHandlerResolution->QuerySubscription,FailingDuplicateQueryHandlerResolver->QuerySubscription,DuplicateQueryHandlerResolver->QuerySubscription,DuplicateQueryHandlerSubscriptionException->QuerySubscription","SimpleQueryBus$Builder->DuplicateQueryHandlerResolver,SimpleQueryBus$Builder->DuplicateQueryHandlerResolution,SimpleQueryBus->DuplicateQueryHandlerResolver",""
"axon-messaging-4.10.1","org.axonframework.messaging","axon-messaging-4.10.1","org.axonframework.serialization",0.23809523809523808,13,8,"ResultMessage->Serializer,ResultMessage->SerializedObject,Message->Serializer,Message->SerializedObject,Headers->SerializedObject,Headers->SerializedType,MessageDecorator->SerializedObject,MessageDecorator->Serializer,GenericMessage->Serializer","SerializedMetaData->MetaData,AbstractXStreamSerializer->MetaData,SerializedMessage->Message,SerializedMessage->MetaData,SerializedMessage->AbstractMessage,SerializedMessage->GenericMessage,AbstractXStreamSerializer$MetaDataConverter->MetaData,SerializedObjectHolder->Message",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.command","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.2222222222222222,11,7,"AxonServerCommandBus$Builder->AxonServerConfiguration,AxonServerCommandBus$Builder->AxonServerConnectionManager,AxonServerCommandBus$Builder->TargetContextResolver,CommandSerializer->AxonServerConfiguration,CommandSerializer->ErrorCode,AxonServerCommandBus->AxonServerConfiguration,AxonServerCommandBus->AxonServerConnectionManager,AxonServerCommandBus->ErrorCode,AxonServerCommandBus->DispatchInterceptors","ServerConnectorConfigurerModule->AxonServerCommandBus,ServerConnectorConfigurerModule->CommandLoadFactorProvider,ServerConnectorConfigurerModule->CommandPriorityCalculator,ServerConnectorConfigurerModule->AxonServerCommandBus$Builder,ErrorCode->AxonServerRemoteCommandHandlingException,ErrorCode->AxonServerNonTransientRemoteCommandHandlingException,ErrorCode->AxonServerCommandDispatchException",""
"axon-messaging-4.10.1","org.axonframework.messaging.annotation","axon-messaging-4.10.1","org.axonframework.messaging.interceptors",0.2,3,2,"MessageHandlerInterceptorDefinition->MessageHandlerInterceptor,MessageHandlerInterceptorDefinition->ResultHandler,ResultParameterResolverFactory->ResultHandler","MessageHandlerInterceptor->MessageHandler,ResultHandler->HasHandlerAttributes",""
"axon-modelling-4.10.1","org.axonframework.modelling.saga","axon-modelling-4.10.1","org.axonframework.modelling.saga.metamodel",0.14285714285714285,4,3,"AnnotatedSagaManager$Builder->AnnotationSagaMetaModelFactory,AnnotatedSagaManager$Builder->SagaModel,AnnotatedSaga->SagaModel,AnnotatedSagaManager->SagaModel","AnnotationSagaMetaModelFactory$InspectedSagaModel->SagaMethodMessageHandlingMember,AnnotationSagaMetaModelFactory$InspectedSagaModel->AssociationValue,SagaModel->AssociationValue",""
"axon-messaging-4.10.1","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.10.1","org.axonframework.commandhandling.distributed",0.07692307692307693,7,6,"AcceptAll->CommandMessageFilter,AndCommandMessageFilter->CommandMessageFilter,OrCommandMessageFilter->CommandMessageFilter,DenyAll->CommandMessageFilter,CommandNameFilter->CommandMessageFilter,DenyCommandNameFilter->CommandMessageFilter,NegateCommandMessageFilter->CommandMessageFilter","CommandMessageFilter->NegateCommandMessageFilter,CommandMessageFilter->AndCommandMessageFilter,CommandMessageFilter->OrCommandMessageFilter,DistributedCommandBus->DenyAll,DistributedCommandBus->DenyCommandNameFilter,DistributedCommandBus->CommandNameFilter",""
