"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2600,1026,1160,"/axon-spring-boot-autoconfigure-4.10.1.jar uses /axon-test-4.10.1.jar,/org/axonframework/test/deadline uses /org/axonframework/test/matchers,/org/axonframework/test/aggregate uses /org/axonframework/test/matchers,/org/axonframework/test/saga uses /org/axonframework/test/matchers",""
1,90,82,38,"/org/axonframework/test/aggregate uses /org/axonframework/test,/org/axonframework/test/saga uses /org/axonframework/test,/org/axonframework/test/eventscheduler uses /org/axonframework/test,/org/axonframework/test/matchers uses /org/axonframework/test",""
2,2503,760,472,"/org/axonframework/test/aggregate/ResultValidatorImpl.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/deadline/DeadlineManagerValidator.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/saga/SagaTestFixture$MutableFieldFilter.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/saga/EventValidator.class uses /org/axonframework/test/matchers/FieldFilter.class",""
4,2595,449,541,"/org/axonframework/springboot/service/connection uses /org/axonframework/test/server,/org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/springboot/service/connection uses /org/axonframework/axonserver/connector",""
