"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-test-4.10.1.jar",8,87,1,3,""
"axon-server-connector-4.10.1.jar",11,132,1,4,""
"axon-eventsourcing-4.10.1.jar",9,133,5,2,""
"axon-messaging-4.10.1.jar",64,787,8,0,""
"axon-modelling-4.10.1.jar",10,158,6,1,""
"axon-spring-boot-autoconfigure-4.10.1.jar",9,75,0,7,""
"axon-disruptor-4.10.1.jar",1,22,1,3,""
"axon-tracing-opentelemetry-4.10.1.jar",1,5,1,1,""
"axon-configuration-4.10.1.jar",1,41,2,4,""
