"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-4.10.1","axon-messaging-4.10.1",3,64,0.046875,"org.axonframework.common,org.axonframework.messaging,org.axonframework.tracing","common,messaging,tracing",""
"axon-server-connector-4.10.1","axon-modelling-4.10.1",1,10,0.1,"org.axonframework.modelling.command","command",""
"axon-spring-boot-autoconfigure-4.10.1","axon-test-4.10.1",1,8,0.125,"org.axonframework.test.server","server",""
"axon-disruptor-4.10.1","axon-messaging-4.10.1",9,64,0.140625,"org.axonframework.common.caching,org.axonframework.monitoring,org.axonframework.commandhandling,org.axonframework.messaging.unitofwork,org.axonframework.common.transaction,org.axonframework.commandhandling.callbacks,org.axonframework.messaging,org.axonframework.common,org.axonframework.messaging.annotation","caching,monitoring,commandhandling,unitofwork,transaction,callbacks,messaging,common,annotation",""
"axon-test-4.10.1","axon-messaging-4.10.1",10,64,0.15625,"org.axonframework.common,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.deadline,org.axonframework.eventhandling,org.axonframework.commandhandling,org.axonframework.commandhandling.gateway,org.axonframework.messaging.unitofwork,org.axonframework.eventhandling.scheduling,org.axonframework.common.stream","common,messaging,annotation,deadline,eventhandling,commandhandling,gateway,unitofwork,scheduling,stream",""
"axon-eventsourcing-4.10.1","axon-modelling-4.10.1",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.10.1","axon-modelling-4.10.1",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-test-4.10.1","axon-eventsourcing-4.10.1",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.10.1","axon-eventsourcing-4.10.1",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-modelling-4.10.1","axon-messaging-4.10.1",18,64,0.28125,"org.axonframework.messaging.interceptors,org.axonframework.commandhandling,org.axonframework.eventhandling,org.axonframework.common.property,org.axonframework.messaging,org.axonframework.common.lock,org.axonframework.common,org.axonframework.deadline,org.axonframework.common.annotation,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.tracing,org.axonframework.common.jpa,org.axonframework.serialization.xml,org.axonframework.serialization,org.axonframework.common.jdbc,org.axonframework.common.caching,org.axonframework.common.legacyjpa","interceptors,commandhandling,eventhandling,property,messaging,lock,common,deadline,annotation,unitofwork,tracing,jpa,xml,serialization,jdbc,caching,legacyjpa",""
