"similarity","artifactName1","node1Name","node1IncomingDependencies","node1OutgoingDependencies","artifactName2","node2Name","node2IncomingDependencies","node2OutgoingDependencies","Source Cypher File: Similarity/Similarity_1c_Stream.cypher"
1,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,""
1,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,""
1,"axon-messaging-4.7.5","org.axonframework.common.jpa",16,6,"axon-messaging-4.7.5","org.axonframework.common.legacyjpa",14,6,""
1,"axon-messaging-4.7.5","org.axonframework.common.legacyjpa",14,6,"axon-messaging-4.7.5","org.axonframework.common.jpa",16,6,""
1,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,""
1,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,""
1,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,""
1,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,""
0.8571428571428571,"axon-messaging-4.7.5","org.axonframework.common.caching",30,27,"axon-messaging-4.7.5","org.axonframework.common.lock",42,24,""
0.8571428571428571,"axon-messaging-4.7.5","org.axonframework.common.lock",42,24,"axon-messaging-4.7.5","org.axonframework.common.caching",30,27,""
0.7676767676767676,"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr",3,40,"axon-messaging-4.7.5","org.axonframework.deadline.quartz",5,56,""
0.7676767676767676,"axon-messaging-4.7.5","org.axonframework.deadline.quartz",5,56,"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr",3,40,""
0.75,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,""
0.75,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,"axon-messaging-4.7.5","org.axonframework.common.annotation",22,3,""
0.75,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,""
0.75,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,""
0.75,"axon-messaging-4.7.5","org.axonframework.common.property",23,15,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,""
0.75,"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling",16,2,"axon-messaging-4.7.5","org.axonframework.common.digest",1,1,""
