"similarity","package1.fqn","package2.fqn","artifactName1","package1.name","package1.incomingDependencies","package1.outgoingDependencies","artifactName2","package2.name","package2.incomingDependencies","package2.outgoingDependencies","Source Cypher File: Similarity_4_Stream.cypher"
1,"org.axonframework.common.annotation","org.axonframework.common.property","axon-messaging-4.7.5","annotation",22,3,"axon-messaging-4.7.5","property",23,15,""
1,"org.axonframework.common.jpa","org.axonframework.common.legacyjpa","axon-messaging-4.7.5","jpa",16,6,"axon-messaging-4.7.5","legacyjpa",14,6,""
1,"org.axonframework.common.legacyjpa","org.axonframework.common.jpa","axon-messaging-4.7.5","legacyjpa",14,6,"axon-messaging-4.7.5","jpa",16,6,""
1,"org.axonframework.common.property","org.axonframework.common.annotation","axon-messaging-4.7.5","property",23,15,"axon-messaging-4.7.5","annotation",22,3,""
0.8571428571428571,"org.axonframework.common.caching","org.axonframework.common.lock","axon-messaging-4.7.5","caching",30,40,"axon-messaging-4.7.5","lock",46,25,""
0.8571428571428571,"org.axonframework.common.lock","org.axonframework.common.caching","axon-messaging-4.7.5","lock",46,25,"axon-messaging-4.7.5","caching",30,40,""
0.7676767676767676,"org.axonframework.deadline.jobrunr","org.axonframework.deadline.quartz","axon-messaging-4.7.5","jobrunr",3,348,"axon-messaging-4.7.5","quartz",5,481,""
0.7676767676767676,"org.axonframework.deadline.quartz","org.axonframework.deadline.jobrunr","axon-messaging-4.7.5","quartz",5,481,"axon-messaging-4.7.5","jobrunr",3,348,""
0.75,"org.axonframework.common.annotation","org.axonframework.common.digest","axon-messaging-4.7.5","annotation",22,3,"axon-messaging-4.7.5","digest",1,1,""
0.75,"org.axonframework.messaging.deadletter","org.axonframework.messaging.unitofwork","axon-messaging-4.7.5","deadletter",135,104,"axon-messaging-4.7.5","unitofwork",246,123,""
0.75,"org.axonframework.common.digest","org.axonframework.common.annotation","axon-messaging-4.7.5","digest",1,1,"axon-messaging-4.7.5","annotation",22,3,""
0.75,"org.axonframework.common.digest","org.axonframework.common.property","axon-messaging-4.7.5","digest",1,1,"axon-messaging-4.7.5","property",23,15,""
