"dependentArtifactName","reflectionCallerTypeName","reflectionTypes","Source Cypher File: Java/Java_Reflection_usage_detailed.cypher"
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing.GenericAggregateFactory","java.lang.reflect.Constructor,java.lang.reflect.InvocationTargetException,java.lang.reflect.Modifier",""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing.conflictresolution.ConflictResolution","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.registration.LoggingDuplicateQueryHandlerResolver","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.common.annotation.AnnotationUtils","java.lang.reflect.AnnotatedElement,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$WrapNonDeclaredCheckedExceptions","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.QuerySubscription","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler","java.lang.reflect.InvocationHandler,java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$FireAndForget","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.eventhandling.replay.ReplayParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.tracing.TracingHandlerEnhancerDefinition","java.lang.reflect.Executable",""
"axon-messaging-4.9.2","org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl","java.lang.reflect.ParameterizedType,java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.common.TypeReflectionUtils","java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory","java.lang.reflect.Method,java.lang.reflect.Parameter,java.lang.reflect.Proxy",""
"axon-messaging-4.9.2","org.axonframework.messaging.responsetypes.InstanceResponseType","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.common.property.DirectPropertyAccessStrategy","java.lang.reflect.Field",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$WaitForResultWithTimeoutInArguments","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.messaging.responsetypes.ResponseType","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember","java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.eventhandling.TrackingTokenParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.QueryBus","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.annotation.QueryHandlingMember","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.eventhandling.replay.ReplayContextParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.serialization.ChainingConverter","java.lang.reflect.Constructor",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.SimpleQueryBus","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.SimpleResourceParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper","java.lang.reflect.Member",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.UnsupportedHandlerException","java.lang.reflect.Member",""
"axon-messaging-4.9.2","org.axonframework.messaging.responsetypes.AbstractResponseType","java.lang.reflect.GenericArrayType,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.AnnotatedHandlerInspector","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Modifier",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.AnnotatedMessageHandlingMember","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.common.jdbc.ConnectionWrapperFactory","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Proxy",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$WaitForResult","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.distributed.AnnotationRoutingStrategy$RoutingKeyResolver","java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.lifecycle.LifecycleHandlerInvocationException","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.common.property.AbstractMethodPropertyAccessStrategy","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$WaitForResultWithFixedTimeout","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.util.HandlerTypeResolver","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.ParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","java.lang.reflect.TypeVariable",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.AbstractAnnotatedParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.common.property.MethodAccessedProperty","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolver","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.messaging.responsetypes.OptionalResponseType","java.lang.reflect.Type",""
"axon-messaging-4.9.2","org.axonframework.common.MemberAccessibilityCallback","java.lang.reflect.AccessibleObject",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.HandlerComparator","java.lang.reflect.Executable",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.distributed.AnnotationRoutingStrategy","java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember","java.lang.reflect.Method,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.AnnotatedHandlerAttributes","java.lang.reflect.AnnotatedElement",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway.CommandGatewayFactory$InvocationHandler","java.lang.reflect.Method",""
"axon-messaging-4.9.2","org.axonframework.common.annotation.PriorityAnnotationComparator","java.lang.reflect.AnnotatedElement",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.DefaultParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.commandhandling.MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember","java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Method,java.lang.reflect.Modifier",""
"axon-messaging-4.9.2","org.axonframework.messaging.annotation.ResultParameterResolverFactory","java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-4.9.2","org.axonframework.queryhandling.registration.DuplicateQueryHandlerResolution","java.lang.reflect.Type",""
