"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",5,36,223,497,12,110,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<Form> of module <react-router-dom> imports <React.FormEvent.currentTarget> from external namespace <@types>,<Form> of module <react-router-dom> imports <React.ForwardRefExoticComponent> from external namespace <@types>",""
"@remix-run",4,37,390,609,12,110,"<mapRouteProperties> of module <react-router> imports <UNSAFE_warning> from external namespace <@remix-run>,<PatchRoutesOnNavigationFunction> of module <react-router> imports <AgnosticPatchRoutesOnNavigationFunctionArgs> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <InitialEntry> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <createMemoryHistory> from external namespace <@remix-run>",""
"@ungap",1,2,4,8,12,110,"<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
