"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"@types/react",5,38,1,27,2,7.6,11.126544836560898,35,1,24,3,7,9.72111104761179,8.333333333333334,200,25,58.33333333333333,81.00925873009825,"react-router,react-router-dom,server,react-router-native",""
"@remix-run/router",4,128,6,88,17,32,38.40138886377245,37,3,23,5.5,9.25,9.251126057585278,25,191.66666666666669,45.833333333333336,77.08333333333334,77.09271714654399,"react-router,react-router-dom,server,react-router-native",""
"@types/react-native",1,10,10,10,10,10,0,5,5,5,5,5,0,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,0,"react-router-native",""
"@ungap/url-search-params",1,1,1,1,1,1,0,2,2,2,2,2,0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,"react-router-native",""
