"codeUnitName","shortName","topologicalSortIndex","maxDistanceFromSource","overallMaxDistanceFromSource","incomingDependencies","outgoingDependencies","Source Cypher File: Topological_Sort/Topological_Sort_Query.cypher"
"org.axonframework.eventhandling.interceptors","interceptors",0,0,3,0,7,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",1,0,3,9,56,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",2,0,3,10,44,""
"org.axonframework.eventhandling.scheduling.java","java",3,0,3,5,24,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",4,0,3,6,31,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",5,0,3,3,27,""
"org.axonframework.deadline.quartz","quartz",6,0,3,5,56,""
"org.axonframework.test.aggregate","aggregate",7,0,3,31,181,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",8,0,3,34,105,""
"org.axonframework.deadline.annotation","annotation",9,0,3,6,15,""
"org.axonframework.deadline.dbscheduler","dbscheduler",10,0,3,6,55,""
"org.axonframework.serialization.converters","converters",11,0,3,0,7,""
"org.axonframework.serialization.json","json",12,0,3,7,33,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",13,0,3,1,7,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",14,0,3,2,22,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",15,0,3,16,39,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",16,0,3,3,21,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",17,0,3,16,42,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",19,0,3,2,23,""
"org.axonframework.test.saga","saga",20,0,3,43,149,""
"org.axonframework.test.server","server",21,0,3,1,2,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",22,0,3,23,84,""
"org.axonframework.config","config",23,0,3,115,432,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",24,0,3,1,13,""
"org.axonframework.test.utils","utils",25,1,3,8,14,""
"org.axonframework.test.eventscheduler","eventscheduler",26,1,3,9,16,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",27,1,3,22,66,""
"org.axonframework.deadline.jobrunr","jobrunr",28,1,3,5,47,""
"org.axonframework.common.legacyjpa","legacyjpa",29,1,3,14,6,""
"org.axonframework.test.deadline","deadline",30,1,3,10,26,""
"org.axonframework.test.matchers","matchers",31,2,3,51,42,""
"org.axonframework.test","test",32,3,3,16,8,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",33,1,3,5,7,""
"org.axonframework.modelling.saga.repository.jpa","jpa",34,1,3,12,29,""
"org.axonframework.disruptor.commandhandling","commandhandling",35,1,3,55,185,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",36,1,3,9,45,""
"org.axonframework.commandhandling.gateway","gateway",37,1,3,97,166,""
"org.axonframework.eventhandling.deadletter","deadletter",38,1,3,9,48,""
"org.axonframework.eventhandling.gateway","gateway",39,1,3,11,21,""
"org.axonframework.eventhandling.pooled","pooled",40,1,3,52,154,""
"org.axonframework.eventhandling.scheduling","scheduling",41,2,3,20,2,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",42,1,3,2,9,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",43,1,3,9,29,""
"org.axonframework.messaging.deadletter","deadletter",44,2,3,107,61,""
"org.axonframework.queryhandling.annotation","annotation",45,1,3,4,28,""
"org.axonframework.modelling.saga.repository","repository",46,2,3,50,69,""
"org.axonframework.tracing.attributes","attributes",92,0,3,0,16,""
