"codeUnitName","communityId","centrality","artifactName","embedding","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember",0,0.00150365617119193,"axon-modelling-4.8.0","-0.32922375202178955,0.040190309286117554,0.000996321439743042,0.10550381243228912,-0.18167319893836975,0.1127047911286354,0.12733815610408783,0.07258673012256622,0.2595980763435364,0.10972560942173004,-0.234895259141922,0.11889307200908661,-0.11949487030506134,-0.08090508729219437,-0.022132033482193947,-0.2028173804283142,0.08751876652240753,-0.10315732657909393,0.19796986877918243,0.3603317439556122,0.4694144129753113,-0.28775590658187866,0.2809663712978363,-0.40438714623451233,0.31973910331726074,0.06679666042327881,-0.07682301104068756,0.1491708904504776,0.14207662642002106,-0.12006402015686035,-0.1104658991098404,-0.008711099624633789,0.11408360302448273,-0.013077784329652786,-0.1848827302455902,-0.26552146673202515,-0.24073226749897003,-0.020051781088113785,-0.012632172554731369,-0.17520517110824585,-0.1531113237142563,0.07341491430997849,-0.17746369540691376,0.04517354071140289,-0.37167060375213623,0.3026620149612427,-0.5315163135528564,0.0538020133972168,-0.32099780440330505,0.006219370290637016,0.38200515508651733,0.22573666274547577,0.041293319314718246,0.08125520497560501,-0.19782106578350067,0.004967194981873035,0.28769704699516296,0.060632236301898956,-0.3115173578262329,-0.30797144770622253,-0.06954514235258102,-0.3032900393009186,0.2505197525024414,-0.22886712849140167",""
"org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember",0,0.0013864905309453055,"axon-modelling-4.8.0","0,0,-0.2182179093360901,0.2182178944349289,-0.2182179093360901,0,0,0.2182179093360901,0,0,1.4901161193847656e-08,-0.2182178944349289,0,0,0,-0.2182178944349289,-0.2182179093360901,0.2182178944349289,0.2182179093360901,0.2182178944349289,0.2182178944349289,0,0.2182178944349289,-0.4364358186721802,-0.2182179093360901,0.2182179093360901,0,-0.2182179093360901,0.2182178944349289,0,0,0.2182179093360901,0,-0.2182179093360901,-0.2182178944349289,-0.2182178944349289,-0.2182179093360901,0,0,1.4901161193847656e-08,0,0.2182179093360901,-0.2182178944349289,0.2182179093360901,-0.2182179093360901,0,-0.2182178944349289,0,-0.2182178944349289,0,0.2182179093360901,0.2182178944349289,0.2182179093360901,0,0.2182179093360901,0,-1.4901161193847656e-08,0,-0.2182178944349289,-0.2182178944349289,0,0,0,-0.2182178944349289",""
"org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$1",0,0.0019226482069503595,"axon-modelling-4.8.0","0.04027720168232918,0.07969007641077042,-0.2478591948747635,0.13707590103149414,-0.23075494170188904,0.04027720168232918,0.07423441857099533,0.28181642293930054,0.14016152918338776,-0.06927920877933502,-0.0257892906665802,-0.11043460667133331,0.034329090267419815,0.031232625246047974,-0.14016152918338776,-0.17549587786197662,-0.264718621969223,0.24973031878471375,0.35022976994514465,0.23931941390037537,0.22990143299102783,0.014865636825561523,0.17648877203464508,-0.45780473947525024,-0.2759953737258911,0.3044969141483307,0.011276723816990852,-0.3560508191585541,0.08824656903743744,-0.10856351256370544,-0.07733088731765747,0.16507264971733093,0.00818026065826416,-0.23930706083774567,-0.22308747470378876,-0.09370224177837372,-0.3275492787361145,-0.12392959743738174,0.047464556992053986,-0.02901284396648407,0.05650913715362549,0.22853082418441772,-0.1082024797797203,0.27053970098495483,-0.27909183502197266,-0.08451825380325317,-0.07647738605737686,-0.08873465657234192,-0.15380826592445374,0.11984023451805115,0.3017723262310028,0.23349837958812714,0.27636075019836426,0.057009585201740265,0.27698826789855957,0.04782995954155922,-0.0686393678188324,0.0226804967969656,-0.1710331290960312,-0.11538981646299362,0.11897438764572144,0.06183774769306183,0.08860760927200317,-0.34242725372314453",""
"org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember",0,0.0019366970021800986,"axon-modelling-4.8.0","-0.2483958601951599,0.09962643682956696,-0.0676686093211174,0.07390637695789337,-0.3321903347969055,0.13900183141231537,0.21271789073944092,0.15969052910804749,0.24643850326538086,0.03122713416814804,-0.11344333738088608,0.09800122678279877,-0.18854323029518127,-0.02767764776945114,-0.05142908915877342,-0.11248742789030075,-0.052499473094940186,-0.0700305700302124,0.3724084496498108,0.33724820613861084,0.5249450206756592,-0.2238270491361618,0.2771490216255188,-0.46257489919662476,0.13543209433555603,0.2711702883243561,-0.09763173758983612,-0.08109432458877563,0.14040954411029816,-0.13365969061851501,-0.14434397220611572,0.007992647588253021,0.17692360281944275,-0.08932775259017944,-0.15563564002513885,-0.2279823124408722,-0.3731263279914856,-0.03846537694334984,-0.041778795421123505,-0.1639370620250702,-0.08798142522573471,0.1570194661617279,-0.20677171647548676,0.17380622029304504,-0.3263545632362366,0.2987145781517029,-0.40267664194107056,-0.06463730335235596,-0.22329947352409363,0.002262369729578495,0.46779149770736694,0.22067081928253174,0.1503332555294037,0.050727374851703644,-0.017674870789051056,0.011619644239544868,0.21821148693561554,0.09694084525108337,-0.31583353877067566,-0.2764472961425781,-0.022946270182728767,-0.36215248703956604,0.25026407837867737,-0.26447832584381104",""
"org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$1",0,0.0019522062998316493,"axon-modelling-4.8.0","-0.03948431834578514,0.02815241366624832,-0.3350166082382202,0.1260421872138977,-0.3100322484970093,0.014712964184582233,-0.06832458078861237,0.3390694260597229,0.10375609993934631,-0.04113803431391716,-0.04128553718328476,-0.2775647044181824,0.1201438158750534,0.030003003776073456,0.005706533789634705,-0.18279403448104858,-0.30934441089630127,0.18529528379440308,0.28776219487190247,0.12354090064764023,0.17213384807109833,-0.033405106514692307,0.15828457474708557,-0.41401737928390503,-0.3191409111022949,0.2746007740497589,0.14461611211299896,-0.3111950159072876,0.18529528379440308,0.07945962250232697,0.008932815864682198,0.14943827688694,-0.04605450853705406,-0.2411956489086151,-0.26863187551498413,-0.19643032550811768,-0.23714286088943481,0.11217687278985977,0.043852292001247406,-0.02407127618789673,0.007454916834831238,0.23346272110939026,-0.24299687147140503,0.33519241213798523,-0.31487512588500977,-0.011135037057101727,-0.14917592704296112,0.010447182692587376,-0.16371306777000427,-0.01178572978824377,0.38089531660079956,0.25131547451019287,0.1431460827589035,0.08701673150062561,0.39134249091148376,-0.0971858948469162,0.003827616572380066,-0.10715820640325546,-0.08724572509527206,-0.13951878249645233,-0.01684156060218811,0.06272025406360626,-0.0034021083265542984,-0.13467592000961304",""
"org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember",0,0.0019412732386266238,"axon-modelling-4.8.0","-0.18989674746990204,0.10686849057674408,-0.21998831629753113,0.10934017598628998,-0.2692948877811432,0.1781071126461029,-0.08179111778736115,0.24421751499176025,0.3395904302597046,0.047009412199258804,-0.14014658331871033,0.007868953049182892,-0.01296277530491352,-0.016298815608024597,0.00229717418551445,-0.3370787501335144,-0.17716309428215027,0.07247314602136612,0.2692948877811432,0.3125246465206146,0.33675384521484375,-0.18426355719566345,0.26321807503700256,-0.5018023252487183,0.019215039908885956,0.22646968066692352,0.13443374633789062,0.038135938346385956,0.22602610290050507,0.08179111778736115,-0.1781071126461029,0.1142929196357727,-0.08179111778736115,-0.19575908780097961,-0.26236990094184875,-0.2874472737312317,-0.32508283853530884,0.14321230351924896,-0.030710594728589058,-0.10380276292562485,-0.051603756844997406,0.1813473105430603,-0.26885131001472473,0.3552702069282532,-0.28986307978630066,0.18426355719566345,-0.4595962166786194,0.061421189457178116,-0.2916314899921417,-0.038640983402729034,0.47778767347335815,0.3832400143146515,0.04272937402129173,0.05723697692155838,0.0743657648563385,-0.048458412289619446,0.20804914832115173,-0.17162573337554932,-0.1344175487756729,-0.17953991889953613,-0.03300776705145836,-0.20056237280368805,0.19867531955242157,-0.2203928828239441",""
"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder",1,0.001695036395172394,"axon-modelling-4.8.0","-0.18601980805397034,-0.316749632358551,0.013714184984564781,0.40670180320739746,-0.11437954753637314,0.29718106985092163,-0.15026751160621643,0.1702115684747696,0.3374423384666443,-0.08971350640058517,0.1441441774368286,-0.20149874687194824,0.04008528217673302,-0.0371319055557251,-0.48337164521217346,-0.30747443437576294,-0.12283772230148315,0.05194167420268059,0.21258781850337982,0.2826797068119049,0.15880046784877777,-0.02224648743867874,0.2741468548774719,-0.46308469772338867,0.14936578273773193,0.149809330701828,0.3537418842315674,-0.2147643268108368,0.11302106827497482,0.28279775381088257,0.027736028656363487,0.11129872500896454,-0.01471622847020626,-0.17747151851654053,-0.03192104399204254,-0.4330931305885315,0.1393757313489914,0.09227854013442993,0.3150525987148285,-0.05117957293987274,-0.292052686214447,-0.21192270517349243,-0.2255294919013977,-0.0685320720076561,-0.2814389765262604,-0.1806184947490692,0.11711838096380234,0.5788450241088867,-0.26467809081077576,0.10799160599708557,0.14675849676132202,0.2523062825202942,0.36659687757492065,0.18426552414894104,0.0689946711063385,-0.08779505640268326,0.09134943783283234,0.25122708082199097,-0.1251630187034607,-0.03239292651414871,-0.37622880935668945,-0.12374380230903625,0.19576184451580048,-0.12553444504737854",""
"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository",1,0.0014519805734860573,"axon-modelling-4.8.0","-0.37855926156044006,-0.2415265142917633,0.043230898678302765,0.21258002519607544,-0.05854044854640961,0.15579845011234283,-0.0333065465092659,0.1562662273645401,0.4435964822769165,-0.22900882363319397,-0.02510463073849678,-0.33966881036758423,-0.07714790850877762,0.10666855424642563,-0.15346136689186096,-0.27500230073928833,-0.061464663594961166,0.04033701494336128,0.13806164264678955,0.29886382818222046,0.1333666741847992,-0.12271203100681305,0.2653014063835144,-0.5193642377853394,0.24931898713111877,0.08197025954723358,0.3853546380996704,-0.37831780314445496,0.07997728139162064,0.13114190101623535,-0.03239073231816292,0.01238019485026598,0.1115974485874176,-0.12971056997776031,-0.07252282649278641,-0.42834407091140747,0.20552131533622742,-0.11931232362985611,0.04627680405974388,-0.09072893112897873,-0.0518537238240242,-0.10881335288286209,-0.01787744089961052,-0.09837479889392853,-0.2948372960090637,-0.19541192054748535,0.14586268365383148,0.4865720868110657,-0.20572322607040405,0.15027329325675964,0.21473205089569092,0.1258522868156433,0.3125625252723694,0.23442962765693665,0.18824023008346558,0.014058880507946014,0.1499808430671692,0.08094914257526398,-0.22153736650943756,-0.33507582545280457,-0.2520572543144226,-0.07070192694664001,0.08985405415296555,-0.367000013589859",""
"org.axonframework.modelling.saga.ResourceInjector",2,0.004758089690551375,"axon-modelling-4.8.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",""
"org.axonframework.modelling.saga.AbstractResourceInjector",3,0.004847281275148542,"axon-modelling-4.8.0","-0.17657387256622314,-0.14467571675777435,0.10252594202756882,-0.0062102749943733215,0.21074886620044708,-0.05012456327676773,-0.10873621702194214,0.16859909892082214,0.3718864321708679,0.0665864422917366,0.034174978733062744,-0.042149774730205536,0.08429954946041107,-0.3958098292350769,0.04836004972457886,-0.042149774730205536,0.10873621702194214,0.09455114603042603,0.16911238431930542,0.18506096303462982,-0.3958098292350769,-0.15265050530433655,-0.1503726989030838,0.18506096303462982,0.2094976156949997,0.22721073031425476,0.0665864422917366,-0.10076141357421875,-0.15088599920272827,0.016461864113807678,-0.16859909892082214,0,0.3958098292350769,-0.2693605124950409,-0.042149774730205536,0.252898633480072,-0.28758689761161804,0.14467571675777435,0.3012586832046509,0.18506096303462982,-0.10252594202756882,0,0.042149774730205536,-0.18506096303462982,0.16062429547309875,0.22721073031425476,-0.14467571675777435,-0.042149774730205536,-0.05861164629459381,-0.29379716515541077,0.18506096303462982,0.042149774730205536,0.16859909892082214,-0.023923378437757492,-0.026201188564300537,-0.14291119575500488,-0.02568790316581726,0.41403621435165405,-0.034174978733062744,-0.1930357664823532,0.3132748007774353,-0.12696261703968048,0.06037616729736328,-0.10822292417287827",""
