"artifactName","deprecatedElementType","elementUsingDeprecatedElement","deprecatedElement","Source Cypher File: Java/Java_deprecated_element_usage_detailed.cypher"
"axon-eventsourcing-4.6.8","Method","org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-eventsourcing-4.6.8","Method","org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-messaging-4.6.8","Method","org.axonframework.commandhandling.MethodCommandHandlerDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.deadline.SimpleDeadlineManager.schedule","org.axonframework.deadline.DeadlineMessage asDeadlineMessage(java.lang.String,java.lang.Object)",""
"axon-messaging-4.6.8","Method","org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.fromJobData","java.lang.Object fromJobDataMap(org.quartz.JobDataMap)",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.GenericTokenTableFactory.createTable","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.claimToken","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.deleteToken","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.insertTokenEntry","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.readTokenEntry","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.releaseClaim","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.releaseClaim","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.select","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.JdbcTokenStore.updateToken","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.eventhandling.tokenstore.jdbc.Oracle11TokenTableFactory.createTable","java.lang.String ownerColum()",""
"axon-messaging-4.6.8","Method","org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.messaging.annotation.WrappedMessageHandlingMember.annotationAttributes","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Method","org.axonframework.messaging.annotation.WrappedMessageHandlingMember.hasAnnotation","boolean hasAnnotation(java.lang.Class)",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.DefaultQueryGateway","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.QueryBus","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.QueryGateway","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.QueryUpdateEmitter","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.SimpleQueryBus","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.SimpleQueryUpdateEmitter","org.axonframework.queryhandling.SubscriptionQueryBackpressure",""
"axon-messaging-4.6.8","Class","org.axonframework.queryhandling.SimpleQueryUpdateEmitter","org.axonframework.queryhandling.FluxSinkWrapper",""
"axon-messaging-4.6.8","Method","org.axonframework.queryhandling.annotation.MethodQueryMessageHandlerDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-messaging-4.6.8","Class","org.axonframework.serialization.JavaSerializer$Builder","org.axonframework.serialization.JavaSerializer",""
