"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1256,"org.axonframework.test.saga.RecordingListenerInvocationErrorHandler.onError(0),org.axonframework.test.saga.RecordingListenerInvocationErrorHandler.onError(1),org.axonframework.test.saga.RecordingListenerInvocationErrorHandler.onError(2),org.axonframework.test.utils.RecordingCommandBus.dispatch(0),org.axonframework.test.utils.RecordingCommandBus.dispatch(1),org.axonframework.test.utils.RecordingCommandBus.subscribe(0),org.axonframework.test.utils.RecordingCommandBus.subscribe(1),org.axonframework.test.utils.RecordingCommandBus.registerDispatchInterceptor(0),org.axonframework.test.utils.RecordingCommandBus.registerHandlerInterceptor(0)",""
"java.lang.Deprecated","Method",59,"org.axonframework.test.matchers.Matchers.equalTo,org.axonframework.test.saga.FixtureExecutionResult.expectDeadlinesMetMatching,org.axonframework.test.saga.FixtureExecutionResult.expectDeadlinesMet,org.axonframework.test.deadline.StubDeadlineManager.getDeadlinesMet,org.axonframework.test.deadline.DeadlineManagerValidator.assertDeadlinesMetMatching,org.axonframework.test.deadline.DeadlineManagerValidator.assertDeadlinesMet,org.axonframework.modelling.command.AggregateIdentifier.routingKey,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition.isFieldTypeSupported,org.axonframework.modelling.command.inspection.EntityModel.commandHandlerInterceptors",""
"java.lang.FunctionalInterface","Interface",51,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.eventscheduler.EventConsumer,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.LockAwareAggregate$LockSupplier,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.commandhandling.CommandCallback,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.commandhandling.distributed.CommandMessageFilter",""
"javax.annotation.Nullable","Parameter",45,"org.axonframework.modelling.command.CreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.Repository.load(1),org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.handle(1),org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember.handle(1),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2)",""
"java.lang.annotation.Retention","Annotation",39,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
"java.lang.annotation.Target","Annotation",39,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
"javax.annotation.Nonnull","Method",36,"org.axonframework.test.deadline.StubDeadlineManager.schedule,org.axonframework.test.deadline.StubDeadlineManager.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.registerHandlerInterceptor,org.axonframework.disruptor.commandhandling.DisruptorCommandBus.registerDispatchInterceptor,org.axonframework.modelling.command.CreationPolicyAggregateFactory.create,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifier,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifierValue,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition.wrapHandler",""
"javax.persistence.Basic","Field",33,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.revision,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationKey,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationValue,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaType,org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",30,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(0),org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(1),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(0),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0)",""
"java.lang.annotation.Documented","Annotation",21,"org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.SagaEventHandler,org.axonframework.modelling.saga.StartSaga,org.axonframework.commandhandling.CommandHandler",""
