"artifactName","fullQualifiedPackageName","packageName","distance","abstractness","instability","typesInPackage","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability.cypher"
"axon-test-4.6.8","org.axonframework.test.server","server",1.0,0.0,0.0,2,""
"axon-messaging-4.6.8","org.axonframework.common.io","io",1.0,0.0,0.0,1,""
"axon-messaging-4.6.8","org.axonframework.common.digest","digest",0.5,0.0,0.5,1,""
"axon-eventsourcing-4.6.8","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.48275862068965525,1.0,0.4827586206896552,15,""
"axon-messaging-4.6.8","org.axonframework.monitoring","monitoring",0.4774774774774775,0.3333333333333333,0.1891891891891892,6,""
"axon-messaging-4.6.8","org.axonframework.common.jpa","jpa",0.4772727272727273,0.25,0.2727272727272727,4,""
"axon-test-4.6.8","org.axonframework.test","test",0.4666666666666667,0.2,0.3333333333333333,5,""
"axon-messaging-4.6.8","org.axonframework.messaging.unitofwork","unitofwork",0.4497117232543242,0.2857142857142857,0.2645739910313901,14,""
"axon-messaging-4.6.8","org.axonframework.common.lock","lock",0.4431818181818181,0.18181818181818182,0.375,11,""
"axon-messaging-4.6.8","org.axonframework.common.transaction","transaction",0.42405063291139244,0.5,0.0759493670886076,4,""
"axon-test-4.6.8","org.axonframework.test.matchers","matchers",0.4233870967741935,0.125,0.45161290322580644,24,""
"axon-messaging-4.6.8","org.axonframework.tracing","tracing",0.42052023121387283,0.25,0.32947976878612717,16,""
"axon-modelling-4.6.8","org.axonframework.modelling.saga.repository.inmemory","inmemory",0.41666666666666663,0.0,0.5833333333333334,2,""
"axon-messaging-4.6.8","org.axonframework.eventhandling.tokenstore","tokenstore",0.4028103044496487,0.2857142857142857,0.3114754098360656,7,""
"axon-messaging-4.6.8","org.axonframework.serialization.xml","xml",0.4,0.0,0.6,7,""
"axon-messaging-4.6.8","org.axonframework.serialization","serialization",0.39322207084468663,0.3125,0.29427792915531337,32,""
"axon-messaging-4.6.8","org.axonframework.commandhandling.callbacks","callbacks",0.38095238095238093,0.0,0.6190476190476191,4,""
