"packageName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_as_unwinded_List.cypher"
"org.axonframework.eventhandling","org.axonframework.messaging","TrackingEventProcessor->StreamableMessageSource",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","TrackingEventProcessor->InterceptorChain",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","TrackingEventProcessor->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","MultiStreamableMessageSource$Builder->StreamableMessageSource",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","MultiStreamableMessageSource$IdentifiedStreamableMessageSource->StreamableMessageSource",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","SubscribingEventProcessor$Builder->SubscribableMessageSource",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","GenericTrackedDomainEventMessage->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","ReplayToken->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","DomainEventMessage->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","EventMessage->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","EventMessageHandler->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","EventMessageHandler->MessageHandler",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","ConcludesBatchParameterResolverFactory->Message",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","EventProcessor->MessageHandlerInterceptor",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","EventProcessor->MessageHandlerInterceptorSupport",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","StreamingEventProcessor->StreamableMessageSource",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","AbstractEventProcessor->DefaultInterceptorChain",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","AbstractEventProcessor->ResultMessage",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging","AbstractEventProcessor->MessageHandlerInterceptor",0.8536585365853658,38,3,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","DomainEventMessage<-SourceIdParameterResolverFactory$SourceIdParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","DomainEventMessage<-AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TimestampParameterResolverFactory->AbstractAnnotatedParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TimestampParameterResolverFactory->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TrackingTokenParameterResolverFactory->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TrackingTokenParameterResolverFactory->ParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","SequenceNumberParameterResolverFactory->AbstractAnnotatedParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","SequenceNumberParameterResolverFactory->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->MessageHandlerInterceptorMemberChain",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->AnnotatedHandlerInspector",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->ClasspathParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->ClasspathHandlerDefinition",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->ParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->HandlerDefinition",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AnnotationEventHandlerAdapter->MessageHandlingMember",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TimestampParameterResolverFactory$TimestampParameterResolver->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","AllowReplay->HasHandlerAttributes",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","EventHandler->MessageHandler",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","ResetHandler->MessageHandler",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","ConcludesBatchParameterResolverFactory->AbstractAnnotatedParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","ConcludesBatchParameterResolverFactory->ParameterResolver",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","SimpleEventHandlerInvoker$Builder->ParameterResolverFactory",0.84,23,2,""
"org.axonframework.eventhandling","org.axonframework.messaging.annotation","SimpleEventHandlerInvoker$Builder->HandlerDefinition",0.84,23,2,""
