"artifactName","dependentArtifactName","packageName","dependentPackage.fqn","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNames","Source Cypher File: Package_Usage/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-modelling-4.8.0","axon-messaging-4.8.0","org.axonframework.modelling.saga.metamodel","org.axonframework.eventhandling",1,93,0.010752688172043012,"org.axonframework.eventhandling.EventMessage",""
"axon-test-4.8.0","axon-messaging-4.8.0","org.axonframework.test.matchers","org.axonframework.eventhandling",1,93,0.010752688172043012,"org.axonframework.eventhandling.EventMessage",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.snapshotting","org.axonframework.eventhandling",1,93,0.010752688172043012,"org.axonframework.eventhandling.DomainEventData",""
"axon-eventsourcing-4.8.0","axon-modelling-4.8.0","org.axonframework.eventsourcing.eventstore.jdbc","org.axonframework.modelling.command",1,51,0.0196078431372549,"org.axonframework.modelling.command.ConcurrencyException",""
"axon-eventsourcing-4.8.0","axon-modelling-4.8.0","org.axonframework.eventsourcing.conflictresolution","org.axonframework.modelling.command",1,51,0.0196078431372549,"org.axonframework.modelling.command.ConflictingAggregateVersionException",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.conflictresolution","org.axonframework.eventhandling",2,93,0.021505376344086023,"org.axonframework.eventhandling.EventMessage,org.axonframework.eventhandling.DomainEventMessage",""
"axon-test-4.8.0","axon-messaging-4.8.0","org.axonframework.test.eventscheduler","org.axonframework.eventhandling",2,93,0.021505376344086023,"org.axonframework.eventhandling.EventMessage,org.axonframework.eventhandling.GenericEventMessage",""
"axon-modelling-4.8.0","axon-messaging-4.8.0","org.axonframework.modelling.command.legacyjpa","org.axonframework.eventhandling",2,93,0.021505376344086023,"org.axonframework.eventhandling.DomainEventSequenceAware,org.axonframework.eventhandling.EventBus",""
"axon-modelling-4.8.0","axon-messaging-4.8.0","org.axonframework.modelling.command","org.axonframework.eventhandling",2,93,0.021505376344086023,"org.axonframework.eventhandling.DomainEventSequenceAware,org.axonframework.eventhandling.EventBus",""
"axon-test-4.8.0","axon-messaging-4.8.0","org.axonframework.test","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-test-4.8.0","axon-messaging-4.8.0","org.axonframework.test.matchers","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.conflictresolution","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.Message",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.eventstore","org.axonframework.messaging",1,35,0.02857142857142857,"org.axonframework.messaging.StreamableMessageSource",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.eventstore.legacyjpa","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.eventstore.jdbc","org.axonframework.serialization",1,34,0.029411764705882353,"org.axonframework.serialization.Serializer",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","org.axonframework.eventhandling",3,93,0.03225806451612903,"org.axonframework.eventhandling.EventMessage,org.axonframework.eventhandling.GenericDomainEventMessage,org.axonframework.eventhandling.DomainEventMessage",""
"axon-test-4.8.0","axon-modelling-4.8.0","org.axonframework.test.utils","org.axonframework.modelling.saga",1,30,0.03333333333333333,"org.axonframework.modelling.saga.SimpleResourceInjector",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0","org.axonframework.eventsourcing.conflictresolution","org.axonframework.commandhandling",1,29,0.034482758620689655,"org.axonframework.commandhandling.CommandMessage",""
