"packageName","outgoingDependencies","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","outgoingDependenciesWeight","Source Cypher File: Metrics/Set_Outgoing_Package_Dependencies.cypher"
"org.axonframework.config",7974,213,84,46,5,35370,""
"org.axonframework.test.aggregate",2223,92,34,16,4,9766,""
"org.axonframework.eventhandling",1557,151,54,16,1,7770,""
"org.axonframework.disruptor.commandhandling",1487,85,31,14,4,7444,""
"org.axonframework.test.saga",1375,79,26,17,3,4837,""
"org.axonframework.eventsourcing.eventstore.jdbc",1340,51,27,11,3,8129,""
"org.axonframework.queryhandling",1116,80,28,11,1,6975,""
"org.axonframework.eventhandling.pooled",1022,57,26,12,1,5616,""
"org.axonframework.eventsourcing",976,91,31,16,3,4142,""
"org.axonframework.modelling.command",827,91,33,15,2,4151,""
"org.axonframework.modelling.command.inspection",781,73,28,10,2,4141,""
"org.axonframework.commandhandling.distributed",752,72,27,12,1,2879,""
"org.axonframework.commandhandling",661,71,29,9,1,2346,""
"org.axonframework.eventsourcing.eventstore",603,64,25,16,3,2501,""
"org.axonframework.eventhandling.deadletter.jdbc",581,49,20,8,1,4165,""
"org.axonframework.deadline.dbscheduler",503,38,17,9,1,2714,""
"org.axonframework.deadline.quartz",481,38,18,10,1,2187,""
"org.axonframework.commandhandling.gateway",443,56,11,10,1,1608,""
"org.axonframework.deadline.jobrunr",433,35,17,10,1,1847,""
"org.axonframework.modelling.saga",398,59,22,9,2,1861,""
"org.axonframework.eventhandling.deadletter",386,29,13,7,1,1824,""
"org.axonframework.eventsourcing.eventstore.legacyjpa",375,47,17,15,2,1870,""
"org.axonframework.deadline",347,43,21,8,1,1281,""
"org.axonframework.eventhandling.deadletter.legacyjpa",330,36,15,9,1,2651,""
"org.axonframework.eventhandling.deadletter.jpa",317,39,15,8,1,2185,""
"org.axonframework.messaging.annotation",301,67,13,7,1,1126,""
"org.axonframework.eventsourcing.eventstore.jpa",236,32,11,11,2,1308,""
"org.axonframework.modelling.saga.repository",231,36,14,8,2,1545,""
"org.axonframework.eventhandling.scheduling.dbscheduler",213,27,11,9,1,1260,""
"org.axonframework.eventhandling.scheduling.jobrunr",209,23,11,10,1,836,""
"org.axonframework.eventhandling.scheduling.quartz",202,27,12,10,1,698,""
"org.axonframework.queryhandling.annotation",199,22,13,6,1,790,""
"org.axonframework.eventhandling.tokenstore.jdbc",195,28,9,6,1,2299,""
"org.axonframework.serialization.upcasting.event",188,26,11,6,1,735,""
"org.axonframework.serialization",176,46,7,9,1,625,""
"org.axonframework.modelling.command.legacyjpa",143,19,10,9,2,683,""
"org.axonframework.test.deadline",138,20,11,7,2,711,""
"org.axonframework.modelling.saga.repository.jdbc",136,25,8,8,2,1103,""
"org.axonframework.messaging",133,35,15,6,1,406,""
"org.axonframework.messaging.unitofwork",123,20,7,5,1,655,""
"org.axonframework.tracing",122,27,12,9,1,816,""
"org.axonframework.eventhandling.tokenstore.jpa",119,21,6,6,1,678,""
"org.axonframework.messaging.interceptors",119,14,8,7,1,366,""
"org.axonframework.eventhandling.tokenstore.legacyjpa",106,20,6,7,1,819,""
"org.axonframework.messaging.deadletter",105,23,8,5,1,380,""
"org.axonframework.eventsourcing.conflictresolution",99,18,13,9,3,315,""
"org.axonframework.serialization.json",87,24,6,4,1,331,""
