"fullQualifiedPackageName","packageName","spread","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_6c_Cost_effective_Lazy_Forward_CELF_Stream.cypher"
"org.axonframework.config","config",9.87,115,7974,""
"org.axonframework.test.saga","saga",2.8500000000000014,43,1375,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",2.139999999999999,218,1340,""
"org.axonframework.test.aggregate","aggregate",1.9499999999999993,31,2223,""
"org.axonframework.commandhandling.distributed","distributed",1.8399999999999999,50,752,""
