"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.serialization.SerializedType",0.5871666053442481,41,1,""
"org.axonframework.serialization.SimpleSerializedType",0.5044645103932794,9,2,""
"org.axonframework.messaging.Message",0.3560114680321966,193,3,""
"org.axonframework.serialization.Serializer",0.23426739893352228,90,3,""
"org.axonframework.messaging.MetaData",0.2072501975453774,74,2,""
"org.axonframework.serialization.SerializedObject",0.20247600518403194,54,1,""
"org.axonframework.common.Assert",0.16798832115294757,56,,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.1334987970481016,1,2,""
"org.axonframework.common.AxonException",0.11715546740636973,24,,""
"org.axonframework.messaging.MetaData$1",0.10215606556860103,2,1,""
"org.axonframework.eventhandling.EventMessage",0.10163229705233555,143,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema",0.08996673087923103,21,2,""
"org.axonframework.common.AxonNonTransientException",0.0775165576612097,26,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder",0.06867731725330811,1,2,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.05642745485475376,61,1,""
"org.axonframework.eventhandling.TrackingToken",0.05158637714986396,76,,""
"org.axonframework.commandhandling.CommandMessage",0.05059253748325237,103,1,""
"org.axonframework.common.AxonConfigurationException",0.04525250236022188,78,1,""
"org.axonframework.serialization.Converter",0.04301326319741204,13,2,""
"org.axonframework.eventhandling.DomainEventMessage",0.035169723908583285,57,2,""
"org.axonframework.common.BuilderUtils",0.034345761612930556,90,3,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema",0.029168573162484664,7,2,""
"org.axonframework.common.TypeReflectionUtils$VarMap",0.02644112948426489,3,3,""
"org.axonframework.modelling.saga.AssociationValue",0.026239279549943942,30,1,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema",0.024795332721387696,5,1,""
"org.axonframework.common.AxonTransientException",0.022669700462886053,13,1,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder",0.02246079413278981,1,1,""
"org.axonframework.messaging.annotation.ParameterResolver",0.022268039045891724,40,1,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema$Builder",0.022046392953428716,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.020918472757651938,11,5,""
"org.axonframework.messaging.ResultMessage",0.020354714979507884,23,5,""
"org.axonframework.common.stream.StreamUtils",0.019709341902177623,2,2,""
"org.axonframework.common.transaction.Transaction",0.019635096480401862,5,,""
"org.axonframework.common.stream.BlockingStream",0.01911690871674001,14,1,""
"org.axonframework.eventhandling.TrackedEventMessage",0.01898221517171501,49,2,""
"org.axonframework.commandhandling.distributed.CommandMessageFilter",0.018975228187411926,11,4,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.01841737414530435,56,11,""
"org.axonframework.config.Configuration",0.018269618295034727,23,33,""
"org.axonframework.messaging.ScopeDescriptor",0.018048156076552753,36,,""
"org.axonframework.serialization.SimpleSerializedObject",0.01678066106928983,27,4,""
"org.axonframework.serialization.ContentTypeConverter",0.01643215504592187,17,,""
"org.axonframework.common.transaction.TransactionManager",0.014613049360006363,72,1,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.014604216086283945,47,1,""
"org.axonframework.common.IdentifierFactory",0.013962247492160488,11,1,""
"org.axonframework.common.caching.Cache$EntryListener",0.013823404688949019,11,,""
"org.axonframework.messaging.deadletter.DeadLetter",0.013708101699216197,25,3,""
"org.axonframework.commandhandling.CommandCallback",0.013346660045872611,34,3,""
"org.axonframework.common.DefaultIdentifierFactory",0.013253674718966922,1,1,""
"org.axonframework.messaging.MessageHandler",0.013198256634759523,31,1,""
"org.axonframework.commandhandling.CommandResultMessage",0.013093098142327543,25,2,""
"org.axonframework.deadline.DeadlineMessage",0.013034662389599558,29,2,""
"org.axonframework.common.Registration",0.013029079572480045,40,,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$1",0.01289739128003125,2,1,""
"org.axonframework.messaging.annotation.HasHandlerAttributes",0.012814598999930716,9,,""
"org.axonframework.modelling.command.inspection.EntityModel",0.012628983812855397,10,2,""
"org.axonframework.eventhandling.Segment",0.012358899211244166,30,1,""
"org.axonframework.common.ReflectionUtils",0.012347091069579498,27,4,""
"org.axonframework.queryhandling.QueryMessage",0.012304969232044575,21,2,""
"org.axonframework.tracing.SpanScope",0.01207223445669143,13,,""
