"memberName","spread","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_6c_Cost_effective_Lazy_Forward_CELF_Stream.cypher"
"org.axonframework.config.DefaultConfigurer",25.19,2,101,""
"org.axonframework.test.aggregate.AggregateTestFixture",12.120000000000001,4,64,""
"org.axonframework.config.EventProcessingModule",9.769999999999996,2,67,""
"org.axonframework.test.saga.SagaTestFixture",7.910000000000004,2,59,""
"org.axonframework.config.AggregateConfigurer",7.589999999999996,1,41,""
