"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_5c_Betweeness_Stream.cypher"
"/axon-disruptor-4.8.2.jar",3,1,3,""
"/axon-eventsourcing-4.8.2.jar",1,3,2,""
"/axon-configuration-4.8.2.jar",0,0,4,""
"/axon-messaging-4.8.2.jar",0,5,0,""
"/axon-modelling-4.8.2.jar",0,4,1,""
"/axon-test-4.8.2.jar",0,0,3,""
