"memberName","authority","hub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9c_Hyperlink_Induced_Topic_Search_HITS_Stream.cypher"
"org.axonframework.messaging.Message",0.43921270387742123,0.023690762286877585,193,3,""
"org.axonframework.eventhandling.EventMessage",0.33931873846331984,0.021941843692902904,143,1,""
"org.axonframework.common.transaction.TransactionManager",0.2226731037828074,0.0003095104556751899,72,1,""
"org.axonframework.serialization.Serializer",0.21763020680855874,0.00960458788527255,90,3,""
"org.axonframework.common.BuilderUtils",0.19075243894481536,0.014488975682186813,90,3,""
"org.axonframework.tracing.SpanFactory",0.19008501592083338,0.027660066039859415,56,3,""
"org.axonframework.common.AxonConfigurationException",0.17979893411512152,0.00028141052656095424,78,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.16540409953967866,0.058842334460627664,56,11,""
"org.axonframework.commandhandling.CommandMessage",0.15518618738075562,0.021941843692902904,103,1,""
"org.axonframework.messaging.MetaData",0.15454251048193676,1.9413501113570468e-05,74,2,""
"org.axonframework.eventhandling.TrackingToken",0.12852882600281593,0,76,,""
"org.axonframework.monitoring.MessageMonitor",0.12578650983453266,0.0238276992293001,34,2,""
"org.axonframework.eventhandling.GenericEventMessage",0.11409830790960591,0.04922841708837421,33,6,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.10854205411559449,0.0022988496769353016,47,1,""
"org.axonframework.common.Assert",0.10791179283727512,0,56,,""
"org.axonframework.eventhandling.EventBus",0.10782612146857991,0.018234862716405554,32,3,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.10721309182758809,0.009824787413439175,33,2,""
"org.axonframework.eventhandling.DomainEventMessage",0.1067596209371729,0.03889326302961008,57,2,""
"org.axonframework.serialization.SerializedObject",0.10204831475077891,0.003617396007629523,54,1,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.10052010017501092,0.03357657430844089,29,3,""
"org.axonframework.eventhandling.TrackedEventMessage",0.09696959110554688,0.02337236159381724,49,2,""
"org.axonframework.tracing.Span",0.09620526340535561,0.001915807121225571,28,1,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.09039121328550714,0.021941843692902904,33,1,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.08812197764365184,0.021941843692902904,61,1,""
"org.axonframework.common.Registration",0.0877120293144721,0,40,,""
"org.axonframework.messaging.ScopeDescriptor",0.08454167623647209,0,36,,""
"org.axonframework.deadline.DeadlineMessage",0.0827809360057963,0.03889326302961008,29,2,""
"org.axonframework.commandhandling.CommandBus",0.082303617983794,0.019144369659933217,25,6,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.07893251251023158,0.01598364174167353,32,2,""
"org.axonframework.serialization.SerializedType",0.07240988057991915,0.0006152313481525206,41,1,""
"org.axonframework.messaging.unitofwork.DefaultUnitOfWork",0.07198476913054479,0.04744412787114214,16,10,""
"org.axonframework.eventhandling.tokenstore.TokenStore",0.07143542156807232,0.011037666843336034,22,5,""
"org.axonframework.eventsourcing.eventstore.EventStore",0.07029282190646546,0.019705929764911444,20,6,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.0686663276476723,0,19,,""
"org.axonframework.modelling.command.Repository",0.06758650688661207,0.004330452055854697,22,2,""
"org.axonframework.messaging.InterceptorChain",0.06748979780353882,0,22,,""
"org.axonframework.messaging.MessageHandler",0.06490887516854309,0.021941843692902904,31,1,""
"org.axonframework.messaging.ResultMessage",0.06490690365139615,0.03836072905939148,23,5,""
"org.axonframework.modelling.command.inspection.AggregateModel",0.0632112119221763,0.000743405550003403,24,1,""
"org.axonframework.lifecycle.Lifecycle$LifecycleRegistry",0.06237200594753785,0.0008773127110556623,19,1,""
"org.axonframework.common.transaction.NoTransactionManager",0.06126860554819232,0.011462245275696444,17,3,""
"org.axonframework.modelling.command.Aggregate",0.06072009596064468,0.021941843692902904,22,1,""
"org.axonframework.eventhandling.Segment",0.05898927645259648,0.00539097268852503,30,1,""
"org.axonframework.modelling.command.RepositoryProvider",0.057355367174664065,0.0033764336886512886,21,1,""
"org.axonframework.messaging.ScopeAwareProvider",0.05687597581664907,0.005520511874971451,13,2,""
"org.axonframework.lifecycle.Lifecycle",0.055806822420667035,0.003993244452628494,15,2,""
"org.axonframework.eventhandling.GenericDomainEventMessage",0.054835066230604544,0.059522455619837454,16,6,""
"org.axonframework.messaging.DefaultInterceptorChain",0.054583892417431376,0.04184094527772502,13,5,""
"org.axonframework.commandhandling.CommandCallback",0.05427352804625465,0.00926453810933317,34,3,""
"org.axonframework.serialization.SimpleSerializedObject",0.054159428020105455,0.014721649694552759,27,4,""
"org.axonframework.eventsourcing.AggregateFactory",0.05373960299077628,0.005333413388631798,14,1,""
"org.axonframework.messaging.deadletter.DeadLetter",0.052711969924612814,0.03127889262845858,25,3,""
"org.axonframework.messaging.annotation.ClasspathHandlerDefinition",0.05003186478497086,0.006608068853006512,13,2,""
"org.axonframework.messaging.annotation.ClasspathParameterResolverFactory",0.04785950539990433,0.006674626217641709,12,2,""
"org.axonframework.config.Configuration",0.04670549844773405,0.11473460155351979,23,33,""
"org.axonframework.eventhandling.EventHandlerInvoker",0.04669383790661376,0.019898359331961834,12,2,""
"org.axonframework.messaging.annotation.ParameterResolver",0.04601636929630817,0.021941843692902904,40,1,""
"org.axonframework.messaging.StreamableMessageSource",0.0459526274273977,0.029340230158920722,15,3,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.04587842365491905,0.0032425681724058534,14,1,""
"org.axonframework.tracing.NoOpSpanFactory",0.04405847161923901,0.03724914771461144,14,5,""
"org.axonframework.messaging.annotation.HandlerEnhancerDefinition",0.04286727398467187,0.004402328626419068,19,1,""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler",0.041218164383526726,0.017648870246551346,15,2,""
"org.axonframework.common.ObjectUtils",0.0403370450111207,0,18,,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine",0.03918027649011312,0.035267044866546866,15,5,""
"org.axonframework.eventhandling.ErrorHandler",0.03857252370798869,0.0002463254380372154,9,1,""
"org.axonframework.tracing.SpanScope",0.03834895725254245,0,13,,""
"org.axonframework.modelling.saga.repository.SagaStore",0.037973162165038404,0.0018400896460536917,15,3,""
"org.axonframework.monitoring.MessageMonitor$MonitorCallback",0.03774941253141497,0,15,,""
"org.axonframework.messaging.GenericMessage",0.03753675880165312,0.051795570503216024,14,8,""
"org.axonframework.common.IdentifierFactory",0.03678443339978183,4.3044758433041795e-54,11,1,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.03621501144312515,0.021941843692902904,10,1,""
"org.axonframework.deadline.GenericDeadlineMessage",0.035840601952107615,0.05832454728958918,11,6,""
"org.axonframework.common.jpa.EntityManagerProvider",0.0354462044421215,0,13,,""
"org.axonframework.test.matchers.FieldFilter",0.035411909460519225,0,18,,""
"org.axonframework.eventhandling.DomainEventData",0.03516576090613521,0.000440348787647995,19,1,""
"org.axonframework.serialization.upcasting.event.EventUpcaster",0.035110080715373825,0.00045612140723392966,16,2,""
"org.axonframework.common.ReflectionUtils",0.035098381675975766,0.00745123047611502,27,4,""
"org.axonframework.modelling.command.CommandTargetResolver",0.03501661175982305,0.00859246887260426,10,2,""
"org.axonframework.common.DateTimeUtils",0.034987080665667795,0,14,,""
"org.axonframework.queryhandling.QueryUpdateEmitter",0.0345617122996584,0.0035442199000718516,7,6,""
