"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.messaging.Message",0.5730072222379294,193,3,""
"org.axonframework.serialization.Serializer",0.3398191525402737,90,3,""
"org.axonframework.eventhandling.EventMessage",0.25180626750028867,143,1,""
"org.axonframework.serialization.SerializedObject",0.2251259336609867,54,1,""
"org.axonframework.eventhandling.TrackingToken",0.17171309174176366,76,,""
"org.axonframework.commandhandling.CommandMessage",0.15647328058549978,103,1,""
"org.axonframework.messaging.MetaData",0.1496238949716887,74,2,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.1466572372460034,61,1,""
"org.axonframework.serialization.SerializedType",0.14509903409230862,41,1,""
"org.axonframework.common.BuilderUtils",0.13734683441503792,90,3,""
"org.axonframework.eventhandling.DomainEventMessage",0.11557731299005501,57,2,""
"org.axonframework.common.AxonException",0.11011152437737666,24,,""
"org.axonframework.common.AxonConfigurationException",0.1091153249826826,78,1,""
"org.axonframework.common.AxonNonTransientException",0.10462177039286208,26,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema",0.09598967316744261,21,2,""
"org.axonframework.common.Assert",0.08807767139923132,56,,""
"org.axonframework.modelling.saga.AssociationValue",0.07982495697363345,30,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.0734540164726724,56,11,""
"org.axonframework.eventhandling.TrackedEventMessage",0.07227475475640885,49,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder",0.06836386792753467,1,2,""
"org.axonframework.messaging.ResultMessage",0.06114703248982902,23,5,""
"org.axonframework.config.Configuration",0.05870937065576197,23,33,""
"org.axonframework.common.transaction.TransactionManager",0.05656841540458706,72,1,""
"org.axonframework.common.transaction.Transaction",0.054057560098642064,5,,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.051899180351206664,47,1,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.05153165048219481,1,2,""
"org.axonframework.messaging.deadletter.DeadLetter",0.05069621183571573,25,3,""
"org.axonframework.commandhandling.distributed.CommandMessageFilter",0.049719634882861366,11,4,""
"org.axonframework.deadline.DeadlineMessage",0.04838403307623988,29,2,""
"org.axonframework.messaging.ScopeDescriptor",0.047785286502647524,36,,""
"org.axonframework.tracing.SpanFactory",0.04773261130484205,56,3,""
"org.axonframework.common.AxonTransientException",0.047727763476216524,13,1,""
"org.axonframework.commandhandling.CommandCallback",0.0475883744120195,34,3,""
"org.axonframework.commandhandling.CommandResultMessage",0.04650608176159583,25,2,""
"org.axonframework.serialization.Converter",0.046152535716214874,13,2,""
"org.axonframework.messaging.MessageHandler",0.04555515100510382,31,1,""
"org.axonframework.common.caching.Cache$EntryListener",0.045030469158863044,11,,""
"org.axonframework.serialization.ContentTypeConverter",0.04389784032297026,17,,""
"org.axonframework.tracing.SpanScope",0.043301968090881146,13,,""
"org.axonframework.messaging.annotation.ParameterResolver",0.042635970231746055,40,1,""
"org.axonframework.eventhandling.Segment",0.04243793569253533,30,1,""
"org.axonframework.tracing.Span",0.041720026356812406,28,1,""
"org.axonframework.serialization.SimpleSerializedObject",0.04166307238918224,27,4,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream",0.041450114308889834,22,7,""
"org.axonframework.queryhandling.QueryMessage",0.04114042197288174,21,2,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema",0.03859627674809737,5,1,""
"org.axonframework.messaging.responsetypes.ResponseType",0.03842062300014162,19,,""
"org.axonframework.serialization.SimpleSerializedType",0.03829839099549437,9,2,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$InvocationHandler",0.038208532730194825,11,,""
"org.axonframework.common.Registration",0.03663826859130056,40,,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.03512939191708216,33,1,""
"org.axonframework.messaging.MetaData$1",0.03476031203721266,2,1,""
"org.axonframework.common.ReflectionUtils",0.033447276256541196,27,4,""
"org.axonframework.modelling.command.Aggregate",0.03342935601214213,22,1,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder",0.03335237646178455,1,1,""
"org.axonframework.eventhandling.DomainEventData",0.032295159204510274,19,1,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema",0.03212250461114889,7,2,""
"org.axonframework.monitoring.MessageMonitor",0.03209103801896744,34,2,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.031764004784969074,33,2,""
"org.axonframework.modelling.command.inspection.AggregateModel",0.0315636131237236,24,1,""
"org.axonframework.monitoring.MessageMonitor$MonitorCallback",0.031390914250735744,15,,""
"org.axonframework.eventhandling.EventBus",0.030209859858716284,32,3,""
"org.axonframework.test.matchers.FieldFilter",0.02845676900007071,18,,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.028374845994755395,11,5,""
"org.axonframework.eventhandling.deadletter.jdbc.DeadLetterSchema$Builder",0.02735673610609566,1,2,""
"org.axonframework.modelling.command.inspection.EntityModel",0.027251017976051225,10,2,""
"org.axonframework.messaging.unitofwork.UnitOfWork$Phase",0.026570762642611215,11,,""
"org.axonframework.common.StringUtils",0.026461447745756397,2,,""
"org.axonframework.eventhandling.deadletter.jdbc.DeadLetterSchema",0.026271613804500347,9,1,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema$Builder",0.0260729129687292,1,2,""
"org.axonframework.serialization.upcasting.event.IntermediateEventRepresentation",0.02604081979176445,12,5,""
"org.axonframework.common.stream.BlockingStream",0.025576844234940315,14,1,""
"org.axonframework.messaging.InterceptorChain",0.024885199765769864,22,,""
"org.axonframework.messaging.annotation.HandlerEnhancerDefinition",0.02440569317914674,19,1,""
"org.axonframework.eventsourcing.SnapshotTrigger",0.024309787635608017,10,1,""
"org.axonframework.eventhandling.GenericEventMessage",0.024262464985734603,33,6,""
"org.axonframework.queryhandling.QuerySubscription",0.023441803262286277,6,3,""
"org.axonframework.messaging.deadletter.Cause",0.023348625317613603,14,,""
"org.axonframework.eventsourcing.EventSourcedAggregate",0.02332241723523951,8,11,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.023178021087689266,32,2,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.023084450253264256,29,3,""
"org.axonframework.common.lock.Lock",0.022710272512282772,9,,""
"org.axonframework.eventhandling.scheduling.ScheduleToken",0.022497328507556955,11,,""
"org.axonframework.eventhandling.TrackingEventProcessor",0.02228577421360983,8,43,""
"org.axonframework.messaging.StreamableMessageSource",0.02221498977730962,15,3,""
"org.axonframework.commandhandling.CommandBus",0.021808717589803094,25,6,""
"org.axonframework.eventhandling.EventTrackerStatus",0.021804075554207665,8,2,""
"org.axonframework.serialization.upcasting.Upcaster",0.021746292996907907,6,,""
"org.axonframework.test.AxonAssertionError",0.02150210199825768,8,,""
"org.axonframework.lifecycle.Lifecycle$LifecycleHandler",0.02149839785285323,7,,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.021383945098068246,19,,""
"org.axonframework.messaging.annotation.WrappedMessageHandlingMember",0.02109048011299993,11,2,""
"org.axonframework.modelling.saga.repository.SagaStore$Entry",0.021071584691612806,12,1,""
"org.axonframework.queryhandling.SubscriptionQueryMessage",0.021065020634617928,7,3,""
"org.axonframework.config.EventProcessingModule$1",0.02044856569342091,5,1,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$1",0.020272355675162185,11,1,""
"org.axonframework.serialization.RevisionResolver",0.020261566308144,13,,""
"org.axonframework.common.property.Property",0.02024395063259346,11,,""
"org.axonframework.lifecycle.Lifecycle$LifecycleRegistry",0.019980923300620877,19,1,""
"org.axonframework.messaging.GenericMessage",0.019677635933657577,14,8,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine",0.019360205944604688,15,5,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore",0.019356146804650726,5,15,""
"org.axonframework.serialization.CannotConvertBetweenTypesException",0.019355200022508096,7,1,""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore",0.019343427602341288,6,16,""
"org.axonframework.common.TypeReflectionUtils$VarMap",0.019318072433504484,3,3,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry",0.019038738719798845,9,10,""
"org.axonframework.eventhandling.TrackerStatus",0.01897315939017924,12,6,""
"org.axonframework.messaging.annotation.HasHandlerAttributes",0.018943796849491816,9,,""
"org.axonframework.modelling.command.RepositoryProvider",0.018888039382922026,21,1,""
"org.axonframework.serialization.upcasting.event.EventUpcaster",0.0188627684613821,16,2,""
"org.axonframework.commandhandling.distributed.Member",0.018566051118119622,6,,""
"org.axonframework.eventhandling.EventMessageHandler",0.01855118293195466,9,3,""
"org.axonframework.modelling.command.Repository",0.01850551707001167,22,2,""
"org.axonframework.common.annotation.AnnotationUtils",0.018327264557737727,19,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$1",0.01826646888812479,2,1,""
"org.axonframework.modelling.saga.repository.AssociationValueMap$SagaAssociationValue",0.018156581738562834,2,2,""
"org.axonframework.messaging.HandlerExecutionException",0.01802615703068219,4,1,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.017826433419712847,14,1,""
"org.axonframework.eventsourcing.eventstore.EventStore",0.0177621663419114,20,6,""
"org.axonframework.eventsourcing.Snapshotter",0.01764695374006064,9,,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$1",0.017604919273903914,4,1,""
"org.axonframework.commandhandling.gateway.AbstractRetryScheduler$Builder",0.017568122172557595,5,3,""
"org.axonframework.messaging.RemoteExceptionDescription",0.01747484121732079,4,1,""
"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",0.017397913352206626,7,2,""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler",0.01739643501652722,15,2,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.017376658633202306,10,1,""
"org.axonframework.commandhandling.WrappedCommandCallback",0.017306928506905395,1,3,""
"org.axonframework.queryhandling.SubscriptionQueryUpdateMessage",0.017148856933534476,10,2,""
"org.axonframework.eventsourcing.AggregateFactory",0.017105806907064643,14,1,""
"org.axonframework.commandhandling.gateway.AbstractCommandGateway$Builder",0.016978993290080464,7,5,""
"org.axonframework.modelling.command.AggregateCreationPolicy",0.016830045931856052,5,,""
"org.axonframework.eventhandling.AbstractEventBus$Builder",0.01677025208450312,7,7,""
"org.axonframework.common.lock.PessimisticLockFactory",0.01672842999254058,6,7,""
"org.axonframework.test.matchers.ListMatcher",0.0166742504045357,4,,""
"org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter",0.01660254076711523,3,2,""
"org.axonframework.eventhandling.EventData",0.016571078797558304,6,1,""
"org.axonframework.eventhandling.EventHandlerInvoker",0.016545614187999748,12,2,""
"org.axonframework.modelling.command.ApplyMore",0.016495393146484124,7,,""
"org.axonframework.eventhandling.tokenstore.TokenStore",0.016493425030772647,22,5,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Node",0.016484461770449516,4,3,""
"org.axonframework.eventhandling.tokenstore.UnableToClaimTokenException",0.016405000711890595,9,1,""
"org.axonframework.messaging.deadletter.EnqueueDecision",0.01639366588350627,13,2,""
"org.axonframework.test.saga.FixtureExecutionResult",0.016370891268669932,5,3,""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Node",0.01631513173530771,4,3,""
"org.axonframework.common.TypeReflectionUtils",0.016300223072839504,3,1,""
"org.axonframework.config.ModuleConfiguration",0.01625145301879369,6,1,""
"org.axonframework.eventhandling.async.SequencingPolicy",0.016235904397288323,12,,""
"org.axonframework.queryhandling.QueryResponseMessage",0.016093456319974234,6,2,""
"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter",0.016061484379900712,2,2,""
"org.axonframework.common.lock.LockFactory",0.01606111398993915,11,1,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",0.015998377333474898,5,25,""
"org.axonframework.modelling.command.AbstractRepository$Builder",0.01594572746984629,6,9,""
"org.axonframework.common.jpa.EntityManagerProvider",0.0158842120457898,13,,""
"org.axonframework.commandhandling.distributed.RoutingStrategy",0.015853947463014294,4,1,""
"org.axonframework.common.IdentifierFactory",0.015834902610664253,11,1,""
"org.axonframework.messaging.GenericResultMessage",0.015808825412272076,6,8,""
"org.axonframework.common.io.IOUtils",0.015789984879512976,10,,""
"org.axonframework.messaging.responsetypes.AbstractResponseType",0.01575981735170119,4,4,""
"org.axonframework.modelling.saga.ResourceInjector",0.015713607734690282,10,,""
"org.axonframework.commandhandling.gateway.RetryScheduler",0.015694448998630324,9,1,""
"org.axonframework.test.aggregate.ResultValidator",0.015693566572893836,3,3,""
"org.axonframework.messaging.annotation.MessageHandler",0.015677371696443287,8,2,""
"org.axonframework.common.caching.Cache",0.01563731564681361,12,3,""
"org.axonframework.test.aggregate.StubAggregateLifecycle",0.015599224463137357,3,9,""
"org.axonframework.eventhandling.GapAwareTrackingToken",0.01550633834469996,4,3,""
