"memberName","centrality","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_7c_Harmonic_Closeness_Stream.cypher"
"org.axonframework.messaging.Message",0.35999715585893055,193,3,""
"org.axonframework.serialization.Serializer",0.2819112627986348,90,3,""
"org.axonframework.messaging.MetaData",0.27763083048919224,74,2,""
"org.axonframework.serialization.SerializedObject",0.2726962457337884,54,1,""
"org.axonframework.common.Assert",0.2598420824530039,56,,""
"org.axonframework.eventhandling.EventMessage",0.22238339021615477,143,1,""
"org.axonframework.serialization.SerializedType",0.2148403217942467,41,1,""
"org.axonframework.serialization.Converter",0.19353770518446287,13,2,""
"org.axonframework.messaging.MetaData$1",0.18538314643263448,2,1,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.18495652527222495,1,2,""
"org.axonframework.common.AxonException",0.17125182837640177,24,,""
"org.axonframework.common.AxonNonTransientException",0.16954737526409877,26,1,""
"org.axonframework.common.AxonConfigurationException",0.1692345197464651,78,1,""
"org.axonframework.serialization.SimpleSerializedObject",0.16849199577441892,27,4,""
"org.axonframework.serialization.SimpleSerializedType",0.1610830082886397,9,2,""
"org.axonframework.common.BuilderUtils",0.14356614659515685,90,3,""
"org.axonframework.common.transaction.TransactionManager",0.14079344764071725,72,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.134423248821713,56,11,""
"org.axonframework.commandhandling.CommandMessage",0.12700715098326024,103,1,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.12281813749390544,32,2,""
"org.axonframework.messaging.ResultMessage",0.1197799853729888,23,5,""
"org.axonframework.eventhandling.TrackingToken",0.11355233219567694,76,,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.10725696137385562,19,,""
"org.axonframework.common.transaction.Transaction",0.10643622352240105,5,,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.10027459504848586,10,1,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.0984259033533778,14,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.09772908879137551,11,5,""
"org.axonframework.messaging.unitofwork.UnitOfWork$Phase",0.0977148680860285,11,,""
"org.axonframework.common.Registration",0.0945961319681456,40,,""
"org.axonframework.eventhandling.DomainEventMessage",0.09142491467576792,57,2,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.09079920364050058,61,1,""
"org.axonframework.messaging.HandlerExecutionException",0.088431117612005,4,1,""
"org.axonframework.messaging.GenericMessage",0.08713229319031367,14,8,""
"org.axonframework.messaging.RemoteExceptionDescription",0.08690950213987757,4,1,""
"org.axonframework.common.StringUtils",0.08660104826913703,2,,""
"org.axonframework.eventhandling.TrackedEventMessage",0.0835608646188851,49,2,""
"org.axonframework.messaging.MessageHandler",0.08265073947667803,31,1,""
"org.axonframework.tracing.SpanFactory",0.07885381114903299,56,3,""
"org.axonframework.common.IdentifierFactory",0.07810620835364865,11,1,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.07711888509670081,47,1,""
"org.axonframework.eventhandling.GenericEventMessage",0.07710060133268323,33,6,""
"org.axonframework.messaging.MessageDecorator",0.07688322769380791,5,4,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.07477246871444826,33,1,""
"org.axonframework.common.ExceptionUtils",0.0746441437781028,6,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$1",0.0734397854705022,4,1,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.0734357224118316,29,3,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2",0.07215992198927353,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3",0.07215992198927353,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4",0.07215992198927353,1,2,""
"org.axonframework.messaging.annotation.ParameterResolver",0.07197098976109215,40,1,""
"org.axonframework.messaging.InterceptorChain",0.07034982935153583,22,,""
"org.axonframework.common.ObjectUtils",0.06685966195351861,18,,""
"org.axonframework.messaging.AbstractMessage",0.06585811799122382,2,2,""
"org.axonframework.tracing.Span",0.06414960182025028,28,1,""
"org.axonframework.messaging.MessageDispatchInterceptorSupport",0.0632679180887372,8,3,""
"org.axonframework.common.AxonTransientException",0.06319579879733464,13,1,""
"org.axonframework.serialization.SerializedObjectHolder",0.06270518446286365,1,5,""
"org.axonframework.messaging.ScopeDescriptor",0.06181740614334471,36,,""
"org.axonframework.common.DefaultIdentifierFactory",0.05792567311338642,1,1,""
"org.axonframework.eventhandling.EventBus",0.0559442548350398,32,3,""
"org.axonframework.common.ReflectionUtils",0.054906143344709904,27,4,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.05460750853242321,33,2,""
"org.axonframework.commandhandling.CommandCallback",0.05443686006825939,34,3,""
"org.axonframework.messaging.GenericResultMessage",0.054282463838777835,6,8,""
"org.axonframework.serialization.CachingSupplier",0.05384974809036243,2,,""
"org.axonframework.commandhandling.CommandResultMessage",0.05372785633024541,25,2,""
"org.axonframework.tracing.SpanAttributesProvider",0.05351251422070534,11,1,""
"org.axonframework.monitoring.MessageMonitor",0.052901023890784986,34,2,""
"org.axonframework.common.annotation.AnnotationUtils",0.050030472940029255,19,1,""
"org.axonframework.tracing.SpanScope",0.049416951080773604,13,,""
"org.axonframework.deadline.DeadlineMessage",0.04856574028928978,29,2,""
"org.axonframework.eventhandling.GenericDomainEventMessage",0.047870957256622784,16,6,""
"org.axonframework.messaging.MessageHandlerInterceptorSupport",0.04773890784982936,7,3,""
"org.axonframework.messaging.responsetypes.ResponseType",0.04745652527222492,19,,""
"org.axonframework.commandhandling.CommandBus",0.04678612059158135,25,6,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream",0.045904436860068266,22,7,""
"org.axonframework.tracing.NoOpSpanFactory",0.04567081098651065,14,5,""
"org.axonframework.eventhandling.Segment",0.04560580204778157,30,1,""
"org.axonframework.modelling.saga.AssociationValue",0.044468145620022756,30,1,""
"org.axonframework.eventhandling.DomainEventData",0.04286120591581342,19,1,""
