"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.messaging.Message",5279.4642857142835,193,3,""
"org.axonframework.messaging.unitofwork.UnitOfWork",4552.578571428569,56,11,""
"org.axonframework.config.Configuration",3830.308333333334,23,33,""
"org.axonframework.messaging.GenericMessage",2598.25,14,8,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream",2517.3333333333335,22,7,""
"org.axonframework.config.EventProcessingModule",2020.0190476190476,2,67,""
"org.axonframework.eventsourcing.EventStreamUtils",1970.9619047619049,2,13,""
"org.axonframework.messaging.MessageHandlerInterceptor",1853.6988095238091,29,3,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",1673.3666666666666,11,5,""
"org.axonframework.serialization.SerializedObject",1669.2333333333331,54,1,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",1592.25,32,2,""
"org.axonframework.messaging.ResultMessage",1578.05,23,5,""
"org.axonframework.serialization.xml.XStreamSerializer",1566.9333333333334,9,11,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory",1485.9166666666667,11,8,""
"org.axonframework.messaging.MetaData",1451,74,2,""
"org.axonframework.commandhandling.CommandBus",1439.069047619047,25,6,""
"org.axonframework.serialization.Serializer",1425.7833333333333,90,3,""
"org.axonframework.config.EventProcessingModule$1",1380,5,1,""
"org.axonframework.eventsourcing.eventstore.EventStore",1309.8750000000002,20,6,""
"org.axonframework.test.aggregate.AggregateTestFixture",1238.6666666666665,4,64,""
"org.axonframework.config.DefaultConfigurer",1183.6916666666664,2,101,""
"org.axonframework.serialization.SerializedType",1162.3666666666668,41,1,""
"org.axonframework.messaging.MessageHandlerInterceptorSupport",1128.5511904761913,7,3,""
"org.axonframework.serialization.AbstractXStreamSerializer",1110.6,1,22,""
"org.axonframework.config.ModuleConfiguration",1025.3083333333334,6,1,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory",1009.0833333333333,5,25,""
"org.axonframework.config.EventProcessingConfiguration",976.221428571429,5,16,""
"org.axonframework.serialization.SerializedMessage",941.0833333333334,5,9,""
"org.axonframework.eventhandling.TrackingEventProcessor",935.3333333333334,8,43,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus",918.1666666666666,6,39,""
"org.axonframework.messaging.annotation.AnnotatedHandlerInspector",900.4166666666666,7,11,""
"org.axonframework.eventhandling.GenericEventMessage",840.2833333333333,33,6,""
"org.axonframework.common.ReflectionUtils",813.1666666666666,27,4,""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine",768,4,9,""
"org.axonframework.test.saga.SagaTestFixture",738,2,59,""
"org.axonframework.test.aggregate.AggregateTestFixture$1",722.8333333333333,5,1,""
"org.axonframework.config.Configurer",720,2,27,""
"org.axonframework.serialization.Converter",715.0000000000001,13,2,""
"org.axonframework.modelling.command.AggregateAnnotationCommandHandler",695.5833333333334,8,27,""
"org.axonframework.eventhandling.EventMessage",686.4999999999999,143,1,""
"org.axonframework.queryhandling.QueryBus",685.7130952380951,9,13,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder",676.4785714285714,6,9,""
"org.axonframework.eventsourcing.EventSourcedAggregate",674.1666666666666,8,11,""
"org.axonframework.config.AggregateConfigurer",653.6666666666667,1,41,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",648.3333333333334,5,25,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$1",637.0833333333333,11,1,""
"org.axonframework.queryhandling.SimpleQueryBus",631.4047619047619,4,42,""
"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository",620,2,25,""
"org.axonframework.eventsourcing.eventstore.EventStorageEngine",614.8333333333334,15,5,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",598.3333333333334,1,20,""
"org.axonframework.eventsourcing.EventSourcingRepository",591.3333333333333,4,22,""
"org.axonframework.eventsourcing.AggregateSnapshotter",586.2333333333333,3,14,""
