"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-server-connector-4.10.2",11,""
"axon-tracing-opentelemetry-4.10.2",1,""
"axon-eventsourcing-4.10.2",9,""
"axon-test-4.10.2",8,""
"axon-configuration-4.10.2",1,""
"axon-messaging-4.10.2",64,""
"axon-modelling-4.10.2",10,""
"axon-spring-boot-autoconfigure-4.10.2",9,""
"axon-disruptor-4.10.2",1,""
