"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Change",248143,73.63927459633025,""
"Java,ByteCode,Member,Method",13201,3.917547800849331,""
"Java,ByteCode,Parameter",13016,3.8626469340091583,""
"Git,Commit",12194,3.618709028373362,""
"File,Git",10694,3.17356686480439,""
"Java,ByteCode,ParameterizedType,Bound",7172,2.128373064744444,""
"Java,ByteCode,Bound",7113,2.110864139644064,""
"Java,ByteCode,Member,Field",3503,1.0395553326547389,""
"Java,ByteCode,Bound,WildcardType",2908,0.8629822744390466,""
"Java,Value,ByteCode,Annotation",2822,0.8374607903944257,""
"Xml,Element",2144,0.6362565324612504,""
"Java,ByteCode,Member,Constructor,Method",2043,0.6062836267809396,""
"Xml,Text",1436,0.4261494312566957,""
"Java,ByteCode,Bound,TypeVariable",1096,0.32525054084772875,""
"Java,ByteCode,Member,Method,Lambda",938,0.2783622329517971,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",900,0.2670852981413831,""
"Type,File,Java,ByteCode,Class",861,0.2555116018885898,""
"Type,File,Java,ByteCode,JavaType",748,0.22197755889972726,""
"Java,Value,ByteCode,Primitive",650,0.19289493754655446,""
"Java,ByteCode,Member,Method,GenericDeclaration",569,0.16885726071382998,""
"Json,Key",560,0.16618640773241614,""
"Value,Json,Scalar",544,0.16143822465434712,""
"Type,File,Java,ByteCode,ExternalType",396,0.11751753118220856,""
"Author,Git,Person",295,0.08754462550189779,""
"Value,Array",267,0.07923530511527699,""
"Committer,Git,Person",250,0.07419036059482864,""
"Type,File,Java,ByteCode,Class,GenericDeclaration",236,0.07003570040151824,""
"Value,Property",202,0.059945811360621534,""
"Type,File,Java,ByteCode,Interface",187,0.055494389724931814,""
"Java,Value,ByteCode,Class",172,0.051042968089242094,""
"Git,Tag",168,0.04985592231972484,""
"Maven,Dependency",163,0.04837211510782827,""
"Java,ByteCode,Bound,GenericArrayType",158,0.046888307895931694,""
"Java,Value,ByteCode,Enum",150,0.04451421635689718,""
"Package,File,Directory,Java",139,0.04124984049072472,""
"Value,Json,Object",133,0.039469271836448834,""
"Value,ManifestEntry",120,0.03561137308551775,""
"Type,File,Java,ByteCode,ExternalAnnotation,ExternalType",93,0.027598814141276254,""
"Artifact,Maven",92,0.02730205269889694,""
"Type,File,Java,ByteCode,GenericDeclaration,Interface",85,0.025224722602241734,""
"File,Directory",44,0.01305750346468984,""
"Type,File,Java,ByteCode,Annotation",43,0.012760742022310523,""
"Xml,Namespace",36,0.010683411925655324,""
"Git,Branch",30,0.008902843271379437,""
"Type,File,Java,ByteCode,PrimitiveType",29,0.008606081829000122,""
"Type,File,Java,ByteCode,Enum",28,0.008309320386620807,""
"Maven,Plugin",21,0.006231990289965605,""
"Maven,Configuration",21,0.006231990289965605,""
"jQAssistant,Rule,Concept",19,0.005638467405206976,""
"Xml,Attribute",18,0.005341705962827662,""
"Maven,PluginExecution",16,0.004748183078069033,""
"Maven,ExecutionGoal",16,0.004748183078069033,""
"File,Java,Properties",12,0.0035611373085517742,""
"File,Java,ServiceLoader",10,0.0029676144237931455,""
"Artifact,File,Jar,Archive,Zip,Java",9,0.002670852981413831,""
"File,Java,Manifest",9,0.002670852981413831,""
"Java,ManifestSection",9,0.002670852981413831,""
"Type,File,Java,ByteCode,Void",9,0.002670852981413831,""
"File,Maven,Xml,Pom,Document",9,0.002670852981413831,""
"Value,Json,Array",6,0.0017805686542758871,""
"Maven,Exclusion",5,0.0014838072118965727,""
"Java,ByteCode,Member,Constructor,Method,GenericDeclaration",4,0.0011870457695172581,""
"File",3,0.0008902843271379436,""
"File,Json",2,0.0005935228847586291,""
"Repository,File,Git",1,0.00029676144237931454,""
"Analyze,Task,jQAssistant",1,0.00029676144237931454,""
