"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",245689,23.777282919752672,""
"MODIFIES",245689,23.777282919752672,""
"UPDATES",159060,15.393504069029792,""
"CREATES",59722,5.779773984726501,""
"DELETES",37197,3.5998501877008744,""
"INVOKES",35650,3.450134666546662,""
"COMMITTED",24106,2.332929769194217,""
"DEPENDS_ON",21887,2.1181794515205272,""
"OF_TYPE",21373,2.0684355744208083,""
"DECLARES",20692,2.002529776162231,""
"OF_RAW_TYPE",17084,1.6533548567540863,""
"HAS_PARENT",14656,1.4183779431390708,""
"HAS",14110,1.3655371709669957,""
"RETURNS",12562,1.215724871841772,""
"HAS_COMMIT",12053,1.1664648845971084,""
"HAS_FILE",10677,1.0332983964857985,""
"RENAMES",10290,0.9958453217044922,""
"READS",9097,0.8803892022882183,""
"HAS_ACTUAL_TYPE_ARGUMENT",8284,0.8017087118561724,""
"HAS_NEW_NAME",6199,0.5999266422979735,""
"OF_GENERIC_TYPE",5903,0.5712803628786801,""
"RESOLVES_TO",5198,0.5030518933158359,""
"WRITES",3812,0.3689176254944144,""
"CONTAINS",3806,0.36833695766834773,""
"RETURNS_GENERIC",3543,0.3428843512924214,""
"ANNOTATED_BY",2810,0.2719460985412656,""
"REQUIRES",2175,0.2104920869492003,""
"HAS_FIRST_CHILD",2144,0.20749196984785534,""
"HAS_LAST_CHILD",2144,0.20749196984785534,""
"HAS_ELEMENT",2126,0.2057499663696551,""
"HAS_UPPER_BOUND",1523,0.14739284984994577,""
"EXTENDS",1494,0.14458628869062307,""
"HAS_TEXT",1436,0.13897316637197774,""
"HAS_SIBLING",1418,0.13723116289377746,""
"DECLARES_TYPE_PARAMETER",1075,0.10403631883696106,""
"IMPLEMENTS",841,0.08139027362035743,""
"THROWS",664,0.06426057275138804,""
"HAS_KEY",560,0.05419566376623087,""
"HAS_VALUE",560,0.05419566376623087,""
"EXTENDS_GENERIC",508,0.049163209273652295,""
"HAS_LOWER_BOUND",435,0.042098417389840055,""
"IS",377,0.03648529507119471,""
"IMPLEMENTS_GENERIC",373,0.03609818318715021,""
"COPIES",328,0.03174317449164951,""
"HAS_AUTHOR",293,0.028355945506260083,""
"HAS_COMMITTER",248,0.024000936810759387,""
"HAS_TAG",168,0.016258699129869263,""
"ON_COMMIT",168,0.016258699129869263,""
"DECLARES_DEPENDENCY",163,0.01577480927481363,""
"TO_ARTIFACT",163,0.01577480927481363,""
"HAS_COMPONENT_TYPE",158,0.015290919419757997,""
"COPY_OF",126,0.012194024347401947,""
"CONTAINS_VALUE",121,0.011710134492346314,""
"DECLARES_NAMESPACE",36,0.0034840069564005564,""
"HAS_DEFAULT",36,0.0034840069564005564,""
"HAS_HEAD",28,0.0027097831883115438,""
"REQUIRES_CONCEPT",28,0.0027097831883115438,""
"HAS_BRANCH",27,0.0026130052173004175,""
"HAS_CONFIGURATION",21,0.002032337391233658,""
"IS_ARTIFACT",21,0.002032337391233658,""
"REQUIRES_TYPE_PARAMETER",21,0.002032337391233658,""
"USES_PLUGIN",21,0.002032337391233658,""
"INCLUDES_CONCEPT",19,0.0018387814492114045,""
"HAS_ATTRIBUTE",18,0.0017420034782002782,""
"OF_NAMESPACE",18,0.0017420034782002782,""
"HAS_EXECUTION",16,0.0015484475361780248,""
"HAS_GOAL",16,0.0015484475361780248,""
"DESCRIBES",9,0.0008710017391001391,""
"HAS_ROOT_ELEMENT",9,0.0008710017391001391,""
"EXCLUDES",5,0.00048388985505563284,""
"THROWS_GENERIC",5,0.00048388985505563284,""
"HAS_PROPERTY",1,9.677797101112655e-05,""
