"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-4.10.2","org.axonframework.eventhandling",2331,1276,838,64,"TrackingEventProcessor","processBatch",21,"TrackingEventProcessor","processBatch","eventhandling",""
"axon-configuration-4.10.2","org.axonframework.config",1587,716,606,50,"DefaultConfigurer","<init>",7,"DefaultConfigurer","invokeLifecycleHandlers","config",""
"axon-messaging-4.10.2","org.axonframework.eventhandling.pooled",1041,460,341,77,"Coordinator$CoordinationTask","run",23,"Coordinator$CoordinationTask","run","pooled",""
"axon-test-4.10.2","org.axonframework.test.aggregate",956,438,251,45,"Reporter","appendEventOverview",13,"AggregateTestFixture","ensureValuesEqual","aggregate",""
"axon-messaging-4.10.2","org.axonframework.queryhandling",953,484,388,36,"SimpleQueryBus","doQuery",11,"SimpleQueryBus","doQuery","queryhandling",""
"axon-messaging-4.10.2","org.axonframework.eventhandling.deadletter.jdbc",848,304,249,31,"DefaultDeadLetterJdbcConverter","convertToLetter",12,"JdbcDeadLetter","equals","jdbc",""
"axon-modelling-4.10.2","org.axonframework.modelling.command",844,455,335,19,"AggregateAnnotationCommandHandler","lambda$initializeHandler$8",9,"AnnotationCommandTargetResolver","resolveTarget","command",""
"axon-server-connector-4.10.2","org.axonframework.axonserver.connector.event.axon",836,428,264,40,"PersistentStreamConnection$SegmentConnection","readMessagesFromSegment",17,"PersistentStreamConnection$SegmentConnection","readMessagesFromSegment","axon",""
"axon-server-connector-4.10.2","org.axonframework.axonserver.connector.query",739,292,216,27,"AxonServerQueryBus","query",9,"StreamableMultiInstanceResponse","stream","query",""
"axon-server-connector-4.10.2","org.axonframework.axonserver.connector",729,355,299,41,"AxonServerConnectionManager$Builder","build",12,"AxonServerConnectionManager$Builder","build","connector",""
"axon-eventsourcing-4.10.2","org.axonframework.eventsourcing.eventstore",712,397,264,21,"EmbeddedEventStore$EventConsumer","peekPrivateStream",13,"ConcatenatingDomainEventStream","hasNext","eventstore",""
"axon-messaging-4.10.2","org.axonframework.messaging.annotation",670,386,239,23,"AnnotatedMessageHandlingMember","<init>",14,"AnnotatedMessageHandlingMember","handle","annotation",""
"axon-modelling-4.10.2","org.axonframework.modelling.command.inspection",637,339,218,26,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","inspectFieldsAndMethods",9,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","prepareHandlers","inspection",""
"axon-eventsourcing-4.10.2","org.axonframework.eventsourcing",622,325,251,20,"AbstractSnapshotter","doScheduleSnapshot",8,"AbstractSnapshotter","doScheduleSnapshot","eventsourcing",""
"axon-disruptor-4.10.2","org.axonframework.disruptor.commandhandling",605,274,184,32,"DisruptorCommandBus","<init>",8,"BlacklistDetectingCallback","onResult","commandhandling",""
