"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.10.2",787,"Class",587,""
"axon-messaging-4.10.2",787,"Enum",19,""
"axon-messaging-4.10.2",787,"Interface",155,""
"axon-messaging-4.10.2",787,"Annotation",26,""
"axon-modelling-4.10.2",158,"Interface",28,""
"axon-modelling-4.10.2",158,"Class",115,""
"axon-modelling-4.10.2",158,"Annotation",12,""
"axon-modelling-4.10.2",158,"Enum",3,""
"axon-eventsourcing-4.10.2",133,"Class",98,""
"axon-eventsourcing-4.10.2",133,"Interface",32,""
"axon-eventsourcing-4.10.2",133,"Enum",2,""
"axon-eventsourcing-4.10.2",133,"Annotation",1,""
"axon-server-connector-4.10.2",132,"Class",107,""
"axon-server-connector-4.10.2",132,"Interface",24,""
"axon-server-connector-4.10.2",132,"Enum",1,""
"axon-test-4.10.2",87,"Class",71,""
"axon-test-4.10.2",87,"Interface",16,""
"axon-spring-boot-autoconfigure-4.10.2",75,"Class",69,""
"axon-spring-boot-autoconfigure-4.10.2",75,"Enum",2,""
"axon-spring-boot-autoconfigure-4.10.2",75,"Annotation",3,""
"axon-spring-boot-autoconfigure-4.10.2",75,"Interface",1,""
"axon-configuration-4.10.2",41,"Interface",16,""
"axon-configuration-4.10.2",41,"Class",23,""
"axon-configuration-4.10.2",41,"Enum",1,""
"axon-configuration-4.10.2",41,"Annotation",1,""
"axon-disruptor-4.10.2",22,"Class",22,""
"axon-tracing-opentelemetry-4.10.2",5,"Class",5,""
