"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"react-router","react-router-6.28.2","react-router-6.28.2",true,true,false,1,5,4,2,1,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-dom","react-router-6.28.2 -> react-router-dom",""
"react-router","react-router","react-router-6.28.2",true,true,false,1,5,4,2,2,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-dom","react-router -> react-router-dom,react-router -> react-router-6.28.2",""
"react-router","react-router-6.28.2","react-router-6.28.2",true,false,false,1,5,4,2,1,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-dom","react-router-6.28.2 -> react-router-6.28.2",""
"react-router","react-router-6.28.2","react-router-6.28.2",true,true,false,2,1,1,1,1,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-native","react-router-6.28.2 -> react-router-native",""
"react-router","react-router","react-router-6.28.2",true,true,false,2,1,1,1,2,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-native","react-router -> react-router-native,react-router -> react-router-6.28.2",""
"react-router","react-router-6.28.2","react-router-6.28.2",true,false,false,2,1,1,1,1,1,1,"./index.ts -> ./index.tsx","react-router -> react-router-native","react-router-6.28.2 -> react-router-6.28.2",""
"react-router-dom","react-router-dom","react-router-6.28.2",false,false,false,1,5,4,2,1,1,1,"./server.tsx -> ./index.tsx","react-router-dom -> react-router-dom","react-router-dom -> react-router-dom",""
"react-router-dom","react-router-6.28.2","react-router-6.28.2",false,false,false,1,5,4,2,1,1,1,"./server.tsx -> ./index.tsx","react-router-dom -> react-router-dom","react-router-6.28.2 -> react-router-6.28.2",""
"react-router-dom","react-router-6.28.2","react-router-6.28.2",true,true,false,1,5,4,2,3,2,2,"./server.tsx -> ./index.tsx,./index.tsx -> ./index.tsx","react-router-dom -> react-router-dom,react-router-dom -> react-router-native","react-router-6.28.2 -> react-router-dom,react-router-6.28.2 -> react-router-native",""
"react-router-dom","react-router-dom","react-router-6.28.2",true,true,false,1,5,4,2,5,2,2,"./server.tsx -> ./index.tsx,./index.tsx -> ./index.tsx","react-router-dom -> react-router-dom,react-router-dom -> react-router-native","react-router-dom -> react-router-6.28.2,react-router-dom -> react-router-native",""
"react-router-dom","react-router-6.28.2","react-router-6.28.2",true,false,false,1,5,4,2,2,2,1,"./index.tsx -> ./index.tsx,./server.tsx -> ./index.tsx","react-router-dom -> react-router-native","react-router-6.28.2 -> react-router-6.28.2",""
"react-router-native","react-router-native","react-router-6.28.2",true,true,false,1,5,4,2,2,1,1,"./index.tsx -> ./index.tsx","react-router-native -> react-router-dom","react-router-native -> react-router-dom,react-router-native -> react-router-6.28.2",""
"react-router-native","react-router-6.28.2","react-router-6.28.2",true,true,false,1,5,4,2,1,1,1,"./index.tsx -> ./index.tsx","react-router-native -> react-router-dom","react-router-6.28.2 -> react-router-dom",""
"react-router-native","react-router-6.28.2","react-router-6.28.2",true,false,false,1,5,4,2,1,1,1,"./index.tsx -> ./index.tsx","react-router-native -> react-router-dom","react-router-6.28.2 -> react-router-6.28.2",""
