"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,35,108,163,4,59,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<useViewTransitionState> of module <react-router-dom> imports <React.useContext> from external namespace <@types>,<useSubmit> of module <react-router-dom> imports <React.useContext> from external namespace <@types>,<useSubmit> of module <react-router-dom> imports <React.useCallback> from external namespace <@types>",""
"@ungap",1,2,2,4,4,59,"<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
