"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_module_usage_overall_for_Typescript.cypher"
"@types/react",4,34,94,145,4,59,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external module <react>,<NavLink> of module <react-router-dom> imports <React.useContext> from external module <react>,<NavLink> of module <react-router-dom> imports <React.ForwardRefExoticComponent> from external module <react>,<NavLink> of module <react-router-dom> imports <React.RefAttributes> from external module <react>",""
"@types/react-native",1,5,14,18,4,59,"<useHardwareBackButton> of module <react-router-native> imports <BackHandlerStatic.addEventListener> from external module <react-native>,<useHardwareBackButton> of module <react-router-native> imports <BackHandler> from external module <react-native>,<useHardwareBackButton> of module <react-router-native> imports <BackHandlerStatic.removeEventListener> from external module <react-native>,<useHardwareBackButton> of module <react-router-native> imports <BackHandlerStatic.addEventListener> from external module <react-native>",""
"@ungap/url-search-params",1,1,1,2,4,59,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external module <url-search-params>",""
