"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: Visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-modelling-4.10.0","org.axonframework.modelling.saga","saga",33,33,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",15,15,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting.event","event",12,12,1,""
"axon-messaging-4.10.0","org.axonframework.lifecycle","lifecycle",10,10,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.conflictresolution","conflictresolution",9,9,1,""
"axon-messaging-4.10.0","org.axonframework.common.property","property",9,9,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors","interceptors",8,8,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.responsetypes","responsetypes",8,8,1,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.deadline.dbscheduler","dbscheduler",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.json","json",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore","tokenstore",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.xml","xml",7,7,1,""
"axon-messaging-4.10.0","org.axonframework.tracing.attributes","attributes",6,6,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.quartz","quartz",6,6,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting","upcasting",6,6,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.converters","converters",5,5,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.gateway","gateway",5,5,1,""
"axon-messaging-4.10.0","org.axonframework.queryhandling.registration","registration",5,5,1,""
"axon-test-4.10.0","org.axonframework.test.eventscheduler","eventscheduler",5,5,1,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.callbacks","callbacks",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.correlation","correlation",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.deadline.jobrunr","jobrunr",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.common.jpa","jpa",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jpa","jpa",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.common.legacyjpa","legacyjpa",4,4,1,""
"axon-messaging-4.10.0","org.axonframework.deadline.quartz","quartz",4,4,1,""
"axon-test-4.10.0","org.axonframework.test.deadline","deadline",4,4,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.snapshotting","snapshotting",3,3,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",3,3,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling","scheduling",3,3,1,""
"axon-messaging-4.10.0","org.axonframework.util","util",3,3,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",2,2,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",2,2,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.legacyjpa","legacyjpa",2,2,1,""
"axon-messaging-4.10.0","org.axonframework.common.digest","digest",1,1,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.interceptors","interceptors",1,1,1,""
