"sourceProject","sourceScan","isDifferentTargetProject","isDifferentTargetScan","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
,,,,1,25,8,8,25,8,8,"/axon-spring-boot-autoconfigure-4.10.1.jar ->/axon-test-4.10.1.jar,/axon-spring-boot-autoconfigure-4.10.1.jar ->/axon-server-connector-4.10.1.jar,/axon-test-4.10.1.jar ->/axon-eventsourcing-4.10.1.jar,/axon-server-connector-4.10.1.jar ->/axon-eventsourcing-4.10.1.jar",""
,,,,2,2,2,1,2,2,1,"/axon-server-connector-4.10.1.jar ->/axon-disruptor-4.10.1.jar,/axon-spring-boot-autoconfigure-4.10.1.jar ->/axon-disruptor-4.10.1.jar",""
