"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.9.0","javax.annotation",13,105,40,"Nonnull,Nullable",""
"axon-configuration-4.9.0","org.slf4j",11,32,40,"Logger,LoggerFactory",""
"axon-disruptor-4.9.0","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.9.0","com.lmax.disruptor",9,29,22,"RingBuffer,ExceptionHandler,EventHandler,LifecycleAware,BlockingWaitStrategy,WaitStrategy",""
"axon-disruptor-4.9.0","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.9.0","com.lmax.disruptor.dsl",5,22,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-disruptor-4.9.0","WeakValue",1,5,22,"WeakValue",""
"axon-eventsourcing-4.9.0","javax.annotation",29,99,133,"Nonnull,Nullable,PreDestroy",""
"axon-eventsourcing-4.9.0","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.9.0","jakarta.persistence",11,50,133,"Entity,MappedSuperclass,IdClass,Id,EntityExistsException,Table,Index,Query,TypedQuery,EntityManager",""
"axon-eventsourcing-4.9.0","javax.persistence",11,50,133,"Entity,IdClass,MappedSuperclass,Id,Query,EntityManager,TypedQuery,Index,Table,EntityExistsException",""
"axon-messaging-4.9.0","javax.annotation",247,1191,786,"Nonnull,Nullable",""
"axon-messaging-4.9.0","org.slf4j",141,440,786,"Logger,LoggerFactory",""
"axon-messaging-4.9.0","com.fasterxml.jackson.annotation",53,81,786,"JsonGetter,JsonProperty,JsonCreator,JsonIgnore,JsonTypeInfo$Id,JsonTypeInfo,JsonTypeInfo$As",""
"axon-messaging-4.9.0","javax.persistence",44,194,786,"TypedQuery,Column,Basic,Lob,MappedSuperclass,LockModeType,Embeddable,Table,Entity,Index,Id,Embedded,NoResultException,Query,EntityManager,GeneratedValue,IdClass",""
"axon-messaging-4.9.0","jakarta.persistence",40,188,786,"TypedQuery,EntityManager,LockModeType,Basic,Embeddable,Column,Lob,Index,Embedded,Entity,Id,Table,MappedSuperclass,Query,NoResultException,GeneratedValue,IdClass",""
"axon-messaging-4.9.0","org.quartz",39,232,786,"JobDataMap,JobKey,JobBuilder,Scheduler,Trigger,TriggerBuilder,SchedulerContext,JobDetail,SchedulerException,JobExecutionContext,Job,JobExecutionException",""
"axon-messaging-4.9.0","reactor.core.publisher",35,157,786,"FluxSink,Sinks$ManySpec,FluxSink$OverflowStrategy,Sinks,Sinks$Many,Sinks$MulticastReplaySpec,Flux,EmitterProcessor,ConnectableFlux,Mono,Signal,MonoSink,Sinks$EmitResult",""
"axon-messaging-4.9.0","com.fasterxml.jackson.databind",15,73,786,"JsonNode,ObjectMapper,ObjectReader,ObjectWriter,JsonDeserializer,DeserializationContext,DeserializationFeature,ObjectMapper$DefaultTyping",""
"axon-messaging-4.9.0","org.reactivestreams",13,41,786,"Publisher",""
"axon-messaging-4.9.0","com.github.kagkarlsson.scheduler.task",10,52,786,"TaskInstanceId,TaskWithDataDescriptor,TaskInstance,Task,ExecutionContext",""
"axon-messaging-4.9.0","com.thoughtworks.xstream.io",9,46,786,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"axon-messaging-4.9.0","javax.cache.event",8,34,786,"CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent",""
"axon-messaging-4.9.0","org.ehcache.event",8,33,786,"EventFiring,EventType,EventOrdering,CacheEventListener,CacheEvent",""
"axon-messaging-4.9.0","com.github.kagkarlsson.scheduler",7,54,786,"Scheduler,SchedulerState,ScheduledExecution",""
