"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-test-4.9.0","org.axonframework.test.matchers","org.hamcrest",38,188,24,"Matcher,Description,TypeSafeMatcher,BaseMatcher","matchers",""
"axon-messaging-4.9.0","org.axonframework.queryhandling","reactor.core.publisher",28,123,48,"Flux,Mono,FluxSink,Sinks$EmitResult,Sinks$Many,MonoSink,EmitterProcessor,ConnectableFlux,Sinks$ManySpec,Sinks,Sinks$MulticastReplaySpec,FluxSink$OverflowStrategy,Signal","queryhandling",""
"axon-messaging-4.9.0","org.axonframework.deadline.quartz","org.quartz",20,137,4,"JobDataMap,Scheduler,Job,SchedulerContext,JobDetail,JobExecutionContext,JobKey,Trigger,JobExecutionException,JobBuilder,SchedulerException,TriggerBuilder","quartz",""
"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.quartz","org.quartz",19,95,6,"Scheduler,Job,JobDetail,JobDataMap,JobExecutionException,JobExecutionContext,SchedulerContext,TriggerBuilder,SchedulerException,Trigger,JobKey,JobBuilder","quartz",""
"axon-messaging-4.9.0","org.axonframework.eventhandling","org.slf4j",16,57,100,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.9.0","org.axonframework.eventhandling.pooled","org.slf4j",15,70,21,"LoggerFactory,Logger","pooled",""
"axon-messaging-4.9.0","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,73,7,"JsonDeserializer,DeserializationContext,ObjectMapper,JsonNode,DeserializationFeature,ObjectMapper$DefaultTyping,ObjectReader,ObjectWriter","json",""
"axon-disruptor-4.9.0","org.axonframework.disruptor.commandhandling","org.slf4j",12,22,22,"LoggerFactory,Logger","commandhandling",""
"axon-configuration-4.9.0","org.axonframework.config","org.slf4j",11,32,40,"LoggerFactory,Logger","config",""
"axon-disruptor-4.9.0","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",9,29,22,"RingBuffer,EventHandler,LifecycleAware,ExceptionHandler,WaitStrategy,BlockingWaitStrategy","commandhandling",""
"axon-test-4.9.0","org.axonframework.test.saga","org.hamcrest",9,91,21,"Matcher,Description,CoreMatchers,StringDescription","saga",""
"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.legacyjpa","org.slf4j",8,15,10,"Logger,LoggerFactory","legacyjpa",""
"axon-messaging-4.9.0","org.axonframework.common.caching","javax.cache.event",8,34,15,"CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryListener,CacheEntryRemovedListener,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryEvent,CacheEntryEventFilter","caching",""
"axon-messaging-4.9.0","org.axonframework.common.caching","org.ehcache.event",8,33,15,"EventType,CacheEventListener,CacheEvent,EventFiring,EventOrdering","caching",""
"axon-messaging-4.9.0","org.axonframework.messaging.annotation","org.slf4j",8,15,54,"Logger,LoggerFactory","annotation",""
"axon-messaging-4.9.0","org.axonframework.messaging.responsetypes","reactor.core.publisher",7,34,8,"Mono,Flux","responsetypes",""
"axon-messaging-4.9.0","org.axonframework.queryhandling","org.slf4j",7,16,48,"Logger,LoggerFactory","queryhandling",""
"axon-messaging-4.9.0","org.axonframework.queryhandling","org.reactivestreams",7,27,48,"Publisher","queryhandling",""
"axon-test-4.9.0","org.axonframework.test.aggregate","org.hamcrest",7,136,19,"Matcher,Description,StringDescription,CoreMatchers","aggregate",""
"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore","org.slf4j",6,9,31,"Logger,LoggerFactory","eventstore",""
"axon-messaging-4.9.0","org.axonframework.eventhandling.deadletter","org.slf4j",6,25,5,"Logger,LoggerFactory","deadletter",""
"axon-messaging-4.9.0","org.axonframework.messaging.responsetypes","org.reactivestreams",6,14,8,"Publisher","responsetypes",""
"axon-messaging-4.9.0","org.axonframework.serialization","com.thoughtworks.xstream.converters",6,12,34,"MarshallingContext,UnmarshallingContext","serialization",""
"axon-messaging-4.9.0","org.axonframework.serialization","com.thoughtworks.xstream.io",6,39,34,"HierarchicalStreamReader,HierarchicalStreamWriter","serialization",""
"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.jpa","jakarta.persistence",6,68,7,"Index,TypedQuery,EntityManagerFactory,EntityNotFoundException,Query,EntityManager","jpa",""
"axon-disruptor-4.9.0","org.axonframework.disruptor.commandhandling","com.lmax.disruptor.dsl",5,22,22,"Disruptor,EventHandlerGroup,ProducerType","commandhandling",""
"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",5,42,7,"EntityExistsException,Index,TypedQuery,EntityManager,Query","jpa",""
"axon-messaging-4.9.0","org.axonframework.common","org.slf4j",5,15,28,"LoggerFactory,Logger","common",""
"axon-messaging-4.9.0","org.axonframework.common.caching","net.sf.ehcache",5,63,15,"CacheException,Element,Ehcache","caching",""
