"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",63,310,342,1602,93,1224,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",53,117,208,608,93,1224,"Logger,LoggerFactory",""
"com.fasterxml.jackson.annotation",13,23,57,87,93,1224,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonTypeInfo$As,JsonIgnore",""
"javax.persistence",13,24,78,340,93,1224,"EntityManager,TypedQuery,Basic,MappedSuperclass,Id,GeneratedValue,Lob,Column,Embeddable",""
"jakarta.persistence",8,22,69,328,93,1224,"EntityManager,TypedQuery,Basic,MappedSuperclass,Id,GeneratedValue,Lob,Column,Query",""
"org.hamcrest",5,27,61,498,93,1224,"Matcher,Description,StringDescription,CoreMatchers,BaseMatcher,TypeSafeMatcher,Matchers",""
"com.github.kagkarlsson.scheduler",2,4,7,54,93,1224,"Scheduler,SchedulerState,ScheduledExecution",""
"com.github.kagkarlsson.scheduler.task",2,4,10,52,93,1224,"TaskInstanceId,Task,TaskInstance,TaskWithDataDescriptor,ExecutionContext",""
"com.thoughtworks.xstream.io",2,4,9,46,93,1224,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"org.jobrunr.scheduling",2,4,6,37,93,1224,"JobScheduler,JobBuilder",""
"org.quartz",2,9,39,232,93,1224,"JobDataMap,JobKey,JobBuilder,Scheduler,Trigger,TriggerBuilder,SchedulerContext,JobDetail,SchedulerException",""
"reactor.core.publisher",2,18,35,157,93,1224,"Mono,Flux,Signal,FluxSink$OverflowStrategy,FluxSink,Sinks$EmitResult,Sinks$Many,MonoSink,Sinks$ManySpec",""
"com.fasterxml.jackson.core",1,3,4,11,93,1224,"JsonProcessingException,JsonParser,JacksonException",""
"com.fasterxml.jackson.databind",1,7,15,73,93,1224,"JsonNode,ObjectMapper,ObjectReader,ObjectWriter,DeserializationFeature,ObjectMapper$DefaultTyping,JsonDeserializer,DeserializationContext",""
"com.fasterxml.jackson.databind.node",1,2,3,14,93,1224,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,9,93,1224,"JsonArray,JsonElement,JsonParser,JsonObject",""
"com.lmax.disruptor",1,7,9,29,93,1224,"ExceptionHandler,RingBuffer,BlockingWaitStrategy,WaitStrategy,EventHandler,LifecycleAware",""
"com.lmax.disruptor.dsl",1,4,5,22,93,1224,"Disruptor,ProducerType,EventHandlerGroup",""
"com.thoughtworks.xstream.converters",1,3,6,12,93,1224,"UnmarshallingContext,MarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,93,1224,"XppDriver,CompactWriter,XomReader,Dom4JReader",""
"com.thoughtworks.xstream.mapper",1,4,5,10,93,1224,"Mapper,CannotResolveClassException",""
"jakarta.validation",1,2,5,22,93,1224,"Validation,Validator,ConstraintViolation,ValidatorFactory",""
"javax.cache.configuration",1,2,3,11,93,1224,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,34,93,1224,"CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryUpdatedListener,CacheEntryListener,CacheEntryEvent",""
"javax.validation",1,2,5,22,93,1224,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf.ehcache",1,2,5,63,93,1224,"CacheException,Element,Ehcache",""
"net.sf.ehcache.event",1,2,3,9,93,1224,"CacheEventListener,RegisteredEventListeners",""
"nu.xom",1,3,5,16,93,1224,"Document,Builder,ParsingException",""
"org.ehcache.event",1,3,8,33,93,1224,"EventFiring,EventType,EventOrdering,CacheEventListener,CacheEvent",""
"org.junit.jupiter.api.extension",1,1,3,6,93,1224,"ExtensionContext,BeforeEachCallback,AfterEachCallback",""
"org.testcontainers.containers",1,3,4,15,93,1224,"GenericContainer,ContainerLaunchException",""
"org.testcontainers.containers.wait.strategy",1,3,4,5,93,1224,"Wait,HttpWaitStrategy",""
"org.testcontainers.utility",1,3,5,27,93,1224,"DockerImageName,MountableFile",""
