"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.slf4j",6,53,1,38,3.5,8.833333333333332,14.441837371562757,25,100,59.6875,66.6550925925926,28.911596866737984,117,2,78,8.5,19.5,28.925767059837842,2.2988505747126435,36.36363636363637,10.224989955805544,13.313616269865145,12.096701631781166,"axon-eventsourcing-4.9.0,axon-configuration-4.9.0,axon-disruptor-4.9.0,axon-modelling-4.9.0",""
"jakarta.persistence",3,6,1,3,2,2,1,4.6875,20,11.11111111111111,11.93287037037037,7.689254207830155,14,3,8,3,4.666666666666667,2.8867513459481287,1.0178117048346056,2.2556390977443606,1.9230769230769234,1.7321759085519632,0.6406142065779017,"axon-eventsourcing-4.9.0,axon-modelling-4.9.0,axon-messaging-4.9.0",""
"javax.persistence",3,9,2,4,3,3,1,6.25,30,22.22222222222222,19.49074074074074,12.108318145504652,14,3,8,3,4.666666666666667,2.8867513459481287,1.0178117048346056,2.2556390977443606,1.9230769230769234,1.7321759085519632,0.6406142065779017,"axon-eventsourcing-4.9.0,axon-modelling-4.9.0,axon-messaging-4.9.0",""
"AggregateEventPublisherImpl",1,1,1,1,1,1,0,12.5,12.5,12.5,12.5,0,1,1,1,1,1,0,1.1494252873563218,1.1494252873563218,1.1494252873563218,1.1494252873563218,0,"axon-test-4.9.0",""
"WeakValue",1,1,1,1,1,1,0,100,100,100,100,0,1,1,1,1,1,0,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,0,"axon-disruptor-4.9.0",""
"com.fasterxml.jackson.annotation",1,3,3,3,3,3,0,4.6875,4.6875,4.6875,4.6875,0,5,5,5,5,5,0,0.6361323155216285,0.6361323155216285,0.6361323155216285,0.6361323155216285,0,"axon-messaging-4.9.0",""
"com.fasterxml.jackson.core",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.38167938931297707,0.38167938931297707,0.38167938931297707,0.38167938931297707,0,"axon-messaging-4.9.0",""
"com.fasterxml.jackson.databind",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,7,7,7,7,7,0,0.8905852417302799,0.8905852417302799,0.8905852417302799,0.8905852417302799,0,"axon-messaging-4.9.0",""
"com.fasterxml.jackson.databind.jsontype",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,1,1,1,1,1,0,0.1272264631043257,0.1272264631043257,0.1272264631043257,0.1272264631043257,0,"axon-messaging-4.9.0",""
"com.fasterxml.jackson.databind.module",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,1,1,1,1,1,0,0.1272264631043257,0.1272264631043257,0.1272264631043257,0.1272264631043257,0,"axon-messaging-4.9.0",""
"com.fasterxml.jackson.databind.node",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.2544529262086514,0.2544529262086514,0.2544529262086514,0.2544529262086514,0,"axon-messaging-4.9.0",""
